,Suburb,Year,Population,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Leopold,2012.0,10701.0,,,
1,Leopold,2013.0,11317.0,,,
2,Leopold,2014.0,11910.0,,,
3,Leopold,2015.0,12447.0,,,
4,Leopold,2016.0,13140.0,,,
5,Leopold,2017.0,13528.0,,,
6,Leopold,2018.0,13753.0,,,
7,Leopold,2019.0,13836.0,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,Leopold,2020.0,[[14704.28571429]],,,
12,Leopold,2021.0,[[15176.57142857]],,,
13,Leopold,2022.0,[[15648.85714286]],,,
14,Leopold,2023.0,[[16121.14285714]],,,
15,Leopold,2024.0,[[16593.42857143]],,,
16,Leopold,2025.0,[[17065.71428571]],,,
17,Leopold,2026.0,[[17538.]],,,
18,Leopold,2027.0,[[18010.28571429]],,,
19,Leopold,2028.0,[[18482.57142857]],,,
20,Leopold,2029.0,[[18954.85714286]],,,
21,Leopold,2030.0,[[19427.14285714]],,,
22,Leopold,2031.0,[[19899.42857143]],,,
23,Leopold,2032.0,[[20371.71428571]],,,
24,Leopold,2033.0,[[20844.]],,,
25,Leopold,2034.0,[[21316.28571429]],,,
26,Leopold,2035.0,[[21788.57142857]],,,
27,Leopold,2036.0,[[22260.85714286]],,,
28,Leopold,2037.0,[[22733.14285714]],,,
29,Leopold,2038.0,[[23205.42857143]],,,
30,Leopold,2039.0,[[23677.71428571]],,,
31,Leopold,2040.0,[[24150.]],,,
32,Leopold,2041.0,[[24622.28571429]],,,
33,Leopold,2042.0,[[25094.57142857]],,,
34,Leopold,2043.0,[[25566.85714286]],,,
35,Leopold,2044.0,[[26039.14285714]],,,
36,Leopold,2045.0,[[26511.42857143]],,,
37,Leopold,2046.0,[[26983.71428571]],,,
38,Leopold,2047.0,[[27456.]],,,
39,Leopold,2048.0,[[27928.28571429]],,,
40,Leopold,2049.0,[[28400.57142857]],,,
