,Suburb,Year,Population,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Lovely banks,2012,2654,,,
1,Lovely banks,2013,2637,,,
2,Lovely banks,2014,2628,,,
3,Lovely banks,2015,2652,,,
4,Lovely banks,2016,2705,,,
5,Lovely banks,2017,2732,,,
6,Lovely banks,2018,2752,,,
7,Lovely banks,2019,2776,,,
8,Lovely Banks,2020,[[2788.10714286]],,,
9,Lovely Banks,2021,[[2809.46428571]],,,
10,Lovely Banks,2022,[[2830.82142857]],,,
11,Lovely Banks,2023,[[2852.17857143]],,,
12,Lovely Banks,2024,[[2873.53571429]],,,
13,Lovely Banks,2025,[[2894.89285714]],,,
14,Lovely Banks,2026,[[2916.25]],,,
15,Lovely Banks,2027,[[2937.60714286]],,,
16,Lovely Banks,2028,[[2958.96428571]],,,
17,Lovely Banks,2029,[[2980.32142857]],,,
18,Lovely Banks,2030,[[3001.67857143]],,,
19,Lovely Banks,2031,[[3023.03571429]],,,
20,Lovely Banks,2032,[[3044.39285714]],,,
21,Lovely Banks,2033,[[3065.75]],,,
22,Lovely Banks,2034,[[3087.10714286]],,,
23,Lovely Banks,2035,[[3108.46428571]],,,
24,Lovely Banks,2036,[[3129.82142857]],,,
25,Lovely Banks,2037,[[3151.17857143]],,,
26,Lovely Banks,2038,[[3172.53571429]],,,
27,Lovely Banks,2039,[[3193.89285714]],,,
28,Lovely Banks,2040,[[3215.25]],,,
29,Lovely Banks,2041,[[3236.60714286]],,,
30,Lovely Banks,2042,[[3257.96428571]],,,
31,Lovely Banks,2043,[[3279.32142857]],,,
32,Lovely Banks,2044,[[3300.67857143]],,,
33,Lovely Banks,2045,[[3322.03571429]],,,
34,Lovely Banks,2046,[[3343.39285714]],,,
35,Lovely Banks,2047,[[3364.75]],,,
36,Lovely Banks,2048,[[3386.10714286]],,,
37,Lovely Banks,2049,[[3407.46428571]],,,
