,Suburb,Year,Population,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Newcomb,2012.0,5826.0,,,
1,Newcomb,2013.0,5828.0,,,
2,Newcomb,2014.0,5863.0,,,
3,Newcomb,2015.0,5887.0,,,
4,Newcomb,2016.0,5980.0,,,
5,Newcomb,2017.0,6001.0,,,
6,Newcomb,2018.0,6064.0,,,
7,Newcomb,2019.0,6101.0,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,Newcomb,2020.0,[[6137.25]],,,
12,Newcomb,2021.0,[[6180.25]],,,
13,Newcomb,2022.0,[[6223.25]],,,
14,Newcomb,2023.0,[[6266.25]],,,
15,Newcomb,2024.0,[[6309.25]],,,
16,Newcomb,2025.0,[[6352.25]],,,
17,Newcomb,2026.0,[[6395.25]],,,
18,Newcomb,2027.0,[[6438.25]],,,
19,Newcomb,2028.0,[[6481.25]],,,
20,Newcomb,2029.0,[[6524.25]],,,
21,Newcomb,2030.0,[[6567.25]],,,
22,Newcomb,2031.0,[[6610.25]],,,
23,Newcomb,2032.0,[[6653.25]],,,
24,Newcomb,2033.0,[[6696.25]],,,
25,Newcomb,2034.0,[[6739.25]],,,
26,Newcomb,2035.0,[[6782.25]],,,
27,Newcomb,2036.0,[[6825.25]],,,
28,Newcomb,2037.0,[[6868.25]],,,
29,Newcomb,2038.0,[[6911.25]],,,
30,Newcomb,2039.0,[[6954.25]],,,
31,Newcomb,2040.0,[[6997.25]],,,
32,Newcomb,2041.0,[[7040.25]],,,
33,Newcomb,2042.0,[[7083.25]],,,
34,Newcomb,2043.0,[[7126.25]],,,
35,Newcomb,2044.0,[[7169.25]],,,
36,Newcomb,2045.0,[[7212.25]],,,
37,Newcomb,2046.0,[[7255.25]],,,
38,Newcomb,2047.0,[[7298.25]],,,
39,Newcomb,2048.0,[[7341.25]],,,
40,Newcomb,2049.0,[[7384.25]],,,
