,Suburb,Year,Population,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Newtown,2012.0,10087.0,,,
1,Newtown,2013.0,10230.0,,,
2,Newtown,2014.0,10314.0,,,
3,Newtown,2015.0,10424.0,,,
4,Newtown,2016.0,10483.0,,,
5,Newtown,2017.0,10597.0,,,
6,Newtown,2018.0,10719.0,,,
7,Newtown,2019.0,10833.0,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,Newtown,2020.0,[[10920.25]],,,
12,Newtown,2021.0,[[11022.33333333]],,,
13,Newtown,2022.0,[[11124.41666667]],,,
14,Newtown,2023.0,[[11226.5]],,,
15,Newtown,2024.0,[[11328.58333333]],,,
16,Newtown,2025.0,[[11430.66666667]],,,
17,Newtown,2026.0,[[11532.75]],,,
18,Newtown,2027.0,[[11634.83333333]],,,
19,Newtown,2028.0,[[11736.91666667]],,,
20,Newtown,2029.0,[[11839.]],,,
21,Newtown,2030.0,[[11941.08333333]],,,
22,Newtown,2031.0,[[12043.16666667]],,,
23,Newtown,2032.0,[[12145.25]],,,
24,Newtown,2033.0,[[12247.33333333]],,,
25,Newtown,2034.0,[[12349.41666667]],,,
26,Newtown,2035.0,[[12451.5]],,,
27,Newtown,2036.0,[[12553.58333333]],,,
28,Newtown,2037.0,[[12655.66666667]],,,
29,Newtown,2038.0,[[12757.75]],,,
30,Newtown,2039.0,[[12859.83333333]],,,
31,Newtown,2040.0,[[12961.91666667]],,,
32,Newtown,2041.0,[[13064.]],,,
33,Newtown,2042.0,[[13166.08333333]],,,
34,Newtown,2043.0,[[13268.16666667]],,,
35,Newtown,2044.0,[[13370.25]],,,
36,Newtown,2045.0,[[13472.33333333]],,,
37,Newtown,2046.0,[[13574.41666667]],,,
38,Newtown,2047.0,[[13676.5]],,,
39,Newtown,2048.0,[[13778.58333333]],,,
40,Newtown,2049.0,[[13880.66666667]],,,
