,Suburb,Year,Population,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,North Geelong,2012.0,3455.0,,,
1,North Geelong,2013.0,3559.0,,,
2,North Geelong,2014.0,3686.0,,,
3,North Geelong,2015.0,3801.0,,,
4,North Geelong,2016.0,3947.0,,,
5,North Geelong,2017.0,4063.0,,,
6,North Geelong,2018.0,4099.0,,,
7,North Geelong,2019.0,4191.0,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,North Geelong,2020.0,[[4339.17857143]],,,
12,North Geelong,2021.0,[[4447.85714286]],,,
13,North Geelong,2022.0,[[4556.53571429]],,,
14,North Geelong,2023.0,[[4665.21428571]],,,
15,North Geelong,2024.0,[[4773.89285714]],,,
16,North Geelong,2025.0,[[4882.57142857]],,,
17,North Geelong,2026.0,[[4991.25]],,,
18,North Geelong,2027.0,[[5099.92857143]],,,
19,North Geelong,2028.0,[[5208.60714286]],,,
20,North Geelong,2029.0,[[5317.28571429]],,,
21,North Geelong,2030.0,[[5425.96428571]],,,
22,North Geelong,2031.0,[[5534.64285714]],,,
23,North Geelong,2032.0,[[5643.32142857]],,,
24,North Geelong,2033.0,[[5752.]],,,
25,North Geelong,2034.0,[[5860.67857143]],,,
26,North Geelong,2035.0,[[5969.35714286]],,,
27,North Geelong,2036.0,[[6078.03571429]],,,
28,North Geelong,2037.0,[[6186.71428571]],,,
29,North Geelong,2038.0,[[6295.39285714]],,,
30,North Geelong,2039.0,[[6404.07142857]],,,
31,North Geelong,2040.0,[[6512.75]],,,
32,North Geelong,2041.0,[[6621.42857143]],,,
33,North Geelong,2042.0,[[6730.10714286]],,,
34,North Geelong,2043.0,[[6838.78571429]],,,
35,North Geelong,2044.0,[[6947.46428571]],,,
36,North Geelong,2045.0,[[7056.14285714]],,,
37,North Geelong,2046.0,[[7164.82142857]],,,
38,North Geelong,2047.0,[[7273.5]],,,
39,North Geelong,2048.0,[[7382.17857143]],,,
40,North Geelong,2049.0,[[7490.85714286]],,,
