,Suburb,Year,Population,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Ocean Grove,2012.0,13052.0,,,
1,Ocean Grove,2013.0,13175.0,,,
2,Ocean Grove,2014.0,13539.0,,,
3,Ocean Grove,2015.0,14009.0,,,
4,Ocean Grove,2016.0,14608.0,,,
5,Ocean Grove,2017.0,15215.0,,,
6,Ocean Grove,2018.0,15760.0,,,
7,Ocean Grove,2019.0,16494.0,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,Ocean Grove,2020.0,[[16766.10714286]],,,
12,Ocean Grove,2021.0,[[17273.79761905]],,,
13,Ocean Grove,2022.0,[[17781.48809524]],,,
14,Ocean Grove,2023.0,[[18289.17857143]],,,
15,Ocean Grove,2024.0,[[18796.86904762]],,,
16,Ocean Grove,2025.0,[[19304.55952381]],,,
17,Ocean Grove,2026.0,[[19812.25]],,,
18,Ocean Grove,2027.0,[[20319.94047619]],,,
19,Ocean Grove,2028.0,[[20827.63095238]],,,
20,Ocean Grove,2029.0,[[21335.32142857]],,,
21,Ocean Grove,2030.0,[[21843.01190476]],,,
22,Ocean Grove,2031.0,[[22350.70238095]],,,
23,Ocean Grove,2032.0,[[22858.39285714]],,,
24,Ocean Grove,2033.0,[[23366.08333333]],,,
25,Ocean Grove,2034.0,[[23873.77380952]],,,
26,Ocean Grove,2035.0,[[24381.46428571]],,,
27,Ocean Grove,2036.0,[[24889.1547619]],,,
28,Ocean Grove,2037.0,[[25396.8452381]],,,
29,Ocean Grove,2038.0,[[25904.53571429]],,,
30,Ocean Grove,2039.0,[[26412.22619048]],,,
31,Ocean Grove,2040.0,[[26919.91666667]],,,
32,Ocean Grove,2041.0,[[27427.60714286]],,,
33,Ocean Grove,2042.0,[[27935.29761905]],,,
34,Ocean Grove,2043.0,[[28442.98809524]],,,
35,Ocean Grove,2044.0,[[28950.67857143]],,,
36,Ocean Grove,2045.0,[[29458.36904762]],,,
37,Ocean Grove,2046.0,[[29966.05952381]],,,
38,Ocean Grove,2047.0,[[30473.75]],,,
39,Ocean Grove,2048.0,[[30981.44047619]],,,
40,Ocean Grove,2049.0,[[31489.13095238]],,,
