,Suburb,Year,Population,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Portarlington,2012.0,3507.0,,,
1,Portarlington,2013.0,3557.0,,,
2,Portarlington,2014.0,3560.0,,,
3,Portarlington,2015.0,3600.0,,,
4,Portarlington,2016.0,3681.0,,,
5,Portarlington,2017.0,3740.0,,,
6,Portarlington,2018.0,3868.0,,,
7,Portarlington,2019.0,4018.0,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,Portarlington,2020.0,[[3999.57142857]],,,
12,Portarlington,2021.0,[[4068.05952381]],,,
13,Portarlington,2022.0,[[4136.54761905]],,,
14,Portarlington,2023.0,[[4205.03571429]],,,
15,Portarlington,2024.0,[[4273.52380952]],,,
16,Portarlington,2025.0,[[4342.01190476]],,,
17,Portarlington,2026.0,[[4410.5]],,,
18,Portarlington,2027.0,[[4478.98809524]],,,
19,Portarlington,2028.0,[[4547.47619048]],,,
20,Portarlington,2029.0,[[4615.96428571]],,,
21,Portarlington,2030.0,[[4684.45238095]],,,
22,Portarlington,2031.0,[[4752.94047619]],,,
23,Portarlington,2032.0,[[4821.42857143]],,,
24,Portarlington,2033.0,[[4889.91666667]],,,
25,Portarlington,2034.0,[[4958.4047619]],,,
26,Portarlington,2035.0,[[5026.89285714]],,,
27,Portarlington,2036.0,[[5095.38095238]],,,
28,Portarlington,2037.0,[[5163.86904762]],,,
29,Portarlington,2038.0,[[5232.35714286]],,,
30,Portarlington,2039.0,[[5300.8452381]],,,
31,Portarlington,2040.0,[[5369.33333333]],,,
32,Portarlington,2041.0,[[5437.82142857]],,,
33,Portarlington,2042.0,[[5506.30952381]],,,
34,Portarlington,2043.0,[[5574.79761905]],,,
35,Portarlington,2044.0,[[5643.28571429]],,,
36,Portarlington,2045.0,[[5711.77380952]],,,
37,Portarlington,2046.0,[[5780.26190476]],,,
38,Portarlington,2047.0,[[5848.75]],,,
39,Portarlington,2048.0,[[5917.23809524]],,,
40,Portarlington,2049.0,[[5985.72619048]],,,
