,Suburb,Year,Population,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,South Geelong,2012.0,3660.0,,,
1,South Geelong,2013.0,3667.0,,,
2,South Geelong,2014.0,3695.0,,,
3,South Geelong,2015.0,3680.0,,,
4,South Geelong,2016.0,3727.0,,,
5,South Geelong,2017.0,3758.0,,,
6,South Geelong,2018.0,3840.0,,,
7,South Geelong,2019.0,3813.0,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,South Geelong,2020.0,[[3846.35714286]],,,
12,South Geelong,2021.0,[[3872.21428571]],,,
13,South Geelong,2022.0,[[3898.07142857]],,,
14,South Geelong,2023.0,[[3923.92857143]],,,
15,South Geelong,2024.0,[[3949.78571429]],,,
16,South Geelong,2025.0,[[3975.64285714]],,,
17,South Geelong,2026.0,[[4001.5]],,,
18,South Geelong,2027.0,[[4027.35714286]],,,
19,South Geelong,2028.0,[[4053.21428571]],,,
20,South Geelong,2029.0,[[4079.07142857]],,,
21,South Geelong,2030.0,[[4104.92857143]],,,
22,South Geelong,2031.0,[[4130.78571429]],,,
23,South Geelong,2032.0,[[4156.64285714]],,,
24,South Geelong,2033.0,[[4182.5]],,,
25,South Geelong,2034.0,[[4208.35714286]],,,
26,South Geelong,2035.0,[[4234.21428571]],,,
27,South Geelong,2036.0,[[4260.07142857]],,,
28,South Geelong,2037.0,[[4285.92857143]],,,
29,South Geelong,2038.0,[[4311.78571429]],,,
30,South Geelong,2039.0,[[4337.64285714]],,,
31,South Geelong,2040.0,[[4363.5]],,,
32,South Geelong,2041.0,[[4389.35714286]],,,
33,South Geelong,2042.0,[[4415.21428571]],,,
34,South Geelong,2043.0,[[4441.07142857]],,,
35,South Geelong,2044.0,[[4466.92857143]],,,
36,South Geelong,2045.0,[[4492.78571429]],,,
37,South Geelong,2046.0,[[4518.64285714]],,,
38,South Geelong,2047.0,[[4544.5]],,,
39,South Geelong,2048.0,[[4570.35714286]],,,
40,South Geelong,2049.0,[[4596.21428571]],,,
