,Suburb,Year,Population,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Warun Ponds,2012.0,4438.0,,,
1,Warun Ponds,2013.0,4628.0,,,
2,Warun Ponds,2014.0,4837.0,,,
3,Warun Ponds,2015.0,5066.0,,,
4,Warun Ponds,2016.0,5438.0,,,
5,Warun Ponds,2017.0,5614.0,,,
6,Warun Ponds,2018.0,5771.0,,,
7,Warun Ponds,2019.0,5880.0,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,Warun ponds,2020.0,[[6200.71428571]],,,
12,Warun ponds,2021.0,[[6421.0952381]],,,
13,Warun ponds,2022.0,[[6641.47619048]],,,
14,Warun ponds,2023.0,[[6861.85714286]],,,
15,Warun ponds,2024.0,[[7082.23809524]],,,
16,Warun ponds,2025.0,[[7302.61904762]],,,
17,Warun ponds,2026.0,[[7523.]],,,
18,Warun ponds,2027.0,[[7743.38095238]],,,
19,Warun ponds,2028.0,[[7963.76190476]],,,
20,Warun ponds,2029.0,[[8184.14285714]],,,
21,Warun ponds,2030.0,[[8404.52380952]],,,
22,Warun ponds,2031.0,[[8624.9047619]],,,
23,Warun ponds,2032.0,[[8845.28571429]],,,
24,Warun ponds,2033.0,[[9065.66666667]],,,
25,Warun ponds,2034.0,[[9286.04761905]],,,
26,Warun ponds,2035.0,[[9506.42857143]],,,
27,Warun ponds,2036.0,[[9726.80952381]],,,
28,Warun ponds,2037.0,[[9947.19047619]],,,
29,Warun ponds,2038.0,[[10167.57142857]],,,
30,Warun ponds,2039.0,[[10387.95238095]],,,
31,Warun ponds,2040.0,[[10608.33333333]],,,
32,Warun ponds,2041.0,[[10828.71428571]],,,
33,Warun ponds,2042.0,[[11049.0952381]],,,
34,Warun ponds,2043.0,[[11269.47619048]],,,
35,Warun ponds,2044.0,[[11489.85714286]],,,
36,Warun ponds,2045.0,[[11710.23809524]],,,
37,Warun ponds,2046.0,[[11930.61904762]],,,
38,Warun ponds,2047.0,[[12151.]],,,
39,Warun ponds,2048.0,[[12371.38095238]],,,
40,Warun ponds,2049.0,[[12591.76190476]],,,
