,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,55 lot 1004 Edenhope Circuit," 283,000 ", Sep 2020,0, ,, ,, ,,0,0,0,Armstrong Creek
1,12 Seifferts Street," 550,000 ", Aug 2020,0," 183,000 ", May 2014, ,, 504 ,,0,0,0,Armstrong Creek
2,5 Seifferts Street," 650,000 ", Aug 2020,0," 545,000 ", Oct 2017, ,, 546 ,,4,2,2,Armstrong Creek
3,44 Noosa Circuit," 500,000 ", Aug 2020,0, ,, ,, ,,0,0,0,Armstrong Creek
4,23 Rottness Drive," 598,000 ", Aug 2020,0, ,, ,, 510 ,,4,2,2,Armstrong Creek
5,10 MCKINLEY Avenue," 500,000 ", Aug 2020,0," 152,000 ", Apr 2016, 390 , Sep 2019, 400 ,,0,0,0,Armstrong Creek
6,20 Ross Street," 575,000 ", Aug 2020,0, ,, ,, 399 ,,0,0,0,Armstrong Creek
7,14 Daybreak Avenue," 625,000 ", Aug 2020,0," 491,000 ", Apr 2017, ,, 489 ,,4,2,2,Armstrong Creek
8,49 Middleton Road," 580,000 ", Aug 2020,0, ,, ,, 455 ,,0,0,0,Armstrong Creek
9,Lot 107/17 Atherton Street," 307,500 ", Aug 2020,0, ,, ,, ,,0,0,0,Armstrong Creek
10,14 Chelsea Drive," 197,500 ", Aug 2020,0, ,, ,, ,,0,0,0,Armstrong Creek
11,18 Tenterfield Street," 495,000 ", Aug 2020,0, ,, ,, ,,4,2,1,Armstrong Creek
12,25 Mallacoota Crescent," 620,000 ", Aug 2020,0," 550,000 ", Feb 2018, ,, 448  ,  222 ,4,2,2,Armstrong Creek
13,14 Saltbreeze Boulevard," 605,500 ", Aug 2020,0," 445,000 ", Jun 2015, ,, 506  ,  177 ,4,2,2,Armstrong Creek
14,Lot 329 McArthur Crescent," 240,000 ", Aug 2020,0, ,, ,, ,,0,0,0,Armstrong Creek
15,26 Nature Street," 320,000 ", Aug 2020,0, ,, ,, 513 ,,0,0,0,Armstrong Creek
