,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,19A Curtin Street," 190,000 ", Sep 2020,0, ,, ,, 242 ,,0,0,0,Bell Park
1,1 Milton Street," 560,000 ", Aug 2020,0, ,, ,, 873 ,,3,1,4,Bell Park
2,28 Anakie Road," 458,000 ", Aug 2020,0," 236,000 ", Apr 2009, ,, 604  ,  108 ,3,1,2,Bell Park
3,2/12 Willow Crescent," 395,000 ", Aug 2020,0," 247,000 ", May 2009, ,, 223 ,,0,0,0,Bell Park
4,1/42 Curtin Street," 400,000 ", Aug 2020,0," 290,000 ", Jul 2014, ,, 331  ,  136 ,4,1,2,Bell Park
5,26 Bellavista Road," 445,000 ", Aug 2020,0," 432,000 ", Aug 2018, ,, 332 ,,2,1,2,Bell Park
6,23 Malinda Crescent," 530,000 ", Jul 2020,0, ,, ,, 636 ,,0,0,0,Bell Park
7,12 Nambet Court," 465,000 ", Jul 2020,0," 96,000 ", Jul 1999, ,, 650 ,,3,2,2,Bell Park
8,29 Alicia Street," 495,000 ", Jul 2020,0," 325,000 ", Dec 2014, ,, 627  ,  107 ,3,1,2,Bell Park
9,2/45 Thorburn Street," 517,500 ", Jul 2020,0, ,, ,, ,,0,0,0,Bell Park
10,144 Separation Street," 460,000 ", Jul 2020,0, ,, ,, 602 ,,3,1,3,Bell Park
11,3/6 Hughes Street," 470,000 ", Jun 2020,0, ,, 360 , Nov 2019, 197 ,,0,0,0,Bell Park
12,21 Karlovac Court," 510,000 ", Jun 2020,0," 226,000 ", Jan 2006, ,, 565  ,  116 ,3,2,2,Bell Park
13,4 Samuel Close," 666,000 ", Jun 2020,0, ,, ,, 823 ,,0,0,0,Bell Park
14,2/206B Separation Street," 521,000 ", Jun 2020,0, ,, ,, ,,0,0,0,Bell Park
15,206B Separation Street," 521,000 ", Jun 2020,0, ,, ,, ,,0,0,0,Bell Park
16,25 Prestige Avenue," 715,000 ", Jun 2020,0," 83,000 ", Oct 2002, ,, 631 ,,4,2,2,Bell Park
17,1 Malinda Crescent," 560,000 ", Jun 2020,0," 395,000 ", Mar 2017, ,, 798  ,  160 ,3,2,4,Bell Park
18,1/3 Tallinn Street," 455,000 ", May 2020,0, ,, ,, ,,0,0,0,Bell Park
19,82 Mcclelland Street," 493,000 ", May 2020,0," 390,000 ", Nov 2016, ,, 610  ,  116 ,3,1,1,Bell Park
20,2 Levoca Court," 475,000 ", May 2020,0," 317,500 ", Mar 2015, ,, 600  ,  130 ,4,1,4,Bell Park
21,30 Hedgeley Road," 652,500 ", May 2020,0," 489,000 ", Oct 2015, ,, 505 ,,4,2,3,Bell Park
