,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,3/10-12 Chatham Close," 372,500 ", Sep 2020,0, ,, ,, 171 ,,0,0,0,Bell Post Hill
1,24 Darriwill Street," 457,500 ", Sep 2020,0," 265,000 ", Jun 2011, ,, 536 ,,3,1,1,Bell Post Hill
2,25 Fairy Street," 494,000 ", 12 Aug 2020,1, ,, 390 , Aug 2020, 627 ,,3,1,2,Bell Post Hill
3,19 Molloy Court," 640,000 ", Aug 2020,0," 460,000 ", Apr 2013, ,, 440  ,  193 ,3,2,2,Bell Post Hill
4,51 Corinella Street," 600,000 ", Aug 2020,0," 350,000 ", Dec 2013, ,, 631 ,,4,2,0,Bell Post Hill
5,2/2 Liston Street," 400,000 ", Aug 2020,0," 233,500 ", Jul 2005, ,, 280 ,,0,0,0,Bell Post Hill
6,23 Edison Road," 605,000 ", Jul 2020,0," 397,000 ", May 2015, ,, 522 ,,4,2,2,Bell Post Hill
7,1/10-12 Chatham Close," 376,500 ", Jul 2020,0," 218,000 ", Aug 2014, ,, 173 ,,0,0,0,Bell Post Hill
8,25 Darriwill Street," 467,500 ", Jul 2020,0," 335,000 ", Feb 2017, ,, 628  ,  139 ,3,1,1,Bell Post Hill
9,16 Kinlock Street," 500,000 ", Jul 2020,0," 485,000 ", Feb 2018, ,, 626  ,  120 ,3,1,1,Bell Post Hill
10,1/10 Chatham Close," 376,500 ", Jul 2020,0," 180,000 ", Aug 2010, ,, 173 ,,0,0,0,Bell Post Hill
11,49 Ruhamah Avenue," 485,000 ", Jul 2020,0," 72,000 ", Nov 1991, ,, 625 ,,3,1,1,Bell Post Hill
12,1 Wolseley Grove," 473,000 ", Jul 2020,0," 286,100 ", Jan 2008, ,, 683 ,,3,2,3,Bell Post Hill
13,Lot 18 Tova Street," 320,000 ", Jul 2020,0, ,, ,, ,,0,0,0,Bell Post Hill
14,29 Dane Avenue," 900,000 ", Jun 2020,0," 540,000 ", Jan 2015, ,, 716 ,,3,2,2,Bell Post Hill
15,38 Dane Avenue," 855,000 ", Jun 2020,0," 650,000 ", Dec 2014, ,, 790 ,,4,3,3,Bell Post Hill
16,98A Neil Street," 515,000 ", Jun 2020,0," 365,000 ", May 2015, ,, 305 ,,3,0,0,Bell Post Hill
17,10 Darriwill Street," 455,000 ", Jun 2020,0," 330,000 ", Jan 2011, ,, 544 ,,3,1,1,Bell Post Hill
18,46 Kansas Avenue," 465,000 ", May 2020,0," 150,000 ", Apr 2012, ,, 533 ,,0,0,0,Bell Post Hill
19,31 Leila Crescent," 550,000 ", May 2020,0," 99,000 ", Oct 1987, ,, 572 ,,3,2,2,Bell Post Hill
20,97 Neil Street," 550,000 ", May 2020,0," 359,000 ", Apr 2011, ,, 646 ,,3,1,4,Bell Post Hill
21,98 Ruhamah Avenue," 525,000 ", Apr 2020,0," 395,000 ", Jun 2016, ,, 625 ,,3,2,2,Bell Post Hill
22,44 Leila Crescent," 535,000 ", Apr 2020,0," 320,000 ", Oct 2008, ,, 671 ,,4,2,2,Bell Post Hill
23,3 Beauford Avenue," 520,000 ", Apr 2020,0," 325,000 ", Apr 2014, ,, 559  ,  185 ,3,1,2,Bell Post Hill
24,6 Ernest Street," 475,000 ", Apr 2020,0," 247,000 ", Jun 2007, ,, 650  ,  104 ,3,1,2,Bell Post Hill
25,70 Newton Avenue," 850,000 ", Apr 2020,0," 272,500 ", Nov 2010, ,, 850 ,,0,0,0,Bell Post Hill
26,91 Ernest Street," 560,000 ", Mar 2020,0," 361,000 ", Aug 2013, ,, 647 ,,3,1,1,Bell Post Hill
27,45 Newton Avenue," 484,092 ", Mar 2020,0," 312,000 ", Dec 2015, ,, 535  ,  120 ,2,2,2,Bell Post Hill
28,157 Anakie Road," 472,000 ", Feb 2020,0, ,, 360 , Mar 2020, 582 ,,3,1,2,Bell Post Hill
29,6 Eagleview Crescent," 620,000 ", 21 Feb 2020,1, ,, ,," 1,029 ",,0,0,0,Bell Post Hill
30,24 Newton Avenue," 477,000 ", Feb 2020,0," 312,000 ", Sep 2012, ,, 527  ,  125 ,4,2,1,Bell Post Hill
31,10 Rita Court," 785,000 ", Jan 2020,0," 279,000 ", Aug 2015, ,, 559 ,,0,0,0,Bell Post Hill
32,36 Rollins Road," 735,000 ", Jan 2020,0," 300,000 ", Nov 2007, ,, 840 ,,0,0,0,Bell Post Hill
33,151 Anakie Road," 590,000 ", Dec 2019,0," 412,500 ", Mar 2017, ,, 641 ,,3,2,2,Bell Post Hill
34,7 Newton Avenue," 460,000 ", Dec 2019,0," 365,000 ", Apr 2015, ,, 532 ,,3,2,2,Bell Post Hill
35,8 Peter Street," 638,000 ", Dec 2019,0," 320,000 ", Dec 2007, ,, 656  ,  187 ,3,2,1,Bell Post Hill
36,2/29 Leila Crescent," 425,000 ", Nov 2019,0, ,, 310 , Dec 2016, 294 ,,0,0,0,Bell Post Hill
37,61 Neil Street," 441,000 ", Nov 2019,0," 115,000 ", Aug 2001, ,, 633 ,,3,1,4,Bell Post Hill
38,88 Fairy Street," 490,000 ", Nov 2019,0, ,, 380 , Nov 2019, 635 ,,3,1,3,Bell Post Hill
39,96 Neil Street," 455,000 ", Nov 2019,0," 385,000 ", Oct 2017, ,, 631 ,,3,1,3,Bell Post Hill
40,51 Darriwill Street," 490,000 ", Nov 2019,0," 225,000 ", Nov 2007, ,, 575  ,  131 ,4,1,5,Bell Post Hill
41,10 Corinella Street," 545,000 ", Oct 2019,0, ,, ,, 649 ,,3,1,2,Bell Post Hill
42,100 Ernest Street," 510,000 ", Oct 2019,0," 108,000 ", Oct 2001, ,, 648 ,,3,1,1,Bell Post Hill
43,73 Corinella Street," 452,500 ", Oct 2019,0," 410,000 ", Dec 2016, ,, 617 ,,5,2,2,Bell Post Hill
44,5A Kinlock Street," 330,000 ", Sep 2019,0, ,, ,, 308 ,,0,0,0,Bell Post Hill
45,6/14-16 Wolseley Grove," 372,500 ", Sep 2019,0," 200,000 ", Dec 2014, ,," 1,299 ",,0,0,0,Bell Post Hill
46,83 Darriwill Street," 480,000 ", Sep 2019,0," 333,000 ", May 2010, ,, 624  ,  180 ,3,2,4,Bell Post Hill
47,25 Aintree Road," 570,000 ", Sep 2019,0," 322,200 ", May 2004, ,, 564 ,,3,2,2,Bell Post Hill
48,1 Milan Street," 400,000 ", Aug 2019,0, ,, ,, ,,2,1,1,Bell Post Hill
49,2 Wolseley Grove," 390,000 ", Aug 2019,0," 95,000 ", Oct 2002, ,, 654  ,  81 ,0,0,0,Bell Post Hill
50,74B Ernest Street," 445,000 ", Aug 2019,0, ,, 385 , Mar 2017, ,,3,2,2,Bell Post Hill
51,38 Jedda Street," 430,000 ", Aug 2019,0," 337,000 ", May 2016, ,, 645  ,  100 ,2,1,1,Bell Post Hill
52,3 Newton Avenue," 420,000 ", Aug 2019,0," 268,000 ", Jul 2012, ,, 543  ,  113 ,3,1,1,Bell Post Hill
53,221 Anakie Road," 545,000 ", Aug 2019,0," 260,000 ", Sep 2008, ,, 593  ,  191 ,4,2,5,Bell Post Hill
54,72 Corinella Street," 580,000 ", Aug 2019,0," 115,000 ", Nov 1984, ,, 624 ,,4,2,4,Bell Post Hill
55,a/1 Ruhamah Avenue," 575,000 ", Jul 2019,0, ,, ,, ,,3,2,2,Bell Post Hill
56,1/70 Ruhamah Avenue," 410,000 ", Jul 2019,0, ,, 350 , Aug 2018, 630 ,,3,1,1,Bell Post Hill
57,34 Liston Street," 405,000 ", Jun 2019,0," 225,000 ", Sep 2006, ,, 635 ,,3,1,2,Bell Post Hill
58,5 Pratt Court," 540,000 ", Jun 2019,0," 284,990 ", Dec 2008, ,, 820 ,,4,2,2,Bell Post Hill
59,31 Jedda Street," 485,000 ", Jun 2019,0," 277,500 ", Dec 2008, ,, 698  ,  219 ,3,1,7,Bell Post Hill
60,2/36 Eagleview Crescent," 365,000 ", Jun 2019,0," 238,000 ", Nov 2009, ,, 305  ,  92 ,0,0,0,Bell Post Hill
61,5B Kinlock Street," 175,000 ", Jun 2019,0, ,, ,, 313 ,,0,0,0,Bell Post Hill
62,31 Ernest Street," 572,500 ", Jun 2019,0," 370,000 ", Feb 2010, ,, 651  ,  385 ,5,2,2,Bell Post Hill
63,61 Ruhamah Avenue," 445,000 ", Jun 2019,0," 302,000 ", Jan 2011, ,, 629  ,  112 ,3,1,3,Bell Post Hill
64,5 Ward Street," 485,000 ", Jun 2019,0, ,, ,, ,,3,2,2,Bell Post Hill
65,40 Kansas Avenue," 447,000 ", May 2019,0, ,, ,, 540 ,,4,1,3,Bell Post Hill
66,45 Kansas Avenue," 452,500 ", May 2019,0," 296,000 ", May 2011, ,, 540  ,  121 ,3,1,4,Bell Post Hill
67,27 Ernest Street," 375,000 ", May 2019,0," 80,000 ", Jul 1992, ,, 643 ,,4,1,1,Bell Post Hill
68,1/57 Rollins Road," 385,000 ", May 2019,0," 280,000 ", Jan 2015, ,, 302 ,,0,0,0,Bell Post Hill
69,58 Ruhamah Avenue," 485,000 ", May 2019,0," 376,500 ", Nov 2014, ,, 621  ,  139 ,3,1,2,Bell Post Hill
70,15 Molloy Court," 590,000 ", Apr 2019,0," 197,000 ", Dec 2011, ,, 428  ,  177 ,3,2,6,Bell Post Hill
71,78 Corinella Street," 480,000 ", Apr 2019,0," 305,000 ", Jun 2014, ,, 628 ,,3,2,3,Bell Post Hill
72,53 Braund Avenue," 488,000 ", Apr 2019,0," 74,000 ", Sep 1988, ,, 634 ,,3,1,5,Bell Post Hill
73,43 Edison Road," 450,000 ", Mar 2019,0," 203,000 ", Feb 2000, ,, 538 ,,3,2,2,Bell Post Hill
74,167 Anakie Road," 440,000 ", Mar 2019,0," 200,000 ", Dec 2004, ,, 563 ,,4,1,2,Bell Post Hill
75,49 Rollins Road," 468,000 ", Mar 2019,0," 360,000 ", Sep 2014, ,, 557  ,  143 ,3,1,3,Bell Post Hill
76,38 Kinlock Street," 480,000 ", Mar 2019,0," 67,500 ", Sep 1999, ,, 620 ,,3,1,6,Bell Post Hill
77,112 Rollins Road," 505,000 ", Mar 2019,0," 360,000 ", May 2013, ,, 613 ,,4,1,2,Bell Post Hill
