,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,1/14 Francis Street," 620,000 ", Aug 2020,0," 395,000 ", Feb 2010, 450 , Nov 2017, 321 ,,0,0,0,Belmont
1,14 Culbin Avenue," 680,000 ", Aug 2020,0," 280,000 ", Sep 2002, 245 , Apr 2007, 690 ,,4,1,3,Belmont
2,23 Tettenhall Ridg," 655,000 ", 29 Aug 2020,1, ,, ,, ,,3,0,0,Belmont
3,23 Tettenhall Ridge," 655,000 ", Aug 2020,0," 415,000 ", Jan 2015, 385 , Nov 2013, 630 ,,3,2,2,Belmont
4,13 Waurn Park Court," 700,000 ", Aug 2020,0," 515,500 ", Jun 2013, ,, 726 ,,4,2,2,Belmont
5,62 Oberon Drive," 425,000 ", 22 Aug 2020,1," 189,000 ", Nov 2001, ,, 664 ,,1,2,2,Belmont
6,4 Leonard Street," 775,000 ", Aug 2020,0," 650,000 ", Sep 2017, 475 , Jan 2019," 1,012 ",,4,1,5,Belmont
7,8 East View Parade," 770,000 ", Aug 2020,0," 685,000 ", Apr 2016, ,, 901 ,,3,1,3,Belmont
8,304 High Street," 513,000 ", Aug 2020,0," 345,000 ", Sep 2017, ,, 380 ,,3,1,1,Belmont
9,20 Tettenhall Ridge," 600,000 ", Aug 2020,0," 380,000 ", Dec 2014, 460 , May 2018, 702 ,,4,2,2,Belmont
10,35 Clarke Avenue," 740,000 ", Aug 2020,0," 371,000 ", Mar 2015, 385 , Dec 2015, 615  ,  164 ,4,2,2,Belmont
11,12 Perth Street," 615,000 ", Aug 2020,0," 460,000 ", Mar 2016, ,, 431  ,  145 ,3,1,2,Belmont
12,33 Cranmere Avenue," 540,000 ", Aug 2020,0," 51,000 ", Apr 1979, ,, 682 ,,3,2,2,Belmont
13,10 Fairfield Avenue," 500,000 ", Aug 2020,0," 387,000 ", May 2017, 300 , Sep 2013, 564 ,,3,1,2,Belmont
14,29 Oxford Street," 672,000 ", Aug 2020,0," 63,500 ", Mar 1988, ,, 702 ,,1,0,0,Belmont
15,4 Charles Street," 560,000 ", Aug 2020,0," 300,000 ", May 2016, ,, 522 ,,3,1,2,Belmont
16,5/29 Eton Road," 502,000 ", Aug 2020,0," 411,000 ", Jun 2017, 370 , Apr 2018, 220 ,,2,2,1,Belmont
17,10 Emerald Court," 658,000 ", 05 Aug 2020,1," 485,000 ", Nov 2016, 430 , Sep 2018, 116 ,,4,2,2,Belmont
18,17 Brocka Avenue," 807,000 ", 05 Aug 2020,1," 315,000 ", Oct 2009, 265 , Jan 2009, 581 ,,3,1,1,Belmont
19,4/13-15 Clarke Avenue," 650,000 ", Aug 2020,0, ,, ,, ,,0,0,0,Belmont
20,19 Mernda Parade," 702,000 ", Aug 2020,0," 415,000 ", May 2013, 425 , Jan 2015, 594  ,  164 ,4,2,1,Belmont
21,8a View Street," 840,000 ", 01 Aug 2020,1, ,, ,, 397 ,,0,0,0,Belmont
22,17 Kidman Avenue," 495,000 ", Jul 2020,0, ,, ,, 709 ,,3,0,0,Belmont
23,1/42 Sanglen Terrace," 405,000 ", Jul 2020,0," 285,000 ", Nov 2011, ,, 75 ,,0,0,0,Belmont
24,4 Cambridge Street," 615,000 ", Jul 2020,0," 470,000 ", Dec 2016, 440 , Feb 2018, 600 ,,3,2,1,Belmont
25,2/32 Elsvern Avenue," 373,000 ", Jul 2020,0," 220,500 ", Jul 2011, 250 , Nov 2014, 108 ,,0,0,0,Belmont
26,2/26 Roslyn Road," 440,000 ", Jul 2020,0," 335,000 ", Apr 2015, ,, 202 ,,0,0,0,Belmont
27,9 Clydesdale Crescent," 600,000 ", Jul 2020,0," 295,000 ", Aug 2005, ,, 671  ,  220 ,3,3,2,Belmont
28,1/14 Regent Street," 400,000 ", Jul 2020,0," 272,000 ", Feb 2000, ,, 186 ,,0,0,0,Belmont
29,5/27 Mt Pleasant Road," 565,000 ", Jul 2020,0," 505,000 ", Mar 2017, 380 , Feb 2013," 2,120 ",,2,2,1,Belmont
30,3/96 Mt Pleasant Road," 396,000 ", Jul 2020,0," 210,000 ", Jul 2004, ,, 191 ,,0,0,0,Belmont
31,60 Pavo Street," 560,000 ", Jul 2020,0," 375,000 ", Oct 2014, ,, 651  ,  122 ,3,1,1,Belmont
32,125 Francis Street," 395,000 ", Jul 2020,0," 249,000 ", Aug 2009, ,, 659 ,,3,1,1,Belmont
33,8b Morris Street," 717,000 ", Jul 2020,0, ,, ,, ,,3,2,2,Belmont
34,8 Church Street," 580,000 ", Jul 2020,0," 156,000 ", Apr 2002, ,, 340 ,,2,1,1,Belmont
35,26 Walpole Avenue," 485,000 ", Jul 2020,0, ,, ,, 650 ,,0,0,0,Belmont
36,16 Hereford Drive," 555,000 ", Jul 2020,0, ,, ,, 738 ,,0,0,0,Belmont
37,30 Seaview Parade," 812,500 ", 11 Jul 2020,1," 355,000 ", Jun 2013, ,, 520 ,,0,0,0,Belmont
38,25 Herd Road," 769,000 ", Jul 2020,0," 205,000 ", May 2002, 510 , Aug 2020, 867 ,,3,1,2,Belmont
39,90 Shackleton Street," 585,000 ", Jul 2020,0," 184,500 ", Jul 2001, ,, 470 ,,0,0,0,Belmont
40,5 Glenbrae Court," 485,000 ", Jul 2020,0," 83,000 ", Jun 1998, 390 , Aug 2020, 649 ,,1,1,1,Belmont
41,24 Cambridge Street," 610,000 ", 04 Jul 2020,1," 315,000 ", Oct 2009, 380 , Aug 2020, 596 ,,3,1,1,Belmont
42,32 Settlement Road," 615,000 ", Jul 2020,0," 390,000 ", Jun 2012, ,, 697  ,  143 ,3,2,2,Belmont
43,31b The Avenue," 393,010 ", Jul 2020,0, ,, ,, 510 ,,0,0,0,Belmont
44,17 Argyle Street," 610,000 ", Jul 2020,0," 374,000 ", Nov 2010, ,, 580  ,  109 ,3,1,2,Belmont
45,69 Summit Avenue," 710,000 ", Jul 2020,0," 235,000 ", Jul 2007, ,, 650  ,  258 ,4,2,2,Belmont
46,9 Roberts Road," 650,000 ", Jun 2020,0," 420,000 ", Jul 2011, 390 , Mar 2018, 759  ,  109 ,3,1,1,Belmont
47,9 Brocka Avenue," 657,000 ", 27 Jun 2020,1," 310,000 ", Jul 2009, 240 , Feb 2008, 581 ,,3,1,1,Belmont
48,1/2 Clarke Avenue," 547,000 ", Jun 2020,0," 305,000 ", Mar 2008, ,, 281  ,  131 ,0,0,0,Belmont
