,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,25 Hitchcock Street," 410,000 ", Aug 2020,0," 130,000 ", Nov 2002, ,, 548 ,,2,0,0,Break Water
1,20 Young Street," 387,000 ", Jun 2020,0," 234,000 ", Aug 2010, ,, 591 ,,0,0,0,Break Water
2,14 Tucker Street," 406,500 ", May 2020,0," 181,000 ", Jun 2006, ,, 687 ,,3,1,1,Break Water
3,2/24 Cosgrove Street," 405,500 ", Dec 2019,0," 302,000 ", Jul 2015, ,, 285  ,  111 ,0,0,0,Break Water
4,33 Hitchcock Street," 410,000 ", Nov 2019,0," 265,000 ", Mar 2015, ,, 560  ,  102 ,2,1,2,Break Water
5,1 Hodges Court," 385,000 ", Oct 2019,0," 336,000 ", Nov 2017, ,, 543 ,,3,1,1,Break Water
6,44 Fidge Crescent," 425,000 ", Oct 2019,0," 250,000 ", Nov 2013, ,, 557  ,  99 ,3,1,2,Break Water
7,10 Fidge Crescent," 382,000 ", Sep 2019,0, ,, ,, 545 ,,3,1,2,Break Water
8,8 Fidge Crescent," 410,000 ", Jul 2019,0," 195,000 ", Oct 2005, ,, 558 ,,3,1,4,Break Water
9,27 Fidge Crescent," 392,000 ", Jul 2019,0," 213,000 ", Mar 2009, ,, 581 ,,3,1,2,Break Water
10,29 Hitchcock Street," 405,000 ", Jul 2019,0," 230,000 ", Jan 2012, ,, 553  ,  102 ,3,1,1,Break Water
11,29B Tanner Street," 400,000 ", Jun 2019,0, ,, 350 , Jun 2019, 337 ,,3,1,2,Break Water
12,52 Tucker Street," 830,000 ", May 2019,0," 110,000 ", Feb 2000, ,," 1,979 ",,4,2,6,Break Water
13,25 Tanner Street," 540,000 ", May 2019,0," 163,000 ", Dec 2008, ,, 767  ,  209 ,4,2,2,Break Water
14,64 Fidge Crescent," 398,000 ", May 2019,0, ,, ,, 558 ,,3,1,2,Break Water
15,8/55 Tanner Street," 359,000 ", May 2019,0," 300,000 ", Sep 2017, ,, 251 ,,2,1,1,Break Water
16,16 Tanner Street," 450,000 ", May 2019,0," 350,000 ", Nov 2013, ,, 613  ,  111 ,4,1,2,Break Water
17,1/21 Tucker Street," 255,000 ", Apr 2019,0, ,, ,, 67 ,,2,1,1,Break Water
18,4/51 Tanner Street," 362,000 ", Jan 2019,0," 272,500 ", Jul 2009, ,, 325  ,  103 ,0,0,0,Break Water
19,4 Solomon Court," 385,000 ", Jan 2019,0, ,, 370 , Mar 2019, 603 ,,3,1,2,Break Water
20,29A Tanner Street," 475,000 ", Jan 2019,0, ,, ,, 428 ,,4,2,3,Break Water
21,16 Hitchcock Street," 376,000 ", 10 Nov 2018,1, ,, ,, 557 ,,3,1,1,Break Water
22,13 Fellmongers Road," 370,000 ", Oct 2018,0, ,, ,, 665 ,,3,1,6,Break Water
23,236 St Albans Road," 455,000 ", Oct 2018,0," 77,500 ", Aug 1995, ,, 663 ,,3,1,3,Break Water
24,41 Fidge Crescent," 375,000 ", Oct 2018,0, ,, 350 , Nov 2018, 589 ,,2,2,2,Break Water
25,108 Tanner Street," 975,000 ", Sep 2018,0," 284,000 ", Feb 2000, ,," 9,977 ",,4,2,3,Break Water
