,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,2/105-107 Plantation Road," 210,000 ", Sep 2020,0," 109,000 ", Nov 2006, ,, 98 ,,0,0,0,Corio
1,42 Purnell Road," 400,000 ", Sep 2020,0, ,, ,, 606 ,,4,1,4,Corio
2,7 Stirling Street," 475,000 ", Sep 2020,0," 380,000 ", Apr 2017, ,, 704 ,,3,2,2,Corio
3,4 Durham Court," 460,000 ", Sep 2020,0," 400,000 ", Dec 2017, ,, 844  ,  107 ,3,1,4,Corio
4,7 Amanda Avenue," 455,000 ", Sep 2020,0," 320,000 ", Mar 2012, ,, 613  ,  152 ,3,2,4,Corio
5,4 Norfolk Crescent," 400,000 ", Aug 2020,0," 67,500 ", Mar 1990, ,, 625 ,,3,1,1,Corio
6,3 Crossley Court," 471,050 ", Aug 2020,0," 265,000 ", Nov 2013, ,, 646  ,  145 ,3,1,5,Corio
7,3/11-13 Corangamite Drive," 310,000 ", Aug 2020,0," 170,000 ", Jan 2006, ,, 286 ,,0,0,0,Corio
8,9 Fairbairn Drive," 310,000 ", Aug 2020,0," 230,000 ", Sep 2016, ,, 626 ,,3,1,4,Corio
9,36 Princess Road," 405,000 ", Aug 2020,0," 185,000 ", Feb 2012, ,, 541  ,  93 ,3,1,1,Corio
10,11 Grevillea Avenue," 380,000 ", Aug 2020,0, ,, ,, 632 ,,0,0,0,Corio
11,74 Hendy Street," 357,000 ", Aug 2020,0, ,, 300 , Apr 2018, 564 ,,3,1,2,Corio
12,18 Leonora Court," 417,000 ", Aug 2020,0," 206,000 ", Oct 2004, ,, 599 ,,3,2,1,Corio
13,3 Atami Crescent," 385,000 ", Aug 2020,0," 207,500 ", Feb 2010, ,, 574 ,,3,1,1,Corio
14,108 Goldsworthy Road," 250,000 ", Aug 2020,0," 54,000 ", Aug 1986, ,, 530 ,,3,1,2,Corio
15,1 Durham Court," 406,000 ", Aug 2020,0," 210,000 ", Jun 2012, ,, 560  ,  108 ,3,1,1,Corio
16,1 Tyrrell Close," 430,000 ", Aug 2020,0," 330,000 ", Feb 2018, ,, 573 ,,3,1,2,Corio
17,46 Kanooka Drive," 390,000 ", Aug 2020,0," 259,000 ", Jun 2015, ,, 539  ,  109 ,3,1,0,Corio
18,2 Montana Court," 418,000 ", Aug 2020,0," 210,000 ", Oct 2016, ,, 542 ,,3,1,1,Corio
19,1 Tambo Court," 335,000 ", Aug 2020,0," 160,000 ", Nov 2014, ,, 635 ,,3,1,1,Corio
20,347 Princes Highway," 372,500 ", Jul 2020,0," 295,000 ", Nov 2016, ,, 557  ,  150 ,5,2,1,Corio
21,7 Shepherdson Avenue," 430,000 ", Jul 2020,0," 227,500 ", Apr 2015, ,, 542  ,  115 ,3,1,2,Corio
22,44 Colorado Drive," 358,000 ", Jul 2020,0," 160,000 ", Jun 2005, ,, 531  ,  98 ,3,1,6,Corio
23,4/6-8 Corangamite Drive," 292,000 ", Jul 2020,0," 150,000 ", May 2005, ,, 227 ,,0,0,0,Corio
24,10 Beech Court," 318,000 ", Jul 2020,0," 160,000 ", May 2006, ,, 606 ,,3,1,3,Corio
