,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,21 McNeill Avenue," 510,000 ", Aug 2020,0, ,, ,, 703 ,,3,2,2,East Geelong
1,5 Boyne Avenue," 745,000 ", Aug 2020,0," 315,350 ", Sep 2008, ,, 434  ,  129 ,2,1,1,East Geelong
2,23 Loch Street," 685,000 ", Aug 2020,0," 540,000 ", Oct 2017, ,, 337 ,,3,2,2,East Geelong
3,4 Bendle Street," 740,000 ", Aug 2020,0," 255,000 ", Dec 2006, ,, 672  ,  131 ,3,1,1,East Geelong
4,7/22-24 Walter Street," 365,000 ", Jul 2020,0, ,, 280 , Mar 2017, 159 ,,0,0,0,East Geelong
5,8 Thear Street," 790,000 ", Jul 2020,0," 77,500 ", Oct 1993, ,, 563 ,,3,2,2,East Geelong
6,13 Powell Street," 680,000 ", 27 Jun 2020,1, ,, ,, 694 ,,0,0,0,East Geelong
7,191 Verner Street," 665,000 ", Jun 2020,0," 439,000 ", Feb 2016, ,, 337 ,,2,1,1,East Geelong
8,6 Tully Street," 760,000 ", 23 May 2020,1," 340,000 ", Oct 2007, ,, 322 ,,3,1,2,East Geelong
9,335 Myers Street," 831,000 ", May 2020,0," 407,500 ", Jun 2007, ,, 475 ,,3,1,2,East Geelong
10,31 St Albans Road," 472,000 ", May 2020,0," 349,000 ", Feb 2017, ,, 56 ,,2,1,1,East Geelong
11,3/346 Myers Street," 385,000 ", Apr 2020,0," 184,500 ", Jan 2006, ,, 120 ,,0,0,0,East Geelong
12,2/229 Verner Street," 500,000 ", Apr 2020,0, ,, 340 , Oct 2015, ,,4,1,1,East Geelong
13,24 Loch Street," 910,000 ", Mar 2020,0," 147,500 ", Feb 2000, ,, 399  ,  134 ,3,2,2,East Geelong
14,3 Limeburners Road," 1,020,000 ", 28 Mar 2020,1," 344,500 ", Jun 2008, ,, 726 ,,2,1,2,East Geelong
15,3 Helen Street," 465,000 ", 09 Mar 2020,1," 238,000 ", Jan 2013, ,, 355  ,  77 ,2,1,2,East Geelong
16,5 Connor Street," 896,000 ", Mar 2020,0," 500,000 ", Mar 2010, ,, 432  ,  140 ,3,2,2,East Geelong
17,3 Connor Street," 1,051,520 ", 29 Feb 2020,1, ,, ,, 864 ,,3,0,0,East Geelong
18,486 Ryrie Street," 880,000 ", Feb 2020,0," 425,000 ", Mar 2008, ,, 473 ,,3,2,2,East Geelong
19,16 Paterson Street," 630,000 ", Feb 2020,0, ,, ,, 586 ,,3,2,4,East Geelong
20,7 Lindon Street," 500,000 ", Feb 2020,0, ,, 295 , Mar 2015, 291 ,,2,1,3,East Geelong
21,4/346 Myers Street," 395,000 ", Jan 2020,0," 290,000 ", Dec 2016, ,, 185 ,,0,0,0,East Geelong
22,12 Orchard Street," 710,000 ", Jan 2020,0," 61,000 ", Jan 1985, ,, 394 ,,4,3,3,East Geelong
23,268 Mckillop Street," 977,000 ", Dec 2019,0," 798,000 ", Oct 2017, ,, 565 ,,4,3,4,East Geelong
24,85 Normanby Street," 491,598 ", Dec 2019,0," 352,000 ", Mar 2017, ,, 69 ,,2,1,1,East Geelong
25,407 Myers Street," 595,000 ", Dec 2019,0," 260,000 ", Nov 2008, ,, 730 ,,3,1,1,East Geelong
26,30 Humble Street," 640,000 ", Dec 2019,0," 422,000 ", Sep 2010, ,, 292 ,,2,2,1,East Geelong
27,8 Loftus Street," 520,000 ", Nov 2019,0," 166,250 ", Mar 2014, ,, 556  ,  120 ,0,0,0,East Geelong
28,14 Philpott Street," 1,148,000 ", 23 Nov 2019,1," 625,000 ", Aug 2013, ,, 566 ,,3,2,4,East Geelong
29,5 Kernot Street," 625,000 ", 23 Nov 2019,1," 390,000 ", Apr 2010, ,, 314 ,,3,1,2,East Geelong
30,10 Thear Street," 1,020,000 ", 16 Nov 2019,1," 613,000 ", Apr 2017, ,, 563 ,,2,1,2,East Geelong
31,73 Normanby Street," 788,000 ", 16 Nov 2019,1," 560,000 ", Oct 2014, ,, 453  ,  129 ,3,1,2,East Geelong
32,3 Orchard Street," 445,000 ", Nov 2019,0, ,, ,, 331 ,,2,1,0,East Geelong
33,12 Meakin Street," 1,020,000 ", Nov 2019,0," 477,500 ", Jun 2004, ,, 150 ,,3,2,2,East Geelong
34,4/6 Chapman Crescent," 435,500 ", Oct 2019,0, ,, 385 , Nov 2019, 207 ,,2,2,1,East Geelong
35,185 McKillop Street," 770,000 ", 26 Oct 2019,1," 379,000 ", Aug 2007, ,, 435  ,  168 ,3,1,2,East Geelong
36,223 McKillop Street," 535,000 ", Oct 2019,0, ,, ,, 482 ,,0,0,0,East Geelong
37,5 Philpott Street," 965,000 ", 19 Oct 2019,1," 300,000 ", Apr 2004, ,, 563 ,,4,2,1,East Geelong
38,313 McKillop Street," 445,000 ", Oct 2019,0, ,, ,, 585 ,,0,0,0,East Geelong
39,6/450 Ryrie Street," 310,000 ", Oct 2019,0," 54,500 ", Jan 1996, ,, 66 ,,2,1,1,East Geelong
40,406 Myers Street," 725,000 ", Sep 2019,0," 135,000 ", Nov 1997, ,, 692 ,,4,2,3,East Geelong
41,25 Martin Street," 660,000 ", Sep 2019,0," 345,000 ", Dec 2012, ,, 663 ,,2,1,4,East Geelong
42,1A Normanby Street," 590,000 ", 21 Sep 2019,1, ,, ,, 153 ,,2,1,1,East Geelong
