,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,775 Pettavel Road," 1,400,000 ", Aug 2020,0," 445,000 ", May 2002, ,," 40,328 ",,0,0,0,Freshwater Creek
1,535 Pettavel Road," 1,560,000 ", Jul 2020,0," 570,000 ", Apr 2005, ,," 42,344 ",,5,2,3,Freshwater Creek
2,30 Hardings Road," 1,675,000 ", Oct 2019,0, ,, ,," 54,016 ",,4,2,12,Freshwater Creek
3,785 Dickins Road," 1,195,000 ", 26 Oct 2019,1, ,, ,," 80,649 ",,0,0,0,Freshwater Creek
4,5 Hardings Road," 1,520,000 ", Dec 2018,0," 165,500 ", Sep 1984, ,," 43,471 ",,0,0,0,Freshwater Creek
5,735 Anglesea Road," 805,000 ", Nov 2018,0," 347,000 ", Mar 2003, 600 , Nov 2019," 19,882 ",,4,1,2,Freshwater Creek
6,1120 Anglesea Road," 1,150,000 ", Jul 2018,0," 511,000 ", Dec 2005, 650 , Nov 2019," 17,665 ",,3,2,2,Freshwater Creek
7,455 Dickins Road," 1,600,000 ", Jul 2018,0," 602,500 ", Sep 2011, ,," 68,918 ",,4,2,2,Freshwater Creek
8,1115 Dickins Road," 1,600,000 ", Jul 2018,0," 570,000 ", May 2009, ,," 470,388 ",,0,0,0,Freshwater Creek
9,900 Mt Duneed Road," 1,642,000 ", Aug 2017,0, ,, ,," 39,405 ",,0,0,0,Freshwater Creek
10,380 Coombes Road," 1,235,000 ", 20 May 2017,1," 210,000 ", May 1989, ,," 89,717 ",,0,0,0,Freshwater Creek
11,135 Loutitt Bay Road," 1,225,000 ", Dec 2016,0," 392,500 ", Dec 2001, ,," 64,489  ",  230 ,0,0,0,Freshwater Creek
12,25 Hardings Road," 1,200,000 ", Nov 2016,0, ,, ,," 86,805 ",,0,0,0,Freshwater Creek
13,510 Loutitt Bay Road," 1,320,000 ", Oct 2016,0," 1,100,000 ", May 2007, ,," 70,409 ",,0,0,0,Freshwater Creek
14,865 Anglesea Road," 1,390,000 ", Apr 2016,0, ,, ,," 105,600 ",,0,0,0,Freshwater Creek
15,605 Mt Duneed Road," 720,000 ", Mar 2016,0, ,, ,," 56,656  ",  167 ,0,0,0,Freshwater Creek
16,655 Willowite Road," 870,000 ", Oct 2015,0," 580,000 ", Jun 2003, ,," 15,016 ",,5,2,4,Freshwater Creek
17,1305 Blackgate Road," 1,075,000 ", Oct 2015,0, ,, ,," 144,885 ",,3,2,3,Freshwater Creek
18,175 Brushfields Road," 1,250,000 ", Oct 2015,0," 750,000 ", Dec 2010, ,," 555,258 ",,0,0,0,Freshwater Creek
19,155 Loutitt Bay Road," 1,210,000 ", Oct 2015,0," 367,000 ", May 2003, ,," 90,585  ",  343 ,4,3,2,Freshwater Creek
20,1060 Anglesea Road," 730,000 ", Jul 2015,0, ,, ,," 23,232 ",,3,2,2,Freshwater Creek
21,55 Woodland Road," 410,000 ", Jun 2015,0, ,, ,," 844,103 ",,0,0,0,Freshwater Creek
22,1185 Black Gate Road," 1,075,000 ", 06 Jun 2015,1, ,, ,," 363,920 ",,0,0,0,Freshwater Creek
23,15 Hardings Road," 1,320,500 ", May 2015,0," 320,000 ", Mar 1998, ,," 34,398  ",  327 ,5,4,3,Freshwater Creek
24,1395 Blackgate Road," 1,210,000 ", May 2015,0," 380,000 ", Apr 1996, ,," 246,818  ",  50 ,8,3,16,Freshwater Creek
25,720 Dickins Road," 1,100,000 ", Apr 2015,0," 85,000 ", Oct 1988, ,," 46,777  ",  269 ,0,0,0,Freshwater Creek
26,500 Dickins Road," 1,100,000 ", Jan 2015,0, ,, ,," 37,861  ",  302 ,0,0,0,Freshwater Creek
27,550 Dickins Road," 920,000 ", 06 Dec 2014,1, ,, ,," 15,020 ",,4,3,5,Freshwater Creek
28,830 Anglesea Road," 1,000,000 ", Nov 2014,0, ,, ,," 347,909 ",,0,0,0,Freshwater Creek
29,2225 Hendy Main Road," 760,000 ", Nov 2014,0, ,, ,," 28,959  ",  114 ,3,1,2,Freshwater Creek
30,655 Anglesea Road," 770,000 ", 25 Oct 2014,1, ,, 400 , Mar 2013," 8,091 ",,6,3,4,Freshwater Creek
31,690 Dickins Road," 1,295,000 ", Sep 2014,0, ,, 420 , Sep 2014," 796,467 ",,0,0,0,Freshwater Creek
32,975 Mt Duneed Road," 1,000,000 ", Sep 2014,0, ,, ,," 299,138  ",  163 ,3,1,0,Freshwater Creek
33,755 Anglesea Road," 1,100,000 ", Sep 2014,0, ,, ,," 102,428 ",,0,0,0,Freshwater Creek
34,1180 Anglesea Road," 1,175,000 ", Apr 2014,0, ,, ,," 620,021 ",,0,0,0,Freshwater Creek
35,745 Dickins Road," 1,025,000 ", Dec 2013,0," 520,000 ", Dec 2002, ,," 237,367 ",,0,0,0,Freshwater Creek
36,380 Pettavel Road," 1,100,000 ", Nov 2013,0, ,, ,," 450,125 ",,0,0,0,Freshwater Creek
37,20 Yandina Road," 890,000 ", Oct 2013,0, ,, ,," 124,216  ",  236 ,0,0,0,Freshwater Creek
38,675 Anglesea Road," 1,000,000 ", Sep 2013,0," 130,000 ", Mar 1996, ,," 158,407 ",,2,1,1,Freshwater Creek
39,950 Pettavel road," 1,650,000 ", Sep 2013,0, ,, ,," 1,039,838 ",,0,0,0,Freshwater Creek
40,1210 Anglesea Road," 660,000 ", Aug 2013,0, ,, ,," 285,659 ",,0,0,0,Freshwater Creek
41,450 Dickins Road," 890,000 ", Mar 2013,0, ,, ,," 216,101 ",,0,0,0,Freshwater Creek
42,795 Anglesea Road," 1,054,120 ", Mar 2013,0," 570,000 ", Nov 1997, ,," 126,716 ",,0,0,0,Freshwater Creek
43,680 GHAZEEPORE Road," 1,550,000 ", Oct 2012,0, ,, ,," 2,764 ",,1,1,3,Freshwater Creek
44,685 Ghazeepore Road," 1,550,000 ", Oct 2012,0, ,, ,, ,,0,0,0,Freshwater Creek
45,235 Bogans Lane," 850,000 ", Apr 2012,0, ,, ,," 84,374 ",,0,0,0,Freshwater Creek
46,2045 Hendy Main Road," 650,000 ", Dec 2011,0, ,, ,," 16,096  ",  136 ,3,1,4,Freshwater Creek
47,880 Dickins Road," 837,500 ", Nov 2011,0, ,, ,," 122,684  ",  226 ,0,0,0,Freshwater Creek
48,815 Pettavel Road," 1,540,000 ", Oct 2011,0," 825,000 ", Jun 2001, ,," 206,560 ",,0,0,0,Freshwater Creek
49,425 Mt Duneed Road," 1,310,000 ", Jun 2011,0, ,, ,," 319,398 ",,0,0,0,Freshwater Creek
50,765 Anglesea Road," 1,320,000 ", May 2011,0, ,, ,," 69,614 ",,4,3,0,Freshwater Creek
51,665 Anglesea Road," 610,000 ", Apr 2010,0, ,, ,," 63,782 ",,3,2,0,Freshwater Creek
52,Lot A/1180 Anglesea Road," 2,355,000 ", Feb 2010,0, ,, ,," 63,540 ",,0,0,0,Freshwater Creek
53,Lot B/1180 Anglesea Road," 1,110,000 ", Feb 2010,0, ,, ,," 29,950 ",,0,0,0,Freshwater Creek
54,640 Anglesea Road," 950,000 ", Dec 2009,0, ,, ,," 121,285 ",,2,1,0,Freshwater Creek
55,915 Dickins Road," 1,591,000 ", Nov 2009,0, ,, ,," 90,240 ",,3,1,0,Freshwater Creek
56,895 Dickins Road," 1,591,000 ", Nov 2009,0, ,, ,," 894,618 ",,0,0,0,Freshwater Creek
57,865-895 Dickins Road," 1,150,000 ", Aug 2009,0, ,, ,, ,,3,2,4,Freshwater Creek
