,Unnamed: 0,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,0,19A Curtin Street," 190,000 ", Sep 2020,0, ,, ,, 242 ,,0,0,0,Bell Park
1,1,1 Milton Street," 560,000 ", Aug 2020,0, ,, ,, 873 ,,3,1,4,Bell Park
2,2,28 Anakie Road," 458,000 ", Aug 2020,0," 236,000 ", Apr 2009, ,, 604  ,108.0,3,1,2,Bell Park
3,3,2/12 Willow Crescent," 395,000 ", Aug 2020,0," 247,000 ", May 2009, ,, 223 ,,0,0,0,Bell Park
4,4,1/42 Curtin Street," 400,000 ", Aug 2020,0," 290,000 ", Jul 2014, ,, 331  ,136.0,4,1,2,Bell Park
5,5,26 Bellavista Road," 445,000 ", Aug 2020,0," 432,000 ", Aug 2018, ,, 332 ,,2,1,2,Bell Park
6,6,23 Malinda Crescent," 530,000 ", Jul 2020,0, ,, ,, 636 ,,0,0,0,Bell Park
7,7,12 Nambet Court," 465,000 ", Jul 2020,0," 96,000 ", Jul 1999, ,, 650 ,,3,2,2,Bell Park
8,8,29 Alicia Street," 495,000 ", Jul 2020,0," 325,000 ", Dec 2014, ,, 627  ,107.0,3,1,2,Bell Park
9,9,2/45 Thorburn Street," 517,500 ", Jul 2020,0, ,, ,, ,,0,0,0,Bell Park
10,10,144 Separation Street," 460,000 ", Jul 2020,0, ,, ,, 602 ,,3,1,3,Bell Park
11,11,3/6 Hughes Street," 470,000 ", Jun 2020,0, ,, 360 , Nov 2019, 197 ,,0,0,0,Bell Park
12,12,21 Karlovac Court," 510,000 ", Jun 2020,0," 226,000 ", Jan 2006, ,, 565  ,116.0,3,2,2,Bell Park
13,13,4 Samuel Close," 666,000 ", Jun 2020,0, ,, ,, 823 ,,0,0,0,Bell Park
14,14,2/206B Separation Street," 521,000 ", Jun 2020,0, ,, ,, ,,0,0,0,Bell Park
15,15,206B Separation Street," 521,000 ", Jun 2020,0, ,, ,, ,,0,0,0,Bell Park
16,16,25 Prestige Avenue," 715,000 ", Jun 2020,0," 83,000 ", Oct 2002, ,, 631 ,,4,2,2,Bell Park
17,17,1 Malinda Crescent," 560,000 ", Jun 2020,0," 395,000 ", Mar 2017, ,, 798  ,160.0,3,2,4,Bell Park
18,18,1/3 Tallinn Street," 455,000 ", May 2020,0, ,, ,, ,,0,0,0,Bell Park
19,19,82 Mcclelland Street," 493,000 ", May 2020,0," 390,000 ", Nov 2016, ,, 610  ,116.0,3,1,1,Bell Park
20,20,2 Levoca Court," 475,000 ", May 2020,0," 317,500 ", Mar 2015, ,, 600  ,130.0,4,1,4,Bell Park
21,21,30 Hedgeley Road," 652,500 ", May 2020,0," 489,000 ", Oct 2015, ,, 505 ,,4,2,3,Bell Park
22,22,2 Ralph Court," 555,000 ", May 2020,0," 335,000 ", Apr 2008, ,, 549 ,,0,0,0,Bell Park
23,23,9B Elsie Street," 570,000 ", Apr 2020,0, ,, ,, 335 ,,0,0,0,Bell Park
24,24,1/1a Maple Crescent," 340,000 ", Apr 2020,0, ,, ,, 270 ,,0,0,0,Bell Park
25,25,15 Hammersley Road," 510,000 ", Apr 2020,0," 291,000 ", Feb 2000, ,, 580 ,,3,2,2,Bell Park
26,26,24 Nanworen Crescent," 491,500 ", Mar 2020,0," 108,500 ", Oct 1999, ,, 726 ,,3,1,1,Bell Park
27,27,4/31 Libau Avenue," 272,000 ", 14 Mar 2020,1," 250,000 ", Sep 2018, ,, 116 ,,0,0,0,Bell Park
28,28,62 Anakie Road," 405,000 ", Mar 2020,0, ,, ,, 653 ,,0,0,0,Bell Park
29,29,2/38 Maple Crescent," 539,000 ", Mar 2020,0, ,, ,, 223 ,,0,0,0,Bell Park
30,30,76 Bruce Street," 489,000 ", Mar 2020,0, ,, ,, 153 ,,2,2,2,Bell Park
31,31,17 Ashleigh Crescent," 620,000 ", Feb 2020,0, ,, ,, 673 ,,4,2,3,Bell Park
32,32,31 Ozone Crescent," 518,000 ", Feb 2020,0," 310,000 ", May 2009, ,, 658 ,,5,2,1,Bell Park
33,33,1/180 Separation Street," 510,000 ", Feb 2020,0," 482,500 ", Oct 2018, ,, 295 ,,0,0,0,Bell Park
34,34,1/9 Deakin Street," 345,000 ", Feb 2020,0, ,, 265 , Nov 2018, 289 ,,2,1,1,Bell Park
35,35,71 Nicholson Crescent," 360,000 ", Feb 2020,0," 280,000 ", Feb 2017, ,, 749 ,,2,1,0,Bell Park
36,36,1/106 Anakie Road," 419,000 ", Jan 2020,0, ,, 400 , Oct 2018, 312 ,,3,2,2,Bell Park
37,37,52 Furner Avenue," 461,050 ", Jan 2020,0, ,, ,, 315 ,,2,2,3,Bell Park
38,38,B/24 Thorburn Street," 422,500 ", Jan 2020,0, ,, ,, ,,0,0,0,Bell Park
39,39,1/18 Yaraan Street," 550,000 ", Jan 2020,0, ,, ,, 308 ,,3,2,2,Bell Park
40,40,39 Tallinn Street," 486,000 ", Jan 2020,0, ,, ,, 625 ,,0,0,0,Bell Park
41,41,1-2 Dena Court," 702,000 ", Dec 2019,0," 635,000 ", Feb 2017, ,, 626 ,,4,2,2,Bell Park
42,42,96 McClelland Street," 531,000 ", 14 Dec 2019,1," 430,000 ", Feb 2017, ,, 604  ,145.0,3,1,7,Bell Park
43,43,12 Anakie Road," 370,000 ", 07 Dec 2019,1, ,, ,, 651 ,,0,0,0,Bell Park
