,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,23 Anglesea Terrace," 707,000 ", Sep 2020,0, ,, ,, ,,3,1,6,Geelong West
1,8B Britannia Street," 790,000 ", Aug 2020,0, ,, ,, ,,0,0,0,Geelong West
2,31 Catherine Street," 720,000 ", Aug 2020,0," 269,000 ", Dec 2002, ,, 334 ,,3,0,0,Geelong West
3,32B Wellington Street," 390,000 ", 22 Aug 2020,1, ,, ,, 277 ,,0,0,0,Geelong West
4,79 Isabella Street," 602,500 ", 22 Aug 2020,1, ,, ,, 421 ,,0,0,0,Geelong West
5,5/194 Aberdeen Street," 280,000 ", Aug 2020,0," 231,800 ", May 2013, 260 , Jul 2016, 701  ,  65 ,0,0,0,Geelong West
6,30 Maitland Street," 1,250,000 ", Aug 2020,0," 71,000 ", Feb 2000, ,, 473  ,  166 ,0,0,0,Geelong West
7,1/108 Gertrude Street," 373,000 ", Aug 2020,0," 320,000 ", Sep 2017, 250 , Dec 2013, 131 ,,0,0,0,Geelong West
8,51 Albert Street," 625,000 ", Aug 2020,0," 430,000 ", Dec 2013, 350 , Jul 2019, 314  ,  76 ,2,1,1,Geelong West
9,1/8 Bowlers Avenue," 441,500 ", Aug 2020,0," 89,000 ", Aug 1996, ,, 130 ,,0,0,0,Geelong West
10,4 Waratah Street," 815,000 ", Aug 2020,0, ,, ,, 455 ,,0,0,0,Geelong West
11,87 Isabella Street," 1,000,000 ", Aug 2020,0," 305,000 ", Apr 2013, ,, 558  ,  96 ,2,1,1,Geelong West
12,44 Catherine Street," 600,000 ", Aug 2020,0, ,, 325 , Jul 2013, 283 ,,2,1,1,Geelong West
13,4/2 Britannia Street," 535,000 ", Aug 2020,0," 453,000 ", Jun 2017, 410 , Jan 2019, 205 ,,0,0,0,Geelong West
14,33a Hope Street," 644,000 ", 25 Jul 2020,1," 445,000 ", Nov 2015, 300 , Jun 2017, 317  ,  85 ,2,1,1,Geelong West
15,47 Elizabeth Street," 1,195,000 ", Jul 2020,0, ,, ,, 579 ,,4,2,4,Geelong West
16,9 Weller Street," 805,000 ", Jul 2020,0," 144,500 ", Mar 1999, 500 , Mar 2019, 333 ,,3,1,1,Geelong West
17,21 Coquette Street," 665,000 ", Jul 2020,0," 605,000 ", Nov 2017, 400 , Sep 2018, 339  ,  93 ,2,1,2,Geelong West
18,40 Avon Street," 1,000,000 ", Jul 2020,0," 352,500 ", Apr 2011, ,, 466  ,  187 ,3,1,1,Geelong West
19,202 Shannon Avenue," 520,000 ", Jul 2020,0," 195,000 ", Oct 2004, ,, 322  ,  75 ,3,1,1,Geelong West
20,2/2 Donaghy Street," 790,000 ", Jul 2020,0, ,, 550 , Nov 2010, 260 ,,3,2,2,Geelong West
21,32B Elizabeth Street," 560,000 ", Jul 2020,0, ,, 395 , Sep 2019, 312 ,,3,1,1,Geelong West
22,180 Autumn Street," 995,000 ", 27 Jun 2020,1," 101,500 ", Aug 1993, ,, 841 ,,0,0,0,Geelong West
23,8/48-50 Britannia Street," 720,000 ", Jun 2020,0, ,, ,, 234 ,,3,2,2,Geelong West
24,21 Candover Street," 767,500 ", 20 Jun 2020,1, ,, ,, 549 ,,3,0,0,Geelong West
25,40-42 Potter Street," 1,155,000 ", Jun 2020,0, ,, ,, 419 ,,4,2,2,Geelong West
26,67 Waratah Street," 1,210,000 ", Jun 2020,0," 490,000 ", Dec 2013, ,, 446 ,,3,2,2,Geelong West
27,142 Autumn Street," 955,000 ", Jun 2020,0," 450,000 ", Apr 2006, ,, 515 ,,3,1,0,Geelong West
28,47 Waratah Street," 676,000 ", Jun 2020,0, ,, ,, 377 ,,2,1,1,Geelong West
29,116 Hope Street," 685,000 ", Jun 2020,0," 440,000 ", Aug 2009, ,, 188  ,  125 ,3,2,2,Geelong West
30,112 Aberdeen Street," 995,000 ", May 2020,0," 85,000 ", Feb 2000, ,, 708 ,,4,3,3,Geelong West
31,2/114-116 Isabella Street," 718,500 ", May 2020,0, ,, 500 , Nov 2019, 156 ,,3,2,2,Geelong West
32,1/201 Hope Street," 850,000 ", May 2020,0, ,, ,, 297 ,,0,0,0,Geelong West
33,13 Crofton Street," 637,000 ", May 2020,0," 227,000 ", Aug 2004, 305 , Dec 2013, 409  ,  97 ,3,1,2,Geelong West
34,6 Pizer Street," 720,000 ", May 2020,0," 560,000 ", Jul 2015, 475 , Jul 2019, 283 ,,3,1,1,Geelong West
35,38 Catherine Street," 850,000 ", May 2020,0, ,, ,, 284 ,,3,2,1,Geelong West
36,30 Coquette Street," 720,000 ", 11 May 2020,1," 126,500 ", Jul 2000, ,, 395 ,,3,2,2,Geelong West
37,8A McNabb Avenue," 475,000 ", May 2020,0, ,, ,, ,,0,0,0,Geelong West
38,23B Elizabeth Street," 1,410,000 ", May 2020,0, ,," 1,000 ", May 2019, 510 ,,3,2,4,Geelong West
39,44 Lawton Avenue," 934,500 ", 27 Apr 2020,1, ,, ,, 73 ,,3,0,0,Geelong West
40,6/40 Britannia Street," 341,500 ", Apr 2020,0," 215,000 ", Feb 2011, 130 , Sep 2004, 60  ,  58 ,0,0,0,Geelong West
41,3/139 Weller Street," 262,500 ", Apr 2020,0," 205,000 ", Sep 2016, 260 , May 2020, 118 ,,0,0,0,Geelong West
42,5 St James Street," 750,000 ", 04 Apr 2020,1," 575,000 ", Nov 2013, ,, 594  ,  144 ,3,1,2,Geelong West
43,12 Coquette Street," 572,000 ", 24 Mar 2020,1, ,, 250 , Apr 2013, 369 ,,1,1,2,Geelong West
44,21 French Street," 850,000 ", 21 Mar 2020,1," 575,000 ", May 2016, ,, 390  ,  138 ,3,2,2,Geelong West
45,1/48 Collins Street," 645,000 ", Mar 2020,0, ,, 480 , Mar 2020, 311 ,,3,1,2,Geelong West
46,136 Aberdeen Street," 770,000 ", Mar 2020,0," 580,000 ", May 2014, 170 , Jun 2005, 479  ,  150 ,3,1,2,Geelong West
47,141 Hope Street," 855,000 ", Mar 2020,0," 400,000 ", Apr 2014, 470 , Jan 2016, 247  ,  137 ,3,1,1,Geelong West
48,3/125 Church Street," 330,000 ", Mar 2020,0," 215,000 ", Sep 2010, ,, 135 ,,0,0,0,Geelong West
49,35 Gertrude Street," 685,000 ", Mar 2020,0," 612,000 ", Oct 2011, ,, 446 ,,3,1,2,Geelong West
50,14 Addis Street," 780,000 ", Mar 2020,0," 165,000 ", Jul 2000, 500 , Apr 2020, 715 ,,3,2,1,Geelong West
51,6-8 Timms Lane," 900,000 ", Feb 2020,0, ,, ,, ,,0,0,0,Geelong West
52,13 Collins Street," 676,000 ", 26 Feb 2020,1," 539,000 ", Apr 2014, ,, 161 ,,3,2,2,Geelong West
53,102 Clarence Street," 1,115,000 ", 22 Feb 2020,1," 94,900 ", Jun 1994, ,, 651  ,  180 ,4,1,2,Geelong West
54,3 Arnott Street," 1,110,000 ", 22 Feb 2020,1," 891,000 ", May 2017, ,, 485 ,,4,1,2,Geelong West
55,6 Timms Lane," 900,000 ", Feb 2020,0, ,, 675 , Apr 2020, 181 ,,3,3,2,Geelong West
56,16 Raven Street," 595,000 ", Feb 2020,0," 390,000 ", Aug 2014, 350 , Jan 2019, 450  ,  120 ,0,0,0,Geelong West
