,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,25 Burleigh Drive," 585,000 ", Aug 2020,0," 375,000 ", Aug 2013, ,, 675  ,  184 ,3,2,2,Grovedale
1,11 Maramba Avenue," 615,000 ", Aug 2020,0," 399,000 ", Sep 2013, ,, 624 ,,4,2,1,Grovedale
2,2 Rau Court," 595,000 ", Aug 2020,0," 540,000 ", Aug 2017, ,, 727  ,  153 ,4,2,2,Grovedale
3,5 Barry Court," 540,000 ", Aug 2020,0," 403,000 ", Dec 2015, ,, 511  ,  180 ,3,2,2,Grovedale
4,8 Langham Court," 480,000 ", Aug 2020,0, ,, ,, 714 ,,3,1,2,Grovedale
5,14 Carnarvon Drive," 518,000 ", Aug 2020,0," 75,000 ", Apr 1985, ,, 577 ,,3,3,1,Grovedale
6,135 Grove Road," 715,000 ", 01 Aug 2020,1, ,, ,," 1,324 ",,0,0,0,Grovedale
7,62 Smith Street," 567,000 ", Jul 2020,0," 405,000 ", Oct 2014, ,, 583  ,  167 ,4,2,2,Grovedale
8,1/9 Rubens Court," 385,000 ", Jul 2020,0, ,, ,, 259 ,,0,0,0,Grovedale
9,2/155 Heyers Road," 495,000 ", Jul 2020,0," 370,000 ", Jan 2014, ,, 359  ,  116 ,0,0,0,Grovedale
10,43 Greenville Drive," 520,000 ", Jul 2020,0," 415,000 ", Jun 2017, ,, 680 ,,3,1,6,Grovedale
11,2 Elinbank Drive," 490,000 ", Jul 2020,0," 240,000 ", Dec 2008, ,, 601  ,  128 ,3,2,2,Grovedale
12,1 Torres Court," 412,000 ", Jul 2020,0," 331,000 ", May 2016, ,, 640 ,,3,2,2,Grovedale
13,8 Eldine Court," 525,000 ", Jul 2020,0," 310,000 ", May 2011, ,, 694 ,,3,2,2,Grovedale
14,27 Carstairs Close," 451,000 ", Jul 2020,0," 300,000 ", Jun 2011, ,, 406  ,  100 ,3,1,1,Grovedale
15,1/13 Matthews Street," 475,000 ", Jul 2020,0," 341,000 ", Apr 2012, ,, 317  ,  127 ,3,2,2,Grovedale
16,1/293 Torquay Road," 350,000 ", Jul 2020,0," 265,000 ", Feb 2000, ,, 227  ,  84 ,2,1,1,Grovedale
17,8 Binalong Court," 545,500 ", Jul 2020,0, ,, ,, 597 ,,0,0,0,Grovedale
18,11 Coventry Court," 473,000 ", Jul 2020,0," 213,000 ", Jul 2003, ,, 822 ,,4,1,2,Grovedale
19,27 Beringa Avenue," 510,000 ", Jul 2020,0," 336,000 ", Apr 2015, ,, 630 ,,3,2,3,Grovedale
20,58 Gloucester Street," 470,000 ", 11 Jul 2020,1," 51,000 ", Aug 1978, ,, 737  ,  150 ,3,2,2,Grovedale
21,2 Torres Court," 617,000 ", Jul 2020,0," 349,000 ", May 2015, ,, 676 ,,3,2,4,Grovedale
22,17 Hollows Court," 657,500 ", Jul 2020,0," 357,000 ", Sep 2007, ,, 658  ,  222 ,4,2,2,Grovedale
23,149 ROSSACK Drive," 291,000 ", Jul 2020,0," 180,000 ", Dec 2015, ,, 400 ,,0,0,0,Grovedale
24,134 Burdoo Drive," 460,000 ", Jul 2020,0," 225,000 ", Mar 2007, ,, 602  ,  145 ,3,1,2,Grovedale
25,135 Rossack Drive," 655,000 ", Jul 2020,0, ,, ,, 447 ,,0,0,0,Grovedale
26,208 Grove Road," 637,655 ", Jul 2020,0," 64,000 ", Mar 2001, ,, 648 ,,1,0,0,Grovedale
27,192 Barwarre Road," 510,000 ", Jul 2020,0," 110,000 ", Aug 2005, ,, 531  ,  143 ,3,2,2,Grovedale
28,6 Lansdowne Court," 520,000 ", Jul 2020,0," 67,720 ", Jul 1984, ,, 661 ,,0,0,0,Grovedale
29,10 Patonga Crescent," 480,000 ", Jul 2020,0," 260,000 ", Oct 2009, ,, 576 ,,3,2,2,Grovedale
30,40 Diaz Drive," 600,000 ", Jun 2020,0," 449,000 ", Feb 2015, ,, 571  ,  168 ,4,2,2,Grovedale
31,14 Camira Court," 600,000 ", 28 Jun 2020,1," 379,000 ", Jun 2010, ,, 698 ,,3,2,2,Grovedale
32,68 Greenville Drive," 469,000 ", Jun 2020,0," 150,000 ", Dec 2001, ,, 605  ,  129 ,3,2,2,Grovedale
