,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,28 Sladen Street," 497,000 ", Aug 2020,0," 113,500 ", Jan 2001, ,, 635  ,  120 ,3,1,2,Hamlyn Heights
1,20B Marlo Street," 535,000 ", Aug 2020,0, ,, ,, 300 ,,2,2,2,Hamlyn Heights
2,43 Hamlyn Avenue," 540,000 ", Aug 2020,0," 515,000 ", Nov 2018, ,, 362  ,  113 ,3,1,0,Hamlyn Heights
3,120 Sladen Street," 577,500 ", Aug 2020,0," 414,000 ", Aug 2015, ,, 602  ,  120 ,3,1,1,Hamlyn Heights
4,26 Highview Parade," 525,000 ", Aug 2020,0," 125,000 ", Apr 2008, ,, 636 ,,3,1,2,Hamlyn Heights
5,2/64 Sladen Street," 482,000 ", Aug 2020,0," 469,000 ", Sep 2018, ,, 357  ,  130 ,0,0,0,Hamlyn Heights
6,1 Heather Street," 454,000 ", 24 Jul 2020,1," 88,000 ", Mar 2000, ,, 581 ,,3,1,1,Hamlyn Heights
7,4 Sladen Street," 480,000 ", Jul 2020,0," 244,000 ", Sep 2009, ,, 635 ,,3,1,1,Hamlyn Heights
8,12b Logan Street," 798,000 ", Jul 2020,0, ,, ,, ,,3,2,2,Hamlyn Heights
9,272 Church Street," 502,500 ", Jul 2020,0, ,, ,, 705 ,,0,0,0,Hamlyn Heights
10,14 Griffen Street," 883,000 ", Jul 2020,0," 340,000 ", Aug 2014, ,, 767  ,  81 ,1,1,2,Hamlyn Heights
11,24 Griffen Street," 565,000 ", Jul 2020,0, ,, ,, 766 ,,0,0,0,Hamlyn Heights
12,26 Waymouth Street," 480,000 ", Jul 2020,0, ,, ,, 669 ,,0,0,0,Hamlyn Heights
13,2/45 Sladen Street," 505,000 ", Jul 2020,0," 358,000 ", Mar 2015, ,, 182 ,,3,2,2,Hamlyn Heights
14,8 Lantana Avenue," 800,000 ", Jul 2020,0, ,, ,," 1,223 ",,0,0,0,Hamlyn Heights
15,14 Fairlie Street," 409,000 ", Jul 2020,0," 185,000 ", Dec 2005, ,, 378 ,,2,1,1,Hamlyn Heights
16,9 Little Avenue," 685,000 ", Jun 2020,0," 319,000 ", Oct 2011, ,, 561 ,,3,1,2,Hamlyn Heights
17,1/9 Quamby Avenue," 432,000 ", Jun 2020,0, ,, ,, ,,2,1,1,Hamlyn Heights
18,3 Glenfine Avenue," 485,000 ", Jun 2020,0," 352,500 ", Oct 2017, ,, 224  ,  95 ,2,1,1,Hamlyn Heights
19,15 Langibanool Avenue," 579,000 ", Jun 2020,0," 330,000 ", Feb 2011, ,, 731  ,  18 ,4,1,4,Hamlyn Heights
