,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,4/56 Hennessy Avenue," 290,000 ", Aug 2020,0, ,, ,, ,,0,0,0,Herne Hill
1,4/16 Stafford Street," 250,000 ", Aug 2020,0," 166,500 ", Nov 2009, ,, 68 ,,0,0,0,Herne Hill
2,3 Karoomba Avenue," 562,000 ", Aug 2020,0," 87,500 ", Apr 1995, ,, 771 ,,3,1,4,Herne Hill
3,9 Bonview Avenue," 760,000 ", Aug 2020,0," 416,000 ", Nov 2013, ,, 725  ,  178 ,4,2,3,Herne Hill
4,3/19 Wirksworth Street," 240,000 ", Aug 2020,0, ,, 180 , May 2016, 560 ,,0,0,0,Herne Hill
5,6 Panorama Road," 600,000 ", Aug 2020,0," 60,500 ", May 1987, ,, 580 ,,3,1,1,Herne Hill
6,28 Cole Street," 530,000 ", Aug 2020,0," 342,500 ", Jun 2012, ,, 305 ,,3,2,2,Herne Hill
7,19 Karoomba Avenue," 764,000 ", Jul 2020,0," 640,000 ", Jun 2017, ,, 877 ,,3,1,1,Herne Hill
8,21 Ashbourne Street," 631,000 ", 04 Jul 2020,1, ,, ,, 729 ,,0,0,0,Herne Hill
9,40 Hennessy Avenue," 587,000 ", Jun 2020,0," 105,000 ", Sep 1998, ,, 604 ,,3,1,1,Herne Hill
10,2 Muxworthy Avenue," 530,000 ", Jun 2020,0," 310,000 ", May 2012, ,, 286 ,,3,1,1,Herne Hill
11,3/36 Heytesbury Street," 721,500 ", Jun 2020,0, ,, ,, 212 ,,0,0,0,Herne Hill
12,5 Bakewell Street," 715,000 ", Jun 2020,0, ,, ,, 609 ,,3,1,1,Herne Hill
13,136 McCurdy Road," 340,000 ", Jun 2020,0," 310,000 ", Apr 2018, ,, 618 ,,0,0,0,Herne Hill
14,48 Maurice Street," 565,000 ", May 2020,0," 556,400 ", Oct 2018, ,, 675 ,,3,1,4,Herne Hill
15,12 Edinburgh Avenue," 645,000 ", May 2020,0," 525,000 ", Jan 2010, ,, 581 ,,3,0,0,Herne Hill
16,7 Muxworthy Avenue," 780,000 ", May 2020,0," 238,000 ", Jan 2007, ,, 511  ,  140 ,4,1,2,Herne Hill
17,57 Itkeston Street," 651,000 ", May 2020,0," 255,000 ", Dec 2006, ,, 532  ,  128 ,3,1,2,Herne Hill
18,35 Maurice Street," 515,000 ", May 2020,0," 268,000 ", Jun 2010, ,, 664 ,,2,1,2,Herne Hill
19,3/26 Fraser Street," 275,000 ", May 2020,0," 157,000 ", Aug 2015, ,, 76 ,,0,0,0,Herne Hill
20,41 Rix Street," 580,000 ", Apr 2020,0," 420,000 ", Mar 2016, ,, 437  ,  150 ,4,1,2,Herne Hill
21,5 Marlborough Street," 580,000 ", Apr 2020,0," 428,100 ", Jan 2016, ,, 466 ,,3,2,2,Herne Hill
22,13 Derby Road," 465,000 ", 21 Mar 2020,1, ,, ,, 618 ,,0,0,0,Herne Hill
23,1 Norwood Street," 650,000 ", Mar 2020,0," 306,000 ", Mar 2010, ,, 556  ,  110 ,3,1,4,Herne Hill
24,1/376 Autumn Street," 419,000 ", 14 Mar 2020,1," 169,000 ", Nov 2008, ,, 98 ,,0,0,0,Herne Hill
25,4/20 Heytesbury Street," 265,000 ", Mar 2020,0, ,, ,, 768 ,,0,0,0,Herne Hill
26,3/81 Heytesbury Street," 269,000 ", Feb 2020,0," 195,000 ", May 2012, ,, 80 ,,0,0,0,Herne Hill
27,52 Itkeston Street," 525,000 ", 22 Feb 2020,1, ,, ,, 608 ,,0,0,0,Herne Hill
28,19 Ashbourne Street," 640,000 ", 22 Feb 2020,1, ,, ,, 731 ,,0,0,0,Herne Hill
29,43 Rix Street," 645,000 ", 25 Jan 2020,1," 397,000 ", Feb 2018, ,, 432 ,,2,1,1,Herne Hill
30,2/126 McCurdy Road," 490,000 ", Jan 2020,0, ,, ,, 261 ,,3,1,1,Herne Hill
31,4 Azilemot Avenue," 475,000 ", Jan 2020,0," 390,000 ", Nov 2015, ,, 429  ,  98 ,3,1,6,Herne Hill
32,26 Castleton Road," 605,000 ", Jan 2020,0," 96,500 ", Aug 1992, ,, 697 ,,0,0,0,Herne Hill
33,1/42 Itkeston Street," 500,000 ", Jan 2020,0, ,, 400 , Aug 2019, 345 ,,3,1,1,Herne Hill
34,251 Church Street," 520,000 ", Jan 2020,0," 143,000 ", Sep 2001, ,, 579 ,,3,1,2,Herne Hill
35,13 Maurice Street," 505,000 ", Dec 2019,0," 290,000 ", Dec 2012, ,, 678  ,  90 ,0,0,0,Herne Hill
36,71 Graylea Avenue," 410,000 ", Dec 2019,0, ,, ,, 614 ,,0,0,0,Herne Hill
37,15 Staverly Road," 495,000 ", 14 Dec 2019,1, ,, ,, 538 ,,0,0,0,Herne Hill
