,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,4/15-16 Jewell Place," 610,000 ", Aug 2020,0," 370,000 ", Apr 2008, ,, 419 ,,0,0,0,Highton
1,161 Mt Pleasant Road," 745,000 ", Aug 2020,0," 210,000 ", Sep 2000, ,, 595 ,,3,2,2,Highton
2,28B Victory Way," 540,000 ", Aug 2020,0, ,, 480 , Aug 2020, ,,0,0,0,Highton
3,90 Leigh Road," 825,000 ", Aug 2020,0," 177,000 ", Jun 2009, ,, 704 ,,0,0,0,Highton
4,20 Moreton Bay Drive," 490,000 ", Aug 2020,0," 365,000 ", Oct 2013, 260 , Oct 2012, 612 ,,3,1,1,Highton
5,3/165 Barrabool Road," 428,000 ", Aug 2020,0," 270,000 ", Oct 2014, 350 , Aug 2020, 176 ,,0,0,0,Highton
6,16 Amberley Court," 910,000 ", Aug 2020,0," 545,000 ", Apr 2010, 420 , Jan 2009," 1,003 ",,4,2,2,Highton
7,126 South Valley Road," 450,000 ", Aug 2020,0," 97,500 ", Jun 2004, ,, 669  ,  149 ,3,1,1,Highton
8,5 Lambhill Crescent," 612,000 ", Aug 2020,0, ,, ,, 701 ,,3,1,1,Highton
9,6 Torulosa Court," 660,000 ", Aug 2020,0," 495,000 ", Oct 2017, 480 , Dec 2019, 614 ,,3,1,1,Highton
10,7 Stoneleigh Crescent," 360,000 ", Aug 2020,0," 165,000 ", Jul 2013, ,, 754  ,  318 ,0,0,0,Highton
11,4/29 Hutcheson Avenue," 520,000 ", Aug 2020,0," 135,000 ", Jan 1994, ,, 107 ,,0,0,0,Highton
12,49 Leigh Road," 680,000 ", Aug 2020,0," 65,000 ", Jul 2001, ,, 472 ,,0,0,0,Highton
13,6 Vanessa Avenue," 490,000 ", Aug 2020,0, ,, ,, 890 ,,0,0,0,Highton
14,25 Broughton Drive," 512,000 ", Aug 2020,0," 430,000 ", Aug 2016, ,, 465 ,,3,1,2,Highton
15,20 Jinjella Road," 884,000 ", 08 Aug 2020,1," 65,000 ", Jun 1991, ,, 751 ,,0,0,0,Highton
16,15 Knollbrook Close," 730,000 ", Aug 2020,0," 132,000 ", Jan 2004, ,, 826 ,,0,0,0,Highton
17,48 Barwon Boulevard," 760,000 ", Aug 2020,0," 550,000 ", Feb 2016, ,, 884  ,  180 ,3,2,2,Highton
18,278 Scenic Road," 901,500 ", 08 Aug 2020,1," 517,500 ", Sep 2013, ,," 1,043 ",,4,2,5,Highton
19,12 Avondale Avenue," 735,000 ", Aug 2020,0," 187,000 ", Jul 2007, ,, 620 ,,0,0,0,Highton
20,2/129 Barrabool Road," 310,000 ", Aug 2020,0," 202,000 ", Mar 2014, 250 , Sep 2012, 74 ,,2,1,1,Highton
21,2 Desmond Street," 630,000 ", 05 Aug 2020,1," 272,000 ", Dec 2007, 180 , Dec 2004," 1,003 ",,3,2,2,Highton
22,5 Carina Way," 355,000 ", Aug 2020,0, ,, ,, 765 ,,0,0,0,Highton
23,22 Patern Street," 720,000 ", Aug 2020,0, ,, 380 , Aug 2020, 767 ,,3,1,3,Highton
24,56 Belle Vue Avenue," 601,000 ", 03 Aug 2020,1," 360,000 ", Apr 2016, 400 , Nov 2017, 765  ,  96 ,3,1,1,Highton
25,4 Lichen Grove," 710,000 ", 01 Aug 2020,1, ,, ,," 1,011 ",,0,0,0,Highton
26,6/15-16 Jewell Place," 590,000 ", Jul 2020,0," 370,000 ", Apr 2008, ,, 439 ,,0,0,0,Highton
27,24 Vanessa Avenue," 751,000 ", Jul 2020,0," 65,000 ", Sep 1990, ,, 868 ,,4,0,0,Highton
28,1 Knollbrook Close," 575,000 ", 25 Jul 2020,1," 420,000 ", Jul 2014, ,, 565  ,  192 ,3,2,2,Highton
29,11 Shire Court," 365,000 ", Jul 2020,0," 66,700 ", Jul 2001, ,, 682 ,,4,2,2,Highton
30,6/15 Jewell Place," 590,000 ", Jul 2020,0," 370,000 ", Apr 2008, ,, 439 ,,0,0,0,Highton
31,10 Lipizzaner Court," 980,000 ", Jul 2020,0," 597,500 ", Jun 2016, 480 , Jul 2015, 562  ,  272 ,4,2,2,Highton
32,2/127 Barrabool Road," 639,000 ", Jul 2020,0, ,, ,, 148 ,,0,0,0,Highton
33,17 Nedlands Drive," 770,000 ", Jul 2020,0," 173,000 ", Jan 2009, ,, 729 ,,0,0,0,Highton
34,2/168 Thornhill Road," 360,000 ", Jul 2020,0," 297,000 ", Feb 2015, 330 , Apr 2019, 264 ,,0,0,0,Highton
35,36 Porter Avenue," 521,000 ", Jul 2020,0, ,, ,, 589 ,,2,1,2,Highton
36,22 Montrose Place," 930,000 ", Jul 2020,0, ,, ,, 951 ,,4,2,2,Highton
37,14 Rathmines Place," 600,000 ", Jul 2020,0," 330,000 ", May 2004, 395 , Apr 2012, 411 ,,3,1,2,Highton
38,7 Percy Jones Court," 822,000 ", Jul 2020,0," 568,000 ", Dec 2011, ,, 913  ,  226 ,4,2,4,Highton
39,16 Duggan Court," 640,000 ", 11 Jul 2020,1, ,, ,, 712 ,,0,0,0,Highton
40,18 Aringa Avenue," 642,000 ", Jul 2020,0, ,, ,, 632 ,,0,0,0,Highton
41,15 Villawood Court," 657,000 ", 11 Jul 2020,1," 53,000 ", Mar 1994, ,, 924 ,,0,0,0,Highton
42,16 Moreton Bay Drive," 692,000 ", 11 Jul 2020,1," 550,000 ", Jun 2017, ,, 593 ,,3,1,2,Highton
43,32 Molesworth Drive," 790,000 ", Jul 2020,0," 580,000 ", Feb 2011, ,, 718 ,,4,2,2,Highton
44,12 Kennedy Grove," 570,000 ", 11 Jul 2020,1," 345,000 ", May 2012, 370 , May 2012, 586  ,  118 ,3,1,1,Highton
45,124 Province Boulevard," 260,000 ", Jul 2020,0," 215,000 ", May 2018, ,, 751 ,,0,0,0,Highton
46,70 Augustine Drive," 722,500 ", Jul 2020,0," 487,500 ", Mar 2013, 450 , Dec 2015, 704  ,  230 ,4,2,2,Highton
47,1/7 Leigh Road," 605,000 ", Jul 2020,0, ,, 450 , Aug 2017, 310 ,,0,0,0,Highton
48,11 Northbridge Road," 620,000 ", Jul 2020,0," 155,000 ", Dec 2016, ,, 357 ,,0,0,0,Highton
49,21 Cara Road," 756,000 ", Jul 2020,0," 430,000 ", Aug 2010, 340 , Dec 2014, 817  ,  165 ,3,2,2,Highton
50,43 Cara Road," 595,000 ", 27 Jun 2020,1," 58,000 ", Mar 1980, ,, 687 ,,3,2,2,Highton
51,3 Ettric Way," 560,000 ", Jun 2020,0," 437,000 ", Mar 2016, 410 , May 2015, 362  ,  128 ,3,2,2,Highton
52,14 Clydesdale Way," 733,800 ", Jun 2020,0," 530,000 ", May 2013, ,, 708 ,,3,2,2,Highton
53,96 Fogarty Avenue," 815,000 ", Jun 2020,0," 570,000 ", May 2006, ,, 665 ,,4,2,2,Highton
54,3/132 South Valley Road," 402,000 ", Jun 2020,0," 283,000 ", Apr 2014, ,, 187  ,  71 ,0,0,0,Highton
55,8 Highpoint Crescent," 296,000 ", Jun 2020,0, ,, ,, 726 ,,0,0,0,Highton
56,9/12 Cedar Grove," 359,000 ", Jun 2020,0," 255,000 ", Feb 2015, 340 , May 2019," 3,682 ",,0,0,0,Highton
57,26 Pepperdine Way," 1,062,500 ", Jun 2020,0," 307,500 ", Apr 2016, ,, 683 ,,0,0,0,Highton
58,2/25 Elizabeth Street," 325,000 ", Jun 2020,0," 244,000 ", Feb 2012, 260 , Nov 2015, 95 ,,2,1,1,Highton
59,4 Highpoint Crescent," 250,000 ", Jun 2020,0, ,, ,, 659 ,,0,0,0,Highton
60,3 Swanbourne Avenue," 640,000 ", Jun 2020,0," 552,000 ", Jul 2015, 550 , Apr 2013, 309  ,  206 ,3,2,2,Highton
