,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,938 Manzeene Village," 275,000 ", Sep 2020,0, ,, ,, ,,0,0,0,Lara
1,29 Canterbury Road," 635,000 ", Sep 2020,0, ,, ,, ,,4,2,4,Lara
2,28B Station Lake Road," 410,000 ", Aug 2020,0," 275,000 ", Mar 2015, 300 , Apr 2017, 476 ,,3,1,2,Lara
3,20 Lapwing Drive," 537,500 ", Aug 2020,0," 173,000 ", May 2013, ,, 434  ,  156 ,2,2,0,Lara
4,5 Callistemon Circuit," 243,900 ", Aug 2020,0, ,, ,, ,,0,0,0,Lara
5,20 Wathaurong Drive," 620,000 ", Aug 2020,0, ,, ,, ,,0,0,0,Lara
6,(Lot 821) 18 Floret Drive," 265,000 ", Aug 2020,0, ,, ,, ,,0,0,0,Lara
7,110 Canterbury Road West," 483,000 ", Aug 2020,0," 178,000 ", Sep 2012, ,, 480 ,,0,0,0,Lara
8,38 Smeaton Close," 545,000 ", Aug 2020,0," 339,000 ", Jul 2015, ,, 860 ,,3,2,3,Lara
9,18 Pelican Way," 810,000 ", Aug 2020,0," 199,000 ", Jun 2014, ,, 669 ,,0,0,0,Lara
10,41 Nankeen Avenue," 880,000 ", Aug 2020,0," 245,000 ", Nov 2011, ,," 1,056  ",  320 ,0,0,0,Lara
11,"15 Canterbury Road, East"," 377,000 ", Aug 2020,0, ,, ,, ,,0,0,0,Lara
12,15 Canterbury Road East," 377,000 ", Aug 2020,0, ,, ,, ,,3,1,2,Lara
13,17 Bath Street," 625,000 ", Aug 2020,0," 480,000 ", Sep 2010, ,, 669  ,  251 ,4,2,2,Lara
14,28-30 Brolga Way," 600,000 ", Aug 2020,0, ,, ,, 502 ,,0,0,0,Lara
15,142 Canterbury Road West," 552,500 ", Aug 2020,0," 395,000 ", Dec 2016, 420 , Oct 2017, 626  ,  118 ,3,2,2,Lara
16,73 Station Lake Road," 585,000 ", 11 Aug 2020,1," 132,000 ", Aug 1992, ,, 703 ,,4,0,0,Lara
17,52 Lara Boulevard," 850,000 ", 10 Aug 2020,1," 63,000 ", Aug 2000, ,, 606  ,  312 ,0,0,0,Lara
18,495 Bacchus Marsh Road," 1,150,000 ", Aug 2020,0," 410,000 ", Nov 2007, ,," 17,472  ",  126 ,3,2,3,Lara
19,147 Rennie Street," 430,000 ", Aug 2020,0, ,, ,, 726 ,,3,1,1,Lara
