,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,1 Trewheela," 555,000 ", Sep 2020,0, ,, ,, ,,3,2,2,Manifold Heights
1,263 Autumn Street," 1,300,000 ", Aug 2020,0," 335,000 ", Aug 2012, 270 , Aug 2010, 613  ,  247 ,4,1,1,Manifold Heights
2,5/57 Shannon Avenue," 255,000 ", Jun 2020,0," 218,000 ", Apr 2015, 245 , Sep 2014," 1,000 ",,0,0,0,Manifold Heights
3,12 Orr Street," 600,000 ", May 2020,0, ,, ,, 643 ,,3,1,6,Manifold Heights
4,3/5 Calder Street," 510,000 ", May 2020,0," 337,000 ", May 2007, ,, 248 ,,0,0,0,Manifold Heights
5,21 Volum Street," 1,500,000 ", May 2020,0," 740,000 ", Aug 2009, ,," 1,068 ",,4,2,4,Manifold Heights
6,3/10 Oliver Street," 315,000 ", Mar 2020,0," 200,000 ", Jun 2010, 260 , Sep 2015, 65 ,,2,1,1,Manifold Heights
7,308 Aberdeen Street," 585,500 ", 14 Mar 2020,1," 126,000 ", Feb 2001, ,, 358 ,,2,1,1,Manifold Heights
8,14 Roxby Street," 1,134,500 ", Mar 2020,0," 480,000 ", Mar 2003, ,, 790 ,,3,3,3,Manifold Heights
9,41 Strachan Avenue," 1,437,500 ", Mar 2020,0," 895,000 ", Oct 2011, ,, 941 ,,4,2,2,Manifold Heights
10,79 Shannon Avenue," 660,000 ", Feb 2020,0," 345,000 ", Dec 2014, 430 , Jun 2017, 448  ,  154 ,4,1,3,Manifold Heights
11,4/9 Roxby Street," 382,000 ", Feb 2020,0," 245,000 ", Nov 2011, 255 , Oct 2012, 98 ,,0,0,0,Manifold Heights
12,64 Wimmera Avenue," 629,250 ", 07 Dec 2019,1, ,, ,, 654 ,,0,0,0,Manifold Heights
13,3 Malvern Grove," 940,000 ", 30 Nov 2019,1," 115,000 ", Nov 1994, 450 , Mar 2016, 641  ,  178 ,4,2,1,Manifold Heights
14,3 Silk Avenue," 755,000 ", 23 Nov 2019,1," 475,000 ", Nov 2007, ,, 324  ,  115 ,3,2,2,Manifold Heights
15,10 Sydenham Avenue," 691,000 ", 09 Nov 2019,1, ,, ,, 703 ,,3,1,1,Manifold Heights
16,3/215 Church Street," 250,000 ", 30 Oct 2019,1," 185,000 ", Mar 2013, 300 , Nov 2019, 68 ,,0,0,0,Manifold Heights
17,273 Autumn Street," 1,199,000 ", 26 Oct 2019,1," 392,000 ", Jan 2015, 290 , Aug 2014, 650  ,  195 ,3,1,1,Manifold Heights
18,21 Lascelles Avenue," 1,205,000 ", Oct 2019,0," 1,000,000 ", Jun 2018, ,, 982 ,,4,3,2,Manifold Heights
19,13 Girton Crescent," 840,000 ", 22 Oct 2019,1," 790,000 ", Sep 2018, ,, 649 ,,3,1,1,Manifold Heights
20,338 Aberdeen Street," 620,000 ", Oct 2019,0, ,, ,, 663 ,,3,1,1,Manifold Heights
21,91 Shannon Avenue," 660,000 ", 14 Sep 2019,1," 435,000 ", Dec 2014, 320 , Feb 2014, 613 ,,2,1,3,Manifold Heights
22,2/6 Strachan Avenue," 339,000 ", Sep 2019,0," 230,000 ", Mar 2014, 285 , Sep 2014, 85  ,  82 ,0,0,0,Manifold Heights
23,7 Lascelles Avenue," 561,500 ", Aug 2019,0," 76,500 ", Jun 1996, 350 , Oct 2019, 483 ,,3,1,1,Manifold Heights
24,5/43-45 Sydenham Avenue," 365,000 ", Aug 2019,0," 285,000 ", Feb 2011, 330 , May 2020, 127 ,,0,0,0,Manifold Heights
25,5 Philip Street," 600,000 ", Aug 2019,0, ,, ,, 671 ,,3,1,2,Manifold Heights
26,3/362 Aberdeen Street," 311,000 ", Jul 2019,0," 284,000 ", Sep 2013, 290 , Aug 2019, 125 ,,2,1,1,Manifold Heights
27,348 Aberdeen Street," 567,000 ", Jul 2019,0," 175,000 ", Jun 2002, 220 , Apr 2007, 672 ,,2,1,1,Manifold Heights
28,17 Wimmera Avenue," 1,225,000 ", Jun 2019,0," 875,000 ", Nov 2014, ,, 599 ,,5,2,2,Manifold Heights
29,6a Lascelles Avenue," 632,000 ", Jun 2019,0," 309,000 ", Dec 2006, 370 , Dec 2014, 625 ,,3,1,3,Manifold Heights
30,5/9 Manifold Street," 298,000 ", Jun 2019,0," 227,500 ", Apr 2013, 270 , May 2013, 64 ,,0,0,0,Manifold Heights
31,108 Minerva Road," 410,000 ", May 2019,0, ,, ,, 13 ,,0,0,0,Manifold Heights
32,7/197 Church Street," 218,000 ", May 2019,0, ,, ,, 48 ,,0,0,0,Manifold Heights
33,130 Minerva Road," 660,000 ", May 2019,0," 265,000 ", Feb 2004, 420 , Apr 2019, 598 ,,3,1,2,Manifold Heights
34,3/17 Lascelles Avenue," 310,000 ", May 2019,0," 159,000 ", Sep 2004, 300 , Nov 2018, 75  ,  57 ,0,0,0,Manifold Heights
35,4 Evelyn Street," 638,000 ", 04 May 2019,1, ,, 300 , Jun 2019, 694 ,,2,1,5,Manifold Heights
36,35 Lascelles Avenue," 709,000 ", 04 May 2019,1," 72,200 ", Mar 1985, ,, 506 ,,3,1,1,Manifold Heights
37,46 Lascelles Avenue," 690,000 ", 23 Mar 2019,1," 95,000 ", Apr 1991, 400 , May 2019, 780 ,,3,1,2,Manifold Heights
38,25 Orr Street," 715,000 ", Mar 2019,0," 430,000 ", Apr 2013, 385 , Jul 2020, 697  ,  134 ,3,1,3,Manifold Heights
39,7 Breguet Street," 575,000 ", Feb 2019,0," 410,000 ", Feb 2010, ,, 300 ,,3,2,2,Manifold Heights
40,8 Evelyn Street," 920,000 ", Feb 2019,0," 299,000 ", Jun 2007, ,, 695  ,  150 ,4,2,2,Manifold Heights
41,6 Grundell Close," 575,000 ", Feb 2019,0," 393,000 ", Nov 2014, ,, 482 ,,3,1,2,Manifold Heights
42,288 Autumn Street," 790,000 ", Jan 2019,0," 620,000 ", Aug 2016, ,, 700  ,  160 ,3,2,1,Manifold Heights
43,2/2 Wimmera Avenue," 372,000 ", Jan 2019,0," 179,000 ", May 2009, 280 , Jan 2017, 79 ,,0,0,0,Manifold Heights
44,9 Orr Street," 765,000 ", Jan 2019,0," 58,000 ", Sep 1985, ,, 697 ,,4,1,1,Manifold Heights
45,16 Douglass Street," 891,000 ", Dec 2018,0," 363,000 ", Jun 2009, ,, 651  ,  190 ,4,2,1,Manifold Heights
46,5/13 Manifold Street," 280,000 ", Dec 2018,0," 210,000 ", Jun 2015, 235 , Sep 2015, 66 ,,0,0,0,Manifold Heights
47,38 Sydenham Avenue," 780,000 ", 08 Dec 2018,1," 354,000 ", Feb 2005, ,, 613 ,,4,2,2,Manifold Heights
48,2/15 bostock avenue," 331,000 ", Nov 2018,0," 260,000 ", Oct 2010, 240 , Nov 2009, 136 ,,0,0,0,Manifold Heights
49,15 Herne Street," 643,000 ", Nov 2018,0, ,, 340 , Nov 2019, 666 ,,3,1,2,Manifold Heights
50,33 Girton Crescent," 1,550,000 ", Nov 2018,0," 320,000 ", Aug 2003, 285 , Mar 2012, 650 ,,4,3,2,Manifold Heights
51,41 Volum Street," 1,450,000 ", Nov 2018,0," 248,550 ", Apr 2007, ,," 1,109 ",,4,2,1,Manifold Heights
52,56 Minerva Road," 904,000 ", 10 Nov 2018,1," 255,000 ", Dec 2002, ,, 873  ,  176 ,3,2,4,Manifold Heights
53,55 Shannon Avenue," 700,015 ", Nov 2018,0," 520,000 ", Apr 2016, 480 , Dec 2011, 522  ,  169 ,4,2,2,Manifold Heights
54,1/27 Roxby Street," 735,000 ", Nov 2018,0," 450,000 ", Mar 2013, 550 , Apr 2019, 204 ,,3,2,2,Manifold Heights
55,55 Sydenham Avenue," 730,000 ", Oct 2018,0," 470,000 ", Apr 2006, 500 , Jun 2019, 664  ,  166 ,4,2,1,Manifold Heights
56,8/197 CHURCH Street," 205,000 ", Oct 2018,0," 111,000 ", Jun 2007, 210 , Nov 2018, 47 ,,0,0,0,Manifold Heights
57,1 Bostock Avenue," 1,060,000 ", 03 Oct 2018,1," 180,000 ", Nov 2000, ,, 510 ,,4,2,3,Manifold Heights
58,233 Autumn Street," 940,000 ", Sep 2018,0," 376,000 ", Oct 2013, ,, 602  ,  115 ,4,4,2,Manifold Heights
59,9 Purrumbete Avenue," 1,400,000 ", 15 Sep 2018,1," 1,087,500 ", May 2015, ,, 966  ,  298 ,5,3,2,Manifold Heights
60,54 Calder Street," 781,000 ", 15 Sep 2018,1," 417,500 ", Jul 2011, 430 , Oct 2018, 675 ,,3,1,1,Manifold Heights
61,3/27 Roxby Street," 735,000 ", Sep 2018,0," 427,000 ", May 2010, 390 , Dec 2008, 227 ,,3,2,2,Manifold Heights
62,17 Narmbool Street," 972,500 ", Aug 2018,0," 435,000 ", Aug 2004, ,, 847 ,,4,2,2,Manifold Heights
63,13 Strachan Avenue," 1,277,000 ", Aug 2018,0," 88,000 ", Jul 1986, 500 , Jun 2019, 928 ,,3,3,3,Manifold Heights
64,3 Merton Grove," 420,000 ", Aug 2018,0, ,, 260 , Oct 2018, 442 ,,2,1,0,Manifold Heights
65,1/3 Merton Grove," 420,000 ", 11 Aug 2018,1," 60,000 ", Feb 1992, ,," 1,248 ",,2,1,0,Manifold Heights
66,8 Herne Street," 720,000 ", Aug 2018,0, ,, 350 , Sep 2018, 678 ,,3,1,1,Manifold Heights
67,265 Autumn Street," 670,000 ", 04 Aug 2018,1," 475,000 ", Nov 2015, 380 , Mar 2017, 615  ,  138 ,4,1,1,Manifold Heights
68,3 Airey Avenue," 664,000 ", Jul 2018,0," 90,000 ", Jun 1993, ,, 504 ,,3,1,2,Manifold Heights
69,1/215 Church Street," 360,000 ", Jul 2018,0," 270,000 ", Nov 2011, 275 , Feb 2018, 490 ,,2,1,1,Manifold Heights
70,4/40 Lascelles Avenue," 420,000 ", Jul 2018,0," 117,000 ", Jul 1999, 295 , May 2017, 206  ,  105 ,0,0,0,Manifold Heights
71,60 Minerva Road," 615,000 ", Jun 2018,0," 201,000 ", Jul 2005, ,, 243 ,,3,1,2,Manifold Heights
72,4/40-42 Calder Street," 305,000 ", Jun 2018,0," 245,000 ", Nov 2016, ,, 88 ,,0,0,0,Manifold Heights
73,11 Malvern Grove," 575,000 ", 02 Jun 2018,1," 306,500 ", Jan 2008, 305 , Jun 2012, 581 ,,3,1,1,Manifold Heights
74,2 Manifold Street," 676,000 ", May 2018,0, ,, 320 , Aug 2018, 721 ,,4,2,5,Manifold Heights
75,3/9 Manifold Street," 280,000 ", May 2018,0," 79,000 ", Apr 2000, 290 , May 2019, 64 ,,0,0,0,Manifold Heights
76,259 Autumn Street," 825,000 ", May 2018,0," 470,000 ", Feb 2000, ,, 608 ,,3,2,2,Manifold Heights
77,5/197 Church Street," 227,000 ", May 2018,0," 177,000 ", Feb 2014, 220 , Jan 2017, 47 ,,1,1,1,Manifold Heights
78,3/22 Roxby Street," 360,000 ", May 2018,0," 75,000 ", Sep 1996, ,, 77 ,,0,0,0,Manifold Heights
79,9 Bostock Avenue," 695,000 ", May 2018,0," 210,000 ", Jan 2001, 400 , Sep 2019, 614 ,,3,2,1,Manifold Heights
80,24 Girton Crescent," 1,287,000 ", Apr 2018,0," 663,500 ", Jun 2010, ,, 769 ,,3,2,1,Manifold Heights
81,16 Wimmera Avenue," 815,000 ", 14 Apr 2018,1," 590,000 ", Oct 2015, ,, 663 ,,3,2,2,Manifold Heights
82,1 Central Avenue," 940,000 ", 10 Apr 2018,1," 233,000 ", Mar 1999, ,, 643 ,,3,2,2,Manifold Heights
83,2B Minerva Road," 519,000 ", Apr 2018,0, ,, ,, 162 ,,3,2,1,Manifold Heights
84,55 Lascelles Avenue," 632,000 ", Apr 2018,0," 455,000 ", Feb 2015, 215 , Oct 2005, 650  ,  104 ,3,1,2,Manifold Heights
85,26 Sydenham Avenue," 910,000 ", Mar 2018,0," 450,000 ", Mar 2011, ,, 380 ,,0,0,0,Manifold Heights
86,235 Autumn Street," 580,000 ", Mar 2018,0," 322,500 ", Feb 2009, 350 , Jan 2017, 604  ,  147 ,3,1,2,Manifold Heights
87,1 Lascelles Avenue," 540,000 ", Mar 2018,0, ,, 420 , Jan 2019, 490 ,,3,1,1,Manifold Heights
88,19 Strachan Avenue," 1,405,000 ", Mar 2018,0," 190,000 ", May 1998, ,, 228 ,,2,2,1,Manifold Heights
89,5 Lascelles Avenue," 536,000 ", Mar 2018,0," 190,000 ", May 2002, 270 , Jan 2018, 483 ,,1,1,1,Manifold Heights
90,4/9 Manifold Street," 293,000 ", Mar 2018,0," 162,500 ", Jul 2004, 175 , Jan 2008, 64 ,,0,0,0,Manifold Heights
91,6 Purrumbete Avenue," 1,565,000 ", Mar 2018,0," 975,000 ", Jun 2014, 700 , Jul 2018, 994 ,,5,3,3,Manifold Heights
92,181 Church Street," 605,000 ", Mar 2018,0," 88,000 ", Nov 1994, ,, 627 ,,2,1,2,Manifold Heights
93,2/10 Oliver Street," 247,500 ", Mar 2018,0," 192,500 ", Mar 2009, 280 , May 2018, 62 ,,0,0,0,Manifold Heights
94,2b Evelyn Street," 540,000 ", Feb 2018,0," 419,000 ", Oct 2012, 380 , Oct 2015, 307 ,,3,2,4,Manifold Heights
95,209 Church Street," 557,000 ", Feb 2018,0," 136,000 ", Nov 2001, ,, 780 ,,3,1,5,Manifold Heights
96,1/346 Aberdeen Street," 725,000 ", Jan 2018,0, ,, 480 , Nov 2016, 325 ,,4,2,2,Manifold Heights
97,2/43 Shannon Avenue," 410,000 ", Jan 2018,0," 360,000 ", Sep 2014, 375 , Sep 2016, 210 ,,3,1,2,Manifold Heights
98,13 Orr Street," 756,000 ", 23 Dec 2017,1," 373,250 ", Aug 2011, 380 , Dec 2019, 697 ,,3,1,1,Manifold Heights
99,2/8 Orr Street," 255,000 ", Dec 2017,0," 179,500 ", Mar 2011, 300 , Jan 2020, 61 ,,0,0,0,Manifold Heights
100,5/211-213 Church Street," 385,000 ", Dec 2017,0, ,, ,, 280 ,,0,0,0,Manifold Heights
101,179 Church Street," 510,000 ", Dec 2017,0," 451,200 ", Jun 2016, 335 , Jan 2019, 670  ,  119 ,3,1,3,Manifold Heights
102,128 Minerva Road," 600,000 ", 16 Dec 2017,1," 415,000 ", Nov 2015, ,, 627 ,,4,2,2,Manifold Heights
103,1/6 Strachan Avenue," 347,000 ", Dec 2017,0," 66,000 ", Feb 2000, 350 , Jul 2019, 83 ,,0,0,0,Manifold Heights
104,65 Sydenham Avenue," 791,000 ", 16 Dec 2017,1," 420,000 ", Apr 2012, 395 , Apr 2012, 666 ,,3,1,3,Manifold Heights
105,11A Manifold Street," 626,000 ", Dec 2017,0," 532,000 ", Nov 2015, 460 , Jan 2019, 259  ,  126 ,3,2,1,Manifold Heights
106,39 Girton Crescent," 890,000 ", 09 Dec 2017,1," 185,000 ", Oct 2000, ,, 646 ,,5,2,2,Manifold Heights
107,17 Orr Street," 1,400,000 ", 09 Dec 2017,1," 512,500 ", May 2007, ,, 697 ,,4,3,3,Manifold Heights
108,6 Central Avenue," 665,000 ", Dec 2017,0," 470,000 ", May 2011, 350 , Jun 2012, 627 ,,3,1,1,Manifold Heights
109,32 Volum Street," 1,925,000 ", 04 Dec 2017,1," 710,000 ", Sep 2009, ,," 1,105  ",  388 ,6,3,2,Manifold Heights
110,3 Girton Crescent," 950,000 ", Dec 2017,0, ,, ,, 651 ,,4,3,2,Manifold Heights
111,14 Merton Grove," 620,000 ", 02 Dec 2017,1," 512,000 ", Nov 2015, ,, 363 ,,3,1,1,Manifold Heights
112,58 Minerva Road," 1,600,000 ", 02 Dec 2017,1," 520,000 ", Jul 2013, ,, 966  ,  137 ,4,2,3,Manifold Heights
113,1/168 Minerva Road," 515,000 ", 18 Nov 2017,1," 407,500 ", Oct 2012, 350 , Jul 2013, 201 ,,2,2,1,Manifold Heights
114,245 Shannon Avenue," 590,000 ", 16 Nov 2017,1, ,, ,, 636 ,,3,2,2,Manifold Heights
115,1/17 Lascelles Avenue," 343,000 ", Nov 2017,0," 239,000 ", Oct 2010, 310 , Aug 2019, 977 ,,2,1,1,Manifold Heights
116,1/108 Minerva Road," 410,000 ", Nov 2017,0," 326,000 ", Nov 2015, 300 , Sep 2015, 292 ,,0,0,0,Manifold Heights
117,22 Malvern Grove," 651,000 ", Oct 2017,0," 85,000 ", Jul 2014, 320 , Feb 2018, 598 ,,3,1,1,Manifold Heights
118,24 Calder Street," 1,100,000 ", 27 Oct 2017,1," 260,000 ", Sep 2006, ,, 676 ,,5,2,2,Manifold Heights
119,4 Purrumbete Avenue," 1,260,000 ", Oct 2017,0, ,, ,, 994 ,,3,3,2,Manifold Heights
120,3/10 Volum Street," 250,000 ", Oct 2017,0," 195,000 ", Jul 2009, 250 , Apr 2016, 62 ,,2,1,1,Manifold Heights
121,47 Sydenham Avenue," 782,500 ", Oct 2017,0," 620,000 ", Dec 2013, 510 , Jul 2020, 526 ,,3,2,2,Manifold Heights
122,3/63 Calder Street," 225,000 ", Oct 2017,0," 202,000 ", May 2014, 220 , Apr 2016, 557 ,,1,1,1,Manifold Heights
123,2/12 Herne Street," 707,000 ", Sep 2017,0," 126,711 ", Nov 2013, 550 , Oct 2019, 369 ,,4,2,2,Manifold Heights
124,12 Minerva Road," 627,000 ", Sep 2017,0, ,, ,, 806 ,,3,1,2,Manifold Heights
125,340A Aberdeen Street," 740,000 ", Sep 2017,0, ,, ,, 331 ,,3,2,2,Manifold Heights
126,16 Strachan Avenue," 1,640,000 ", 09 Sep 2017,1," 660,000 ", Nov 2011, ,," 1,061 ",,3,2,2,Manifold Heights
127,9 Trewheela Avenue," 612,000 ", Aug 2017,0, ,, ,, 244 ,,3,2,2,Manifold Heights
128,4 Trewheela Avenue," 540,000 ", 21 Aug 2017,1," 342,000 ", Sep 2011, 380 , Mar 2020, 602 ,,3,1,3,Manifold Heights
129,6/17 Lascelles Avenue," 250,000 ", Aug 2017,0, ,, 240 , Jul 2012, 86  ,  73 ,0,0,0,Manifold Heights
130,27 Herne Street," 578,000 ", 29 Jul 2017,1," 375,000 ", Oct 2010, 380 , Nov 2019, 504 ,,3,1,1,Manifold Heights
131,1/320 Aberdeen Street," 180,000 ", Jul 2017,0, ,, 300 , Nov 2013, 176 ,,0,0,0,Manifold Heights
132,247 Autumn Street," 667,000 ", 15 Jul 2017,1," 121,000 ", Aug 1998, 440 , Sep 2017, 650 ,,4,2,1,Manifold Heights
133,1/14 Airey Avenue," 305,000 ", Jul 2017,0," 240,000 ", Apr 2012, 265 , Sep 2016, 176 ,,0,0,0,Manifold Heights
134,1/63 Calder Street," 220,000 ", Jun 2017,0," 201,000 ", Dec 2013, 235 , Jul 2016, 558 ,,1,1,1,Manifold Heights
135,282 Autumn Street," 852,500 ", 03 Jun 2017,1," 243,023 ", Aug 2002, ,, 579  ,  188 ,4,2,2,Manifold Heights
136,3/175 Church Street," 353,000 ", Jun 2017,0, ,, ,, 211 ,,2,1,2,Manifold Heights
137,22 Girton Crescent," 1,126,000 ", 29 Apr 2017,1," 675,000 ", Oct 2012, ,, 590 ,,5,2,3,Manifold Heights
138,9 Central Avenue," 490,000 ", 29 Apr 2017,1," 327,500 ", Nov 2012, ,, 419 ,,2,1,1,Manifold Heights
139,32 Girton Crescent," 1,070,000 ", Apr 2017,0," 808,000 ", Nov 2010, ,, 650  ,  280 ,5,2,2,Manifold Heights
140,1/211 Church Street," 329,000 ", Apr 2017,0, ,, 310 , Jun 2017, ,,2,1,1,Manifold Heights
141,1/9 Roxby Street," 335,000 ", Apr 2017,0," 192,000 ", Jul 2004, 300 , May 2017, 97 ,,0,0,0,Manifold Heights
142,20 Girton Crescent," 980,000 ", 08 Apr 2017,1," 790,000 ", Aug 2013, 510 , Jun 2013, 589  ,  226 ,3,2,1,Manifold Heights
143,12 Trewheela Avenue," 790,000 ", Apr 2017,0," 290,000 ", Nov 2006, ,, 524 ,,0,0,0,Manifold Heights
144,292B Autumn Street," 585,000 ", Mar 2017,0," 205,000 ", Jan 2015, ,, 311 ,,0,0,0,Manifold Heights
145,11 Airey Avenue," 317,000 ", 25 Mar 2017,1, ,, ,, 244 ,,0,0,0,Manifold Heights
146,167 Church Street," 420,000 ", Mar 2017,0, ,, ,, 398 ,,2,1,1,Manifold Heights
147,24 Orr Street," 836,500 ", Mar 2017,0," 310,000 ", May 2009, ,, 643  ,  135 ,3,2,3,Manifold Heights
148,6 Silk Avenue," 465,000 ", Feb 2017,0," 370,000 ", Oct 2007, 380 , May 2017, 290 ,,2,2,1,Manifold Heights
