,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,74 Marshalltown Road," 710,000 ", Aug 2020,0," 347,000 ", Dec 2005, ,," 1,250 ",,5,0,0,Marshall
1,31 Werner Avenue," 550,000 ", Aug 2020,0," 430,000 ", Jun 2017, ,, 481  ,  173 ,4,2,2,Marshall
2,55 Marshalltown Road," 445,000 ", Aug 2020,0," 265,000 ", Mar 2013, 280 , Aug 2011, 806 ,,2,1,2,Marshall
3,8 Esme Court," 550,000 ", Aug 2020,0," 175,000 ", Dec 2013, ,, 536 ,,0,0,0,Marshall
4,6 MORETTI Court," 475,000 ", Aug 2020,0," 173,000 ", Mar 2016, 380 , Feb 2017, 303 ,,0,0,0,Marshall
5,46-48 Macfarlane Street," 500,000 ", Aug 2020,0, ,, ,, 502 ,,3,2,2,Marshall
6,15 Grove Road," 445,000 ", Aug 2020,0," 130,000 ", May 2009, ,, 450  ,  110 ,0,0,0,Marshall
7,55 Barwarre Road," 365,000 ", Aug 2020,0," 130,000 ", Jan 2007, ,, 665 ,,0,0,0,Marshall
8,1 Tamala Avenue," 485,000 ", Jun 2020,0," 261,000 ", Jun 2010, ,, 666  ,  117 ,3,1,2,Marshall
9,13 Moretti Court," 510,000 ", Jun 2020,0," 179,000 ", Mar 2015, 410 , Sep 2019, 566 ,,4,2,2,Marshall
10,10 Tamala Avenue," 410,000 ", Apr 2020,0," 248,150 ", Nov 2004, 350 , Jul 2019, 682  ,  136 ,3,1,1,Marshall
11,35 Orpington Crescent," 485,000 ", Apr 2020,0," 138,000 ", Jan 2012, ,, 324 ,,4,2,0,Marshall
12,17 Carlina Court," 510,000 ", Mar 2020,0," 179,000 ", Apr 2011, 400 , May 2020, 405  ,  139 ,0,0,0,Marshall
13,4 Nikola Court," 535,000 ", Mar 2020,0," 147,500 ", Dec 2009, 435 , Sep 2019, 492 ,,0,0,0,Marshall
14,22 Station Road," 425,000 ", Mar 2020,0," 159,000 ", Nov 2011, ,, 325 ,,0,0,0,Marshall
15,2/191 Barwarre Road," 512,000 ", Mar 2020,0," 377,000 ", Jan 2017, 400 , Mar 2020, 411  ,  159 ,3,2,2,Marshall
16,31 Krisanway Drive," 415,000 ", Feb 2020,0," 311,000 ", Feb 2016, 320 , Feb 2018, 331 ,,2,1,1,Marshall
17,33 Grove Road," 435,000 ", Jan 2020,0," 295,000 ", Jun 2010, 400 , Jan 2018, 463 ,,3,1,2,Marshall
18,12 Orpington Crescent," 478,000 ", Dec 2019,0, ,, ,, 299 ,,0,0,0,Marshall
19,11 Basford Court," 556,000 ", Dec 2019,0," 145,000 ", Mar 2013, ,, 475 ,,0,0,0,Marshall
20,20 St Cuthberts Court," 660,000 ", Dec 2019,0," 112,500 ", Aug 2004, ,, 714  ,  245 ,4,2,3,Marshall
21,29 Marvins Place," 495,000 ", Dec 2019,0," 377,500 ", Nov 2013, 440 , Jan 2020, 555  ,  153 ,3,2,2,Marshall
22,17 Mornane Road," 488,000 ", Dec 2019,0," 270,000 ", Feb 2000, 360 , May 2012, 664  ,  142 ,3,2,1,Marshall
23,43 Marshalltown Road," 450,000 ", Nov 2019,0," 295,000 ", Oct 2007, ,, 633 ,,3,1,1,Marshall
24,11-13 ORPINGTON Crescent," 452,500 ", Nov 2019,0," 338,000 ", Jan 2015, 385 , Oct 2017, 300 ,,3,2,1,Marshall
25,41 Orpington Crescent," 485,000 ", Oct 2019,0," 138,000 ", Jan 2012, 400 , Apr 2016, 324 ,,4,2,2,Marshall
26,22 Drews Road," 480,000 ", Oct 2019,0, ,, ,, 369 ,,3,2,2,Marshall
27,2/344 Barwon Heads Road," 525,000 ", Oct 2019,0," 50,000 ", Oct 2007, ,, 451 ,,0,0,0,Marshall
28,123 Barwarre Road," 460,000 ", Oct 2019,0," 132,000 ", Apr 2009, ,, 419 ,,3,2,2,Marshall
29,16 Marvins Place," 525,000 ", Sep 2019,0," 410,000 ", Apr 2013, 385 , Feb 2013, 495 ,,4,2,2,Marshall
30,3 MORETTI Court," 470,000 ", Sep 2019,0," 177,001 ", Mar 2016, 400 , Jul 2018, 350 ,,4,2,3,Marshall
31,30-32 Marvins Place," 515,000 ", Aug 2019,0, ,, ,, 602 ,,3,1,5,Marshall
32,6 Grove Road," 475,000 ", Aug 2019,0," 385,000 ", May 2017, 400 , May 2019, 693 ,,3,2,2,Marshall
33,5 Speranza Court," 455,000 ", Aug 2019,0," 150,000 ", Mar 2010, ,, 389  ,  130 ,3,2,2,Marshall
34,1/76 Marshalltown Road," 365,000 ", Aug 2019,0," 332,000 ", Apr 2017, ,, 343 ,,3,1,1,Marshall
35,20 Carlina Court," 490,000 ", Jul 2019,0," 170,000 ", Jun 2012, 420 , Feb 2018, 436  ,  121 ,3,2,2,Marshall
36,3/3 Inala Court," 305,000 ", Jul 2019,0," 90,500 ", May 2001, ,, 200 ,,0,0,0,Marshall
37,9 Reedy Link," 495,000 ", Jul 2019,0," 145,000 ", May 2009, ,, 474  ,  150 ,3,2,2,Marshall
38,9 Orpington Crescent," 430,000 ", Jun 2019,0," 140,000 ", Jan 2012, 365 , Apr 2018, 327 ,,3,1,1,Marshall
39,43 Barwarre Road," 450,000 ", Jun 2019,0," 147,500 ", Aug 2009, 340 , Mar 2019, 468  ,  147 ,4,1,1,Marshall
40,7-9 Tannery Road," 846,000 ", Jun 2019,0, ,, ,, ,,4,2,6,Marshall
41,1/344 Barwon Heads Road," 459,000 ", Jun 2019,0, ,, ,, 495 ,,3,2,2,Marshall
42,11 Leghorn Way," 458,000 ", Jun 2019,0," 165,000 ", Jul 2012, 380 , Sep 2018, 435  ,  137 ,3,2,1,Marshall
43,7 Adair Court," 475,000 ", May 2019,0," 150,000 ", Mar 2015, ,, 350  ,  136 ,3,2,2,Marshall
44,9/9 Moretti Court," 370,000 ", Mar 2019,0, ,, 320 , Apr 2020, 147 ,,0,0,0,Marshall
45,157-159 Reserve Road," 730,000 ", Feb 2019,0, ,, 380 , Feb 2020," 2,026 ",,3,1,0,Marshall
46,34 Werner Avenue," 510,000 ", Feb 2019,0," 140,000 ", Nov 2008, ,, 484  ,  159 ,3,2,2,Marshall
47,5/73 Marshalltown Road," 357,000 ", Feb 2019,0," 84,500 ", Mar 1989, ,, 164 ,,0,0,0,Marshall
48,38 Drews Road," 495,000 ", Nov 2018,0, ,, ,, 370 ,,4,2,2,Marshall
49,17 Basford Court," 865,000 ", Nov 2018,0," 185,000 ", Jul 2012, ,," 2,997  ",  133 ,5,2,10,Marshall
50,27 Drews Road," 555,000 ", Nov 2018,0," 430,000 ", Oct 2010, 390 , May 2009, 683  ,  234 ,4,2,2,Marshall
51,8 Leghorn Way," 455,000 ", Nov 2018,0," 138,000 ", Nov 2012, ,, 320 ,,3,2,1,Marshall
52,3-4 Emilija Court," 520,000 ", Nov 2018,0," 400,000 ", Oct 2014, ,, 503 ,,3,3,2,Marshall
53,51 Marshalltown Road," 500,000 ", Oct 2018,0, ,, ,, 661 ,,3,1,2,Marshall
54,21 Basford Court," 466,000 ", Oct 2018,0," 140,000 ", Oct 2013, 400 , Oct 2018, 377  ,  118 ,3,2,2,Marshall
55,29 Grove Road," 449,500 ", Sep 2018,0," 294,000 ", Aug 2009, 370 , Jul 2014, 475  ,  104 ,3,1,6,Marshall
56,12 Adair Court," 470,000 ", Sep 2018,0," 141,000 ", Feb 2000, 370 , Nov 2018, 416  ,  120 ,3,1,2,Marshall
57,9 Speranza Court," 445,000 ", Sep 2018,0," 136,000 ", Feb 2000, 360 , Sep 2015, 350 ,,3,2,2,Marshall
58,16 Chambers Court," 485,000 ", Sep 2018,0," 288,900 ", Jul 2007, 400 , Nov 2016, 494  ,  143 ,4,2,2,Marshall
59,30 MacFarlane Street," 510,000 ", Sep 2018,0, ,, 430 , Sep 2019, 400 ,,3,2,2,Marshall
60,36 Grove Road," 550,000 ", Aug 2018,0," 176,000 ", Mar 2013, ,, 420  ,  179 ,0,0,0,Marshall
61,25 Werner Street," 505,000 ", Jul 2018,0, ,, ,, ,,0,0,0,Marshall
62,25 Werner Avenue," 505,000 ", Jul 2018,0," 387,500 ", Aug 2012, ,, 481 ,,3,2,2,Marshall
63,9 Oriondo Way," 500,000 ", Jun 2018,0," 167,000 ", Jun 2011, ,, 359 ,,4,2,2,Marshall
64,8 Krisanway Drive," 611,000 ", Jun 2018,0," 411,000 ", Dec 2010, ,, 580  ,  204 ,4,2,4,Marshall
65,25 Marvins Place," 580,000 ", Jun 2018,0," 155,000 ", Jul 2009, 410 , Dec 2014, 744 ,,3,2,2,Marshall
66,9 Adair Court," 431,500 ", Jun 2018,0, ,, ,, 350 ,,3,1,1,Marshall
67,7/66 Station Road," 360,000 ", Jun 2018,0," 85,000 ", Feb 2000, 320 , Nov 2017, 238 ,,0,0,0,Marshall
68,6 Orpington Crescent," 462,500 ", May 2018,0," 395,000 ", Nov 2016, 400 , Aug 2020, 300 ,,3,2,2,Marshall
69,8 Orpington Crescent," 462,500 ", May 2018,0," 130,000 ", Jun 2012, 385 , Jan 2016, 300  ,  124 ,3,2,1,Marshall
70,19 Badminton Court," 470,000 ", May 2018,0," 440,000 ", Feb 2017, 410 , May 2018, 347 ,,4,2,2,Marshall
71,34 Macfarlane Street," 475,000 ", May 2018,0," 154,500 ", Oct 2010, 390 , Mar 2014, 363  ,  145 ,3,2,1,Marshall
72,29 Basford Court," 500,000 ", May 2018,0," 429,000 ", Mar 2016, ,, 562 ,,4,2,2,Marshall
73,10 Drews Road," 460,000 ", May 2018,0," 375,000 ", Sep 2015, ,, 704 ,,3,1,2,Marshall
74,18 Badminton Court," 520,000 ", Apr 2018,0," 180,000 ", Dec 2014, ,, 481 ,,4,2,2,Marshall
75,10 Speranza Court," 442,000 ", Apr 2018,0," 365,000 ", Jul 2012, 400 , Feb 2013, 350  ,  139 ,3,2,1,Marshall
76,37 Orpington Crescent," 443,000 ", Apr 2018,0," 138,000 ", Jan 2012, 385 , Dec 2016, 324 ,,4,2,2,Marshall
77,4/10 Oriondo Way," 410,000 ", Mar 2018,0," 155,000 ", Apr 2012, ,, 336 ,,3,2,1,Marshall
78,12 Werner Avenue," 487,000 ", Mar 2018,0," 140,800 ", Mar 2009, ,, 484  ,  144 ,4,2,1,Marshall
79,43 Macfarlane Street," 488,500 ", Mar 2018,0," 168,000 ", Apr 2012, ,, 470  ,  136 ,0,0,0,Marshall
80,5 Oriondo Way," 375,000 ", Mar 2018,0, ,, ,, 302 ,,2,1,1,Marshall
