,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,23 AVIATION Drive," 648,000 ", Sep 2020,0," 187,900 ", Jan 2016, ,, 448 ,,0,0,0,Mount Duneed
1,Lot 734 Chateau Way," 255,000 ", Aug 2020,0, ,, ,, ,,0,0,0,Mount Duneed
2,Lot 248 Telopea Drive," 269,000 ", Aug 2020,0, ,, ,, ,,0,0,0,Mount Duneed
3,Lot 244/29 Dobell Street," 259,000 ", Aug 2020,0, ,, ,, ,,0,0,0,Mount Duneed
4,13 Sovereign Drive," 610,000 ", Aug 2020,0, ,, ,, 504 ,,0,0,0,Mount Duneed
5,6 Plenty Walk," 445,000 ", Aug 2020,0, ,, 380 , Jul 2020, ,,3,2,2,Mount Duneed
6,Lot 705 Chateau Way," 279,500 ", Aug 2020,0, ,, ,, ,,0,0,0,Mount Duneed
7,Lot 197 Grevillea Drive," 280,000 ", Aug 2020,0, ,, ,, ,,0,0,0,Mount Duneed
8,9 Momentum Drive," 635,000 ", Aug 2020,0, ,, ,, 501 ,,0,0,0,Mount Duneed
9,14 Franklin Road," 650,000 ", Aug 2020,0, ,, ,, 458 ,,4,2,2,Mount Duneed
10,Lot 209/4 Exton Place," 315,000 ", Aug 2020,0, ,, ,, ,,0,0,0,Mount Duneed
11,68 Armstrong Boulevard," 830,000 ", Aug 2020,0," 260,000 ", Jan 2016, ,, 614 ,,0,0,0,Mount Duneed
12,Lot 2501/55 Franklin Road," 281,000 ", Jul 2020,0, ,, ,, ,,0,0,0,Mount Duneed
13,76 Sovereign Drive," 520,000 ", Jul 2020,0, ,, ,, 255 ,,3,2,1,Mount Duneed
14,Lot 136 Grevillea Drive," 549,000 ", Jul 2020,0, ,, ,, ,,0,0,0,Mount Duneed
15,13 Celadon Parade," 635,000 ", Jul 2020,0, ,, ,, 509 ,,0,0,0,Mount Duneed
16,Lot 506/26 Whiteley," 310,000 ", Jul 2020,0, ,, ,, ,,0,0,0,Mount Duneed
17,Lot 206 Grevillea Drive," 274,000 ", Jul 2020,0, ,, ,, ,,0,0,0,Mount Duneed
18,Lot 4411 Penderel Avenue," 358,900 ", Jul 2020,0, ,, ,, ,,0,0,0,Mount Duneed
19,55 Grevillea Drive," 549,000 ", Jul 2020,0, ,, ,, ,,0,0,0,Mount Duneed
20,10 Celestial Way," 765,000 ", Jul 2020,0, ,, ,, 350 ,,4,2,2,Mount Duneed
21,Lot 126 Grevillea Drive," 300,000 ", Jul 2020,0, ,, ,, ,,0,0,0,Mount Duneed
22,16-20 Motion Street," 285,000 ", Jun 2020,0, ,, ,, ,,0,0,0,Mount Duneed
23,Lot 132 Grevillea Drive," 270,000 ", Jun 2020,0, ,, ,, ,,0,0,0,Mount Duneed
24,4 Roosevelt Road," 580,000 ", Jun 2020,0, ,, ,, 375 ,,3,2,2,Mount Duneed
25,55 Unity Drive," 640,000 ", May 2020,0, ,, ,, 511 ,,4,2,2,Mount Duneed
26,Lot/Lot 3910 Flourish Drive," 373,500 ", May 2020,0, ,, ,, ,,0,0,0,Mount Duneed
27,15 Hangar Drive," 620,000 ", May 2020,0, ,, 460 , Jun 2020, 512 ,,3,2,2,Mount Duneed
28,23 Galactic Street," 480,000 ", Apr 2020,0, ,, ,, 257 ,,0,0,0,Mount Duneed
29,9 SPECTRUM Drive," 650,000 ", Apr 2020,0," 220,900 ", Jan 2015, ,, 511 ,,0,0,0,Mount Duneed
30,56 Franklin Road," 540,000 ", Apr 2020,0, ,, ,, 372 ,,4,2,2,Mount Duneed
31,69 Golden Wattle Drive," 435,000 ", Apr 2020,0," 142,900 ", Sep 2014, ,, 292 ,,0,0,0,Mount Duneed
32,Lot 218 Correa Street," 250,000 ", Apr 2020,0, ,, ,, ,,0,0,0,Mount Duneed
33,132 Sovereign Drive," 566,500 ", Mar 2020,0, ,, ,, 261 ,,0,0,0,Mount Duneed
34,26 Franklin Road," 775,000 ", Mar 2020,0, ,, ,, 552 ,,4,2,2,Mount Duneed
35,Lot 101/4 Honeyeater Way," 225,000 ", Mar 2020,0, ,, ,, ,,0,0,0,Mount Duneed
36,3 Energy Place," 600,000 ", Mar 2020,0, ,, ,, 430 ,,4,2,2,Mount Duneed
37,6 LUNAR Street," 457,000 ", Mar 2020,0," 122,900 ", Feb 2015, ,, 244 ,,0,0,0,Mount Duneed
38,Lot 184 Citrinus Avenue," 215,000 ", Mar 2020,0, ,, ,, ,,0,0,0,Mount Duneed
39,Lot 185 Citrinus Avenue," 220,000 ", Mar 2020,0, ,, ,, ,,0,0,0,Mount Duneed
40,Lot 261 Grevillea Drive," 220,000 ", Mar 2020,0, ,, ,, ,,0,0,0,Mount Duneed
41,26 Eminence Street," 498,000 ", Mar 2020,0, ,, ,, 346 ,,0,0,0,Mount Duneed
42,30 Solstice Street," 685,000 ", Feb 2020,0, ,, ,, 664 ,,0,0,0,Mount Duneed
43,18 Latitude Street," 485,000 ", Feb 2020,0, ,, 395 , Nov 2017, 349 ,,3,2,2,Mount Duneed
