,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,34 Ivy Street," 541,000 ", Aug 2020,0," 265,000 ", Sep 2008, ,, 557  ,  124 ,3,1,2,Newcomb
1,17-19 Helms Street," 457,000 ", Aug 2020,0," 152,000 ", May 1993, ,," 1,436 ",,4,1,1,Newcomb
2,2/3 Lindel Street," 387,500 ", Aug 2020,0, ,, ,, ,,0,0,0,Newcomb
3,1/3 Lindel Street," 376,000 ", Aug 2020,0, ,, ,, ,,0,0,0,Newcomb
4,9 Ivanhoe Court," 525,000 ", Aug 2020,0," 93,000 ", Feb 2000, ,, 984 ,,3,2,2,Newcomb
5,17 Helms Street," 457,000 ", Aug 2020,0, ,, 360 , Feb 2014," 2,105 ",,4,1,1,Newcomb
6,5/3 Lindel Street," 455,000 ", Jul 2020,0, ,, ,, ,,0,0,0,Newcomb
7,92 Bellarine Highway," 550,000 ", Jul 2020,0," 360,000 ", Aug 2013, ,, 743  ,  150 ,0,0,0,Newcomb
8,9 Cecil Court," 633,000 ", 11 Jul 2020,1," 305,000 ", Oct 2015, ,, 592 ,,3,1,1,Newcomb
9,14 Anthony Street," 505,000 ", Jul 2020,0, ,, ,, 813 ,,3,1,1,Newcomb
10,38 Charles Street," 435,000 ", Jul 2020,0," 84,000 ", Mar 1996, ,, 512 ,,3,1,2,Newcomb
11,39 Wilton Avenue," 420,000 ", Jun 2020,0," 181,000 ", Jun 2006, ,, 396  ,  110 ,3,1,1,Newcomb
12,1/37 Boundary Road," 430,000 ", May 2020,0, ,, ,, 308 ,,3,1,2,Newcomb
13,20 Carinya Avenue," 410,000 ", May 2020,0," 87,700 ", Aug 2000, ,, 686  ,  125 ,3,1,1,Newcomb
14,1/56 Pitman Street," 322,000 ", May 2020,0," 277,500 ", Feb 2017, ,, 304  ,  85 ,3,1,2,Newcomb
15,3 Saturn Street," 355,000 ", May 2020,0," 175,000 ", Jun 2007, ,, 556 ,,3,1,2,Newcomb
16,1/50 Wilsons Road," 340,000 ", Apr 2020,0," 227,000 ", Aug 2011, ,, 317  ,  102 ,2,1,3,Newcomb
17,8 Bain Court," 550,000 ", Apr 2020,0," 125,000 ", Sep 1998, ,," 1,102 ",,4,2,2,Newcomb
18,114 Portarlington Road," 435,000 ", Apr 2020,0, ,, ,, 535 ,,3,2,3,Newcomb
19,101 Helms Street," 685,000 ", Apr 2020,0," 60,500 ", Jan 1995, ,," 1,746 ",,0,0,0,Newcomb
20,1/51-53 Helms Street," 360,000 ", Apr 2020,0," 281,000 ", Aug 2017, ,, 162 ,,0,0,0,Newcomb
21,34 Pitman Street," 445,000 ", Mar 2020,0," 285,000 ", Apr 2012, ,, 758  ,  124 ,3,1,1,Newcomb
22,62 Wilton Avenue," 500,000 ", Mar 2020,0," 240,000 ", Feb 2015, ,, 655 ,,2,1,1,Newcomb
23,18 Wilsons Road," 430,000 ", 19 Mar 2020,1," 200,000 ", Dec 2007, ,, 664  ,  300 ,3,1,3,Newcomb
24,7 Newland Street," 479,000 ", Mar 2020,0, ,, ,, 701 ,,0,0,0,Newcomb
25,38 Bellarine Highway," 500,000 ", Mar 2020,0," 290,000 ", Jul 2010, ,, 669 ,,4,2,1,Newcomb
26,2 Ivanhoe Court," 555,000 ", Mar 2020,0, ,, 355 , Aug 2018, 711 ,,3,1,1,Newcomb
27,1/4 Ivanhoe Court," 415,000 ", Mar 2020,0, ,, 330 , Jul 2018, 308 ,,3,1,1,Newcomb
