,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,24 Stinton Avenue," 855,000 ", Aug 2020,0, ,, ,, ,,0,0,0,Newtown
1,13 Churchill Avenue," 445,000 ", 22 Aug 2020,1, ,, ,, 360 ,,3,0,0,Newtown
2,255 Noble Street," 1,530,000 ", Aug 2020,0," 1,175,000 ", Aug 2012, ,, 779  ,  300 ,4,1,2,Newtown
3,444 Latrobe Terrace," 540,000 ", Aug 2020,0, ,, 410 , Oct 2019, 210 ,,3,1,1,Newtown
4,114 Skene Street," 802,000 ", 14 Aug 2020,1," 135,000 ", Aug 1992, ,, 439 ,,2,0,0,Newtown
5,32 Craigie Road," 755,000 ", Jul 2020,0," 117,000 ", Dec 1998, 340 , Oct 2019, 741 ,,2,1,0,Newtown
6,9/199 Noble Street," 402,000 ", Jul 2020,0," 290,000 ", Jul 2015, 295 , Sep 2013, 93 ,,2,1,1,Newtown
7,38 Cook Street," 890,000 ", Jul 2020,0, ,, ,, 679 ,,4,2,1,Newtown
8,25 Ballater Avenue," 700,000 ", 11 Jul 2020,1, ,, ,, 717 ,,0,0,0,Newtown
9,5 Bosanquet Avenue," 525,000 ", Jul 2020,0," 320,000 ", Jun 2008, 390 , Mar 2020, 746 ,,3,1,1,Newtown
10,35 Upper Skene Street," 1,360,000 ", Jul 2020,0," 180,000 ", Sep 1998, ,, 525  ,  275 ,4,2,2,Newtown
11,36-38 Russell Street," 1,030,000 ", Jul 2020,0, ,, ,, ,,0,0,0,Newtown
12,14 Sherbourne Terrace," 486,000 ", Jun 2020,0," 265,500 ", Mar 2007, 325 , Apr 2014, 264 ,,3,1,1,Newtown
13,185 Aberdeen Street," 420,000 ", Jun 2020,0," 397,500 ", May 2018, 300 , Jul 2018, 357 ,,0,0,0,Newtown
14,39 Cumberland Street," 1,080,000 ", Jun 2020,0," 555,000 ", Dec 2004, 550 , Nov 2010, 387 ,,4,2,2,Newtown
15,51 Upper Skene Street," 1,080,000 ", Jun 2020,0," 701,600 ", Oct 2013, 400 , Feb 2009, 519 ,,3,2,2,Newtown
16,2/251 Noble Street," 610,000 ", Jun 2020,0," 300,000 ", Nov 2015, ,, 137 ,,2,1,1,Newtown
17,19 Ardlui Drive," 1,500,000 ", Jun 2020,0," 465,000 ", Feb 2011, 450 , Feb 2011, 725  ,  134 ,3,2,2,Newtown
18,8 Neiley Street," 810,000 ", Jun 2020,0," 372,000 ", Jun 2010, 330 , Apr 2014, 766 ,,3,1,2,Newtown
19,3 Marshall Street," 825,000 ", May 2020,0," 600,000 ", Mar 2016, 450 , Aug 2014, 457 ,,4,1,2,Newtown
20,86 Aphrasia Street," 1,630,000 ", May 2020,0," 700,000 ", Apr 2007, ,, 828 ,,3,2,1,Newtown
21,3/2 Upper Skene Street," 580,000 ", May 2020,0," 330,000 ", Dec 2014, 330 , Feb 2016, 144 ,,2,1,2,Newtown
22,452-456 Latrobe Terrace," 1,200,000 ", 23 May 2020,1, ,, ,, ,,2,1,0,Newtown
23,1/116 Nicholas Street," 670,000 ", May 2020,0," 200,000 ", Apr 1999, ,, 352 ,,0,0,0,Newtown
24,Lot 2 Scarsdale-Pitfield Road," 149,000 ", May 2020,0, ,, ,, ,,0,0,0,Newtown
25,10 Allen Street," 525,000 ", May 2020,0, ,, 440 , Jan 2019, 287 ,,3,2,2,Newtown
26,6 Montmorency Street," 675,000 ", Apr 2020,0," 627,500 ", Nov 2015, 400 , May 2016, 426  ,  195 ,4,2,1,Newtown
27,1/13 Stinton Avenue," 370,000 ", Apr 2020,0," 194,000 ", Jul 1998, ,, 112 ,,0,0,0,Newtown
28,45 Roebuck Street," 1,410,000 ", Apr 2020,0," 395,000 ", Jul 2004, ,, 522 ,,3,1,1,Newtown
29,80A Noble Street," 870,000 ", Apr 2020,0, ,, ,, 273 ,,3,2,2,Newtown
30,7/22-26 Craigie Road," 282,000 ", Apr 2020,0," 57,000 ", Oct 1994, ,, 53 ,,0,0,0,Newtown
31,33 Stinton Avenue," 1,061,000 ", Mar 2020,0, ,, ,, 501 ,,0,0,0,Newtown
32,83 Nicholas Street," 790,000 ", Mar 2020,0," 460,000 ", Jan 2011, ,, 597  ,  134 ,3,1,2,Newtown
33,361 Autumn Street," 790,000 ", 28 Mar 2020,1," 369,000 ", Apr 2011, ,, 602 ,,3,1,1,Newtown
34,7/22 Craigie Road," 282,000 ", Mar 2020,0," 57,000 ", Oct 1994, ,, 53 ,,0,0,0,Newtown
35,94 Buckingham Road," 975,000 ", Mar 2020,0, ,, ,, 884 ,,0,0,0,Newtown
36,4/28 Upper Skene Street," 370,000 ", 21 Mar 2020,1," 173,000 ", Oct 2007, ,, 65 ,,0,0,0,Newtown
37,23 Clarke Street," 555,000 ", Mar 2020,0," 430,000 ", Jul 2016, 360 , Nov 2018, 210 ,,2,1,1,Newtown
38,32 Aphrasia Street," 1,430,000 ", 19 Mar 2020,1," 920,000 ", Mar 2011, ,, 879 ,,5,1,2,Newtown
39,3/11 Elcho Street," 240,000 ", Mar 2020,0," 220,000 ", May 2018, 240 , Nov 2019, 639 ,,0,0,0,Newtown
