,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,82 Rose Avenue," 251,500 ", Sep 2020,0," 146,000 ", Nov 2008, ,, 660  ,  89 ,3,1,3,Norlane
1,36 Peacock Avenue," 319,000 ", Aug 2020,0, ,, ,, 609 ,,0,0,0,Norlane
2,12 Peacock Avenue," 547,000 ", Aug 2020,0," 296,000 ", Sep 2009, ,, 592 ,,4,2,4,Norlane
3,18 Gull Street," 435,000 ", Aug 2020,0," 230,000 ", Jun 2011, ,, 557  ,  131 ,4,2,3,Norlane
4,119 Cox Road," 265,000 ", Aug 2020,0," 190,000 ", Oct 2014, ,, 616 ,,3,1,1,Norlane
5,7 Dove Street," 475,000 ", Aug 2020,0, ,, ,, 558 ,,4,2,2,Norlane
6,126 Princes Highway," 470,000 ", Aug 2020,0, ,, ,, 930 ,,0,0,0,Norlane
7,13 Cortina Close," 390,000 ", Aug 2020,0," 225,000 ", Dec 2012, ,, 538  ,  95 ,3,1,1,Norlane
8,11 Bellbird Avenue," 290,000 ", Aug 2020,0," 152,000 ", Jun 2009, ,, 557 ,,3,1,1,Norlane
9,9 Bingara Avenue," 376,000 ", Aug 2020,0," 251,200 ", Nov 2012, ,, 628  ,  145 ,3,2,2,Norlane
10,22 Moran Place," 395,000 ", Aug 2020,0," 210,250 ", Aug 2007, ,, 575 ,,3,1,1,Norlane
11,2/33 Camellia Crescent," 345,000 ", Aug 2020,0, ,, 260 , Aug 2016, 179 ,,2,2,1,Norlane
12,3 Taroonga Court," 370,000 ", Aug 2020,0," 205,000 ", Jan 2015, ,, 753 ,,3,1,1,Norlane
13,145 Sparks Road," 373,500 ", Aug 2020,0," 119,000 ", Jul 2007, ,, 650 ,,3,1,1,Norlane
14,32 Brooks Street," 395,000 ", Aug 2020,0," 227,000 ", Oct 2016, ,, 577  ,  85 ,3,1,2,Norlane
15,12 Tennyson Street," 317,000 ", Jul 2020,0, ,, 250 , May 2018, 612 ,,3,1,3,Norlane
16,4 Peacock Avenue," 455,000 ", Jul 2020,0," 318,000 ", Apr 2010, ,, 778  ,  139 ,0,0,0,Norlane
17,12 Camfield Road," 451,799 ", Jul 2020,0," 302,500 ", Feb 2016, ,, 550  ,  139 ,4,1,1,Norlane
18,38 Donnelly Avenue," 276,000 ", Jul 2020,0," 67,000 ", Apr 1989, ,, 646 ,,1,1,2,Norlane
19,1 Tulip Street," 410,000 ", Jul 2020,0," 63,000 ", Mar 1994, ,, 635 ,,0,0,0,Norlane
20,40 Olympic Avenue," 371,000 ", Jul 2020,0, ,, ,, 566 ,,4,1,2,Norlane
21,2 Maynooth Drive," 355,000 ", Jul 2020,0," 182,000 ", Sep 2007, ,, 628 ,,3,1,2,Norlane
22,58 Rose Avenue," 385,000 ", Jul 2020,0," 221,000 ", Jan 2016, ,, 725  ,  92 ,2,1,2,Norlane
23,169 Sparks Road," 385,000 ", Jul 2020,0," 255,000 ", Feb 2017, ,, 604  ,  101 ,3,1,2,Norlane
24,4 Akma Court," 392,500 ", Jul 2020,0, ,, ,, 638 ,,2,1,1,Norlane
25,51 Station Street," 385,000 ", Jun 2020,0," 239,000 ", Feb 2014, ,, 811  ,  99 ,3,1,3,Norlane
26,24 Hinton Close," 385,000 ", Jun 2020,0," 250,000 ", Mar 2013, ,, 592  ,  116 ,3,1,3,Norlane
27,1/28 Warrawee Avenue," 290,000 ", Jun 2020,0," 230,000 ", Mar 2019, ,, 396 ,,2,1,1,Norlane
28,80 Olympic Avenue," 381,000 ", Jun 2020,0," 130,000 ", Jan 2015, ,, 655  ,  121 ,3,1,1,Norlane
