,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,122 Thompson Road," 442,000 ", Aug 2020,0, ,, 310 , May 2017, 647 ,,3,1,2,North Geelong
1,51 Saywell Street," 547,000 ", Aug 2020,0," 410,000 ", Sep 2015, ,, 674 ,,3,1,3,North Geelong
2,2/26 Kerr Street," 400,000 ", Aug 2020,0," 233,000 ", Sep 2012, ,, 338  ,  92 ,0,0,0,North Geelong
3,11 Balfour Street," 790,000 ", Aug 2020,0," 650,000 ", Aug 2017, ,, 375  ,  261 ,0,0,0,North Geelong
4,3 Walsgott Street," 550,000 ", Jul 2020,0," 380,000 ", Apr 2019, ,, 646  ,  153 ,4,3,5,North Geelong
5,42 Guthrie Avenue," 630,000 ", Jul 2020,0," 81,000 ", Dec 1999, ,, 458 ,,3,1,1,North Geelong
6,25 Edols Street," 515,000 ", 27 Jun 2020,1, ,, ,," 1,012 ",,0,0,0,North Geelong
7,25 Dobie Court," 337,500 ", Jun 2020,0," 237,500 ", Jul 2017, ,, 320 ,,0,0,0,North Geelong
8,29 Dobie Court," 670,000 ", Jun 2020,0," 230,000 ", Mar 2012, ,, 320 ,,4,2,2,North Geelong
9,1/7 Saywell Street," 460,000 ", Jun 2020,0," 295,000 ", Dec 2010, ,, 300  ,  105 ,3,1,2,North Geelong
10,64 Slevin Street," 415,000 ", May 2020,0," 275,000 ", Feb 2012, ,, 595  ,  143 ,3,1,2,North Geelong
11,16 Giddings street," 512,000 ", May 2020,0," 386,000 ", Jul 2016, ,, 675 ,,3,1,2,North Geelong
12,71 Osborne Avenue," 480,000 ", May 2020,0," 225,000 ", Jun 2007, ,, 646  ,  140 ,3,1,2,North Geelong
13,21 Pattison Avenue," 326,000 ", May 2020,0, ,, ,, 505 ,,0,0,0,North Geelong
14,11 Guthrie Avenue," 670,000 ", Apr 2020,0," 182,500 ", Nov 2001, ,, 458 ,,3,1,1,North Geelong
15,12 Craddock Street," 610,000 ", Apr 2020,0," 246,000 ", Sep 2005, ,, 607 ,,3,1,1,North Geelong
16,12 Stubbs Avenue," 618,000 ", Mar 2020,0," 195,000 ", Jul 2004, ,, 458  ,  112 ,3,1,1,North Geelong
17,1/26 Kerr Street," 389,500 ", Mar 2020,0," 162,000 ", Jul 2003, ,, 338 ,,0,0,0,North Geelong
18,59 Giddings Street," 579,000 ", 05 Mar 2020,1, ,, ,, 739 ,,4,1,3,North Geelong
19,57 Roseneath Street," 479,000 ", Mar 2020,0," 250,000 ", Mar 2013, ,, 613  ,  193 ,4,2,2,North Geelong
20,28 Balfour Street," 632,000 ", Feb 2020,0," 260,000 ", May 2012, ,, 375 ,,4,2,2,North Geelong
21,25 Sargood Street," 802,000 ", Feb 2020,0," 254,000 ", Dec 2013, ,, 375 ,,0,0,0,North Geelong
22,21 Balfour Street," 800,000 ", Feb 2020,0," 775,000 ", Jul 2017, ,, 374 ,,4,2,2,North Geelong
23,7 Walsgott Street," 551,000 ", 15 Feb 2020,1," 207,000 ", Jun 2009, ,, 646  ,  104 ,3,1,2,North Geelong
