,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,4/22 Myrtle Grove," 526,000 ", Aug 2020,0, ,, 400 , Aug 2018, 176 ,,0,0,0,North Shore
1,14 Seaforth Street," 355,000 ", Apr 2020,0," 70,000 ", Nov 1989, ,, 688 ,,3,0,0,North Shore
2,3/51 The Esplanade," 750,000 ", Mar 2020,0," 550,900 ", Nov 2008, ,, 265 ,,0,0,0,North Shore
3,35 The Esplanade," 955,000 ", Feb 2020,0, ,, ,, 998 ,,2,1,2,North Shore
4,38 Myrtle Grove," 500,000 ", Feb 2020,0, ,, ,, 307 ,,4,1,3,North Shore
5,1/19 Sea Breeze Parade," 385,000 ", Jan 2020,0," 215,000 ", May 2008, ,, 263  ,  100 ,0,0,0,North Shore
6,3/32 Myrtle Grove," 345,000 ", Oct 2019,0," 210,000 ", Dec 2008, 320 , Jul 2018, 166 ,,2,1,1,North Shore
7,9 Phosphate Road," 500,000 ", Aug 2019,0," 290,000 ", Jul 2009, 160 , Apr 2007, 740 ,,2,1,3,North Shore
8,16 Pine Avenue," 550,000 ", May 2019,0," 287,500 ", Sep 2012, 290 , Sep 2013, 919  ,  83 ,3,1,1,North Shore
9,17 Seabreeze Parade," 392,173 ", May 2019,0, ,, 310 , Nov 2019, ,,2,1,1,North Shore
10,4/22 Myrtle Grove," 526,000 ", Aug 2020,0, ,, 400 , Aug 2018, 176 ,,0,0,0,North Shore
11,14 Seaforth Street," 355,000 ", Apr 2020,0," 70,000 ", Nov 1989, ,, 688 ,,3,0,0,North Shore
12,3/51 The Esplanade," 750,000 ", Mar 2020,0," 550,900 ", Nov 2008, ,, 265 ,,0,0,0,North Shore
13,35 The Esplanade," 955,000 ", Feb 2020,0, ,, ,, 998 ,,2,1,2,North Shore
14,38 Myrtle Grove," 500,000 ", Feb 2020,0, ,, ,, 307 ,,4,1,3,North Shore
15,1/19 Sea Breeze Parade," 385,000 ", Jan 2020,0," 215,000 ", May 2008, ,, 263  ,  100 ,0,0,0,North Shore
16,3/32 Myrtle Grove," 345,000 ", Oct 2019,0," 210,000 ", Dec 2008, 320 , Jul 2018, 166 ,,2,1,1,North Shore
17,9 Phosphate Road," 500,000 ", Aug 2019,0," 290,000 ", Jul 2009, 160 , Apr 2007, 740 ,,2,1,3,North Shore
18,16 Pine Avenue," 550,000 ", May 2019,0," 287,500 ", Sep 2012, 290 , Sep 2013, 919  ,  83 ,3,1,1,North Shore
19,17 Seabreeze Parade," 392,173 ", May 2019,0, ,, 310 , Nov 2019, ,,2,1,1,North Shore
20,4/22 Myrtle Grove," 526,000 ", Aug 2020,0, ,, 400 , Aug 2018, 176 ,,0,0,0,North Shore
21,14 Seaforth Street," 355,000 ", Apr 2020,0," 70,000 ", Nov 1989, ,, 688 ,,3,0,0,North Shore
22,3/51 The Esplanade," 750,000 ", Mar 2020,0," 550,900 ", Nov 2008, ,, 265 ,,0,0,0,North Shore
23,35 The Esplanade," 955,000 ", Feb 2020,0, ,, ,, 998 ,,2,1,2,North Shore
24,38 Myrtle Grove," 500,000 ", Feb 2020,0, ,, ,, 307 ,,4,1,3,North Shore
25,1/19 Sea Breeze Parade," 385,000 ", Jan 2020,0," 215,000 ", May 2008, ,, 263  ,  100 ,0,0,0,North Shore
26,3/32 Myrtle Grove," 345,000 ", Oct 2019,0," 210,000 ", Dec 2008, 320 , Jul 2018, 166 ,,2,1,1,North Shore
27,9 Phosphate Road," 500,000 ", Aug 2019,0," 290,000 ", Jul 2009, 160 , Apr 2007, 740 ,,2,1,3,North Shore
28,16 Pine Avenue," 550,000 ", May 2019,0," 287,500 ", Sep 2012, 290 , Sep 2013, 919  ,  83 ,3,1,1,North Shore
29,17 Seabreeze Parade," 392,173 ", May 2019,0, ,, 310 , Nov 2019, ,,2,1,1,North Shore
30,4/22 Myrtle Grove," 526,000 ", Aug 2020,0, ,, 400 , Aug 2018, 176 ,,0,0,0,North Shore
31,14 Seaforth Street," 355,000 ", Apr 2020,0," 70,000 ", Nov 1989, ,, 688 ,,3,0,0,North Shore
32,3/51 The Esplanade," 750,000 ", Mar 2020,0," 550,900 ", Nov 2008, ,, 265 ,,0,0,0,North Shore
33,35 The Esplanade," 955,000 ", Feb 2020,0, ,, ,, 998 ,,2,1,2,North Shore
34,38 Myrtle Grove," 500,000 ", Feb 2020,0, ,, ,, 307 ,,4,1,3,North Shore
35,1/19 Sea Breeze Parade," 385,000 ", Jan 2020,0," 215,000 ", May 2008, ,, 263  ,  100 ,0,0,0,North Shore
36,3/32 Myrtle Grove," 345,000 ", Oct 2019,0," 210,000 ", Dec 2008, 320 , Jul 2018, 166 ,,2,1,1,North Shore
37,9 Phosphate Road," 500,000 ", Aug 2019,0," 290,000 ", Jul 2009, 160 , Apr 2007, 740 ,,2,1,3,North Shore
38,16 Pine Avenue," 550,000 ", May 2019,0," 287,500 ", Sep 2012, 290 , Sep 2013, 919  ,  83 ,3,1,1,North Shore
39,17 Seabreeze Parade," 392,173 ", May 2019,0, ,, 310 , Nov 2019, ,,2,1,1,North Shore
40,4/22 Myrtle Grove," 526,000 ", Aug 2020,0, ,, 400 , Aug 2018, 176 ,,0,0,0,North Shore
41,14 Seaforth Street," 355,000 ", Apr 2020,0," 70,000 ", Nov 1989, ,, 688 ,,3,0,0,North Shore
42,3/51 The Esplanade," 750,000 ", Mar 2020,0," 550,900 ", Nov 2008, ,, 265 ,,0,0,0,North Shore
43,35 The Esplanade," 955,000 ", Feb 2020,0, ,, ,, 998 ,,2,1,2,North Shore
44,38 Myrtle Grove," 500,000 ", Feb 2020,0, ,, ,, 307 ,,4,1,3,North Shore
45,1/19 Sea Breeze Parade," 385,000 ", Jan 2020,0," 215,000 ", May 2008, ,, 263  ,  100 ,0,0,0,North Shore
46,3/32 Myrtle Grove," 345,000 ", Oct 2019,0," 210,000 ", Dec 2008, 320 , Jul 2018, 166 ,,2,1,1,North Shore
47,9 Phosphate Road," 500,000 ", Aug 2019,0," 290,000 ", Jul 2009, 160 , Apr 2007, 740 ,,2,1,3,North Shore
48,16 Pine Avenue," 550,000 ", May 2019,0," 287,500 ", Sep 2012, 290 , Sep 2013, 919  ,  83 ,3,1,1,North Shore
49,17 Seabreeze Parade," 392,173 ", May 2019,0, ,, 310 , Nov 2019, ,,2,1,1,North Shore
50,4/22 Myrtle Grove," 526,000 ", Aug 2020,0, ,, 400 , Aug 2018, 176 ,,0,0,0,North Shore
51,14 Seaforth Street," 355,000 ", Apr 2020,0," 70,000 ", Nov 1989, ,, 688 ,,3,0,0,North Shore
52,3/51 The Esplanade," 750,000 ", Mar 2020,0," 550,900 ", Nov 2008, ,, 265 ,,0,0,0,North Shore
53,35 The Esplanade," 955,000 ", Feb 2020,0, ,, ,, 998 ,,2,1,2,North Shore
54,38 Myrtle Grove," 500,000 ", Feb 2020,0, ,, ,, 307 ,,4,1,3,North Shore
55,1/19 Sea Breeze Parade," 385,000 ", Jan 2020,0," 215,000 ", May 2008, ,, 263  ,  100 ,0,0,0,North Shore
56,3/32 Myrtle Grove," 345,000 ", Oct 2019,0," 210,000 ", Dec 2008, 320 , Jul 2018, 166 ,,2,1,1,North Shore
57,9 Phosphate Road," 500,000 ", Aug 2019,0," 290,000 ", Jul 2009, 160 , Apr 2007, 740 ,,2,1,3,North Shore
58,16 Pine Avenue," 550,000 ", May 2019,0," 287,500 ", Sep 2012, 290 , Sep 2013, 919  ,  83 ,3,1,1,North Shore
59,17 Seabreeze Parade," 392,173 ", May 2019,0, ,, 310 , Nov 2019, ,,2,1,1,North Shore
60,4/22 Myrtle Grove," 526,000 ", Aug 2020,0, ,, 400 , Aug 2018, 176 ,,0,0,0,North Shore
61,14 Seaforth Street," 355,000 ", Apr 2020,0," 70,000 ", Nov 1989, ,, 688 ,,3,0,0,North Shore
62,3/51 The Esplanade," 750,000 ", Mar 2020,0," 550,900 ", Nov 2008, ,, 265 ,,0,0,0,North Shore
63,35 The Esplanade," 955,000 ", Feb 2020,0, ,, ,, 998 ,,2,1,2,North Shore
64,38 Myrtle Grove," 500,000 ", Feb 2020,0, ,, ,, 307 ,,4,1,3,North Shore
65,1/19 Sea Breeze Parade," 385,000 ", Jan 2020,0," 215,000 ", May 2008, ,, 263  ,  100 ,0,0,0,North Shore
66,3/32 Myrtle Grove," 345,000 ", Oct 2019,0," 210,000 ", Dec 2008, 320 , Jul 2018, 166 ,,2,1,1,North Shore
67,9 Phosphate Road," 500,000 ", Aug 2019,0," 290,000 ", Jul 2009, 160 , Apr 2007, 740 ,,2,1,3,North Shore
68,16 Pine Avenue," 550,000 ", May 2019,0," 287,500 ", Sep 2012, 290 , Sep 2013, 919  ,  83 ,3,1,1,North Shore
69,17 Seabreeze Parade," 392,173 ", May 2019,0, ,, 310 , Nov 2019, ,,2,1,1,North Shore
70,4/22 Myrtle Grove," 526,000 ", Aug 2020,0, ,, 400 , Aug 2018, 176 ,,0,0,0,North Shore
71,14 Seaforth Street," 355,000 ", Apr 2020,0," 70,000 ", Nov 1989, ,, 688 ,,3,0,0,North Shore
72,3/51 The Esplanade," 750,000 ", Mar 2020,0," 550,900 ", Nov 2008, ,, 265 ,,0,0,0,North Shore
73,35 The Esplanade," 955,000 ", Feb 2020,0, ,, ,, 998 ,,2,1,2,North Shore
74,38 Myrtle Grove," 500,000 ", Feb 2020,0, ,, ,, 307 ,,4,1,3,North Shore
75,1/19 Sea Breeze Parade," 385,000 ", Jan 2020,0," 215,000 ", May 2008, ,, 263  ,  100 ,0,0,0,North Shore
76,3/32 Myrtle Grove," 345,000 ", Oct 2019,0," 210,000 ", Dec 2008, 320 , Jul 2018, 166 ,,2,1,1,North Shore
77,9 Phosphate Road," 500,000 ", Aug 2019,0," 290,000 ", Jul 2009, 160 , Apr 2007, 740 ,,2,1,3,North Shore
78,16 Pine Avenue," 550,000 ", May 2019,0," 287,500 ", Sep 2012, 290 , Sep 2013, 919  ,  83 ,3,1,1,North Shore
79,17 Seabreeze Parade," 392,173 ", May 2019,0, ,, 310 , Nov 2019, ,,2,1,1,North Shore
80,4/22 Myrtle Grove," 526,000 ", Aug 2020,0, ,, 400 , Aug 2018, 176 ,,0,0,0,North Shore
81,14 Seaforth Street," 355,000 ", Apr 2020,0," 70,000 ", Nov 1989, ,, 688 ,,3,0,0,North Shore
82,3/51 The Esplanade," 750,000 ", Mar 2020,0," 550,900 ", Nov 2008, ,, 265 ,,0,0,0,North Shore
83,35 The Esplanade," 955,000 ", Feb 2020,0, ,, ,, 998 ,,2,1,2,North Shore
84,38 Myrtle Grove," 500,000 ", Feb 2020,0, ,, ,, 307 ,,4,1,3,North Shore
85,1/19 Sea Breeze Parade," 385,000 ", Jan 2020,0," 215,000 ", May 2008, ,, 263  ,  100 ,0,0,0,North Shore
86,3/32 Myrtle Grove," 345,000 ", Oct 2019,0," 210,000 ", Dec 2008, 320 , Jul 2018, 166 ,,2,1,1,North Shore
87,9 Phosphate Road," 500,000 ", Aug 2019,0," 290,000 ", Jul 2009, 160 , Apr 2007, 740 ,,2,1,3,North Shore
88,16 Pine Avenue," 550,000 ", May 2019,0," 287,500 ", Sep 2012, 290 , Sep 2013, 919  ,  83 ,3,1,1,North Shore
89,17 Seabreeze Parade," 392,173 ", May 2019,0, ,, 310 , Nov 2019, ,,2,1,1,North Shore
