,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,2/5-7 Victoria Street," 577,500 ", Jul 2020,0," 469,900 ", Jul 2013, ,, 188 ,,3,2,1,Ripple Side
1,27 Holden Avenue," 815,000 ", Jun 2020,0," 725,000 ", Jun 2015, ,, 615  ,  130 ,3,1,2,Ripple Side
2,20 Walker Street," 768,500 ", 07 Mar 2020,1," 580,000 ", Sep 2013, ,, 267 ,,3,1,1,Ripple Side
3,17 Margaret Street," 1,250,000 ", Feb 2020,0," 393,000 ", Jun 2013, ,, 430  ,  177 ,4,1,1,Ripple Side
4,2b Swinburne Street," 470,000 ", Dec 2019,0," 270,000 ", Jan 2015, ,, 106 ,,3,2,2,Ripple Side
5,9/1B Victoria Street," 435,000 ", Nov 2019,0, ,, ,, 673 ,,2,1,1,Ripple Side
6,23 Margaret Street," 855,000 ", Oct 2019,0," 284,500 ", Mar 2009, ,, 95 ,,3,2,0,Ripple Side
7,Lot 13 Rivers Edge Estate," 147,900 ", Aug 2019,0, ,, ,, ,,0,0,0,Ripple Side
8,24 Margaret Street," 810,000 ", 05 Jul 2019,1," 582,000 ", Dec 2015, ,, 419 ,,3,2,0,Ripple Side
9,Stage 2 TH2/43 Liverpool Street," 780,000 ", Jun 2019,0, ,, ,, ,,2,2,2,Ripple Side
10,21 Bay Street," 840,000 ", May 2019,0," 640,000 ", May 2015, ,, 528  ,  145 ,3,1,1,Ripple Side
11,11/1B Victoria Street," 405,000 ", May 2019,0, ,, 400 , Jun 2019, 673 ,,0,0,0,Ripple Side
12,7/5-7 Victoria Street," 515,000 ", May 2019,0," 390,000 ", Apr 2011, ,, 189 ,,3,1,1,Ripple Side
13,17 Lumb Place," 1,590,000 ", May 2019,0, ,, ,, 187 ,,3,3,2,Ripple Side
14,22 Walker Street," 645,000 ", Apr 2019,0," 515,000 ", Dec 2011, ,, 269 ,,3,1,1,Ripple Side
15,2a Swinburne Street," 470,000 ", Feb 2019,0," 270,000 ", Jan 2015, ,, 137 ,,3,2,2,Ripple Side
16,1/1 Liverpool Street," 950,000 ", Feb 2019,0," 346,000 ", Oct 2006, ,, 250 ,,3,2,2,Ripple Side
17,7 Lumb Place," 1,100,000 ", Dec 2018,0, ,, ,, 154 ,,3,3,2,Ripple Side
18,13 Vautier Street," 675,000 ", Dec 2018,0, ,, ,, 613 ,,3,1,1,Ripple Side
19,5 St Helens Place," 775,000 ", Dec 2018,0," 595,000 ", Oct 2012, ,, 325 ,,3,2,2,Ripple Side
20,19 Walker Street," 560,000 ", Nov 2018,0, ,, 340 , Jan 2020, 476 ,,3,1,4,Ripple Side
21,39 Margaret Street," 660,000 ", Nov 2018,0," 85,000 ", Jan 1993, ,, 437  ,  129 ,3,1,4,Ripple Side
22,20 St David Street," 1,275,000 ", Nov 2018,0, ,, ,, 734 ,,4,2,2,Ripple Side
23,9 St David Street," 720,000 ", 27 Oct 2018,1, ,, 450 , Sep 2018, 614 ,,3,1,4,Ripple Side
24,4/1B Victoria Street," 415,000 ", Oct 2018,0," 399,000 ", Nov 2014, ,, 673 ,,0,0,0,Ripple Side
25,36 Vautier Street," 1,400,000 ", Sep 2018,0, ,, 300 , Dec 2011, 612 ,,5,2,2,Ripple Side
26,9/209 Melbourne Road," 373,000 ", Sep 2018,0, ,, 310 , Jan 2013," 2,078 ",,0,0,0,Ripple Side
27,15 Victoria Street," 655,000 ", 11 Aug 2018,1," 351,000 ", Feb 2008, ,, 367  ,  95 ,2,1,1,Ripple Side
