,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,16 Lonsdale Street," 1,180,000 ", Aug 2020,0," 262,500 ", May 2001, 300 , Nov 2009, 487 ,,3,1,2,South Geelong
1,3/42 Park Crescent," 425,000 ", Aug 2020,0," 155,000 ", May 2003, 295 , Apr 2016, 429 ,,0,0,0,South Geelong
2,3/42-44 Park Crescent," 425,000 ", Jul 2020,0, ,, 295 , Apr 2016, ,,2,1,1,South Geelong
3,225 Yarra Street," 610,000 ", Apr 2020,0," 385,000 ", Jul 2013, ,, 262  ,  107 ,3,1,2,South Geelong
4,4/85 Fyans Street," 255,000 ", Mar 2020,0," 190,000 ", Jan 2018, 220 , Oct 2017, 728 ,,0,0,0,South Geelong
5,111 Fyans Street," 679,000 ", 08 Feb 2020,1," 210,000 ", Mar 2005, 290 , May 2015, 650 ,,3,1,2,South Geelong
6,289 Bellerine Street," 696,000 ", 08 Feb 2020,1," 548,500 ", Aug 2016, 435 , Oct 2017, 280 ,,3,2,1,South Geelong
7,32 Verner Street," 688,000 ", 30 Nov 2019,1," 79,000 ", Mar 1996, ,, 483 ,,3,0,0,South Geelong
8,17 Hopkins Street," 565,000 ", Nov 2019,0," 179,000 ", May 1999, ,, 213 ,,2,2,2,South Geelong
9,2a Lonsdale Street," 702,500 ", Sep 2019,0," 664,000 ", Apr 2017, 470 , Apr 2018, 122 ,,3,2,1,South Geelong
10,6 Park Crescent," 530,000 ", 31 Aug 2019,1," 62,000 ", Mar 1988, 400 , Nov 2019, 379 ,,3,1,1,South Geelong
11,14 Foster Street," 742,000 ", Aug 2019,0," 540,000 ", May 2012, ,, 459 ,,2,1,1,South Geelong
12,190 Swanston Street," 710,000 ", 17 Aug 2019,1," 500,000 ", May 2013, 460 , Sep 2019, 307  ,  118 ,3,1,1,South Geelong
13,80 Foster Street," 560,000 ", Jul 2019,0," 395,000 ", May 2010, 395 , Sep 2019, 404  ,  115 ,3,1,2,South Geelong
14,290 Bellerine Street," 618,000 ", Jul 2019,0," 382,500 ", Jul 2012, ,, 459  ,  121 ,3,1,1,South Geelong
15,14 Lonsdale Street," 785,000 ", Jun 2019,0, ,, ,, 486 ,,3,1,3,South Geelong
16,10 Lonsdale Street," 617,500 ", 13 Apr 2019,1," 126,000 ", Aug 1996, ,, 486 ,,3,1,1,South Geelong
17,170 Swanston Street," 575,000 ", 30 Mar 2019,1, ,, 350 , Jul 2019, 446 ,,2,1,1,South Geelong
18,163 Swanston Street," 573,000 ", 30 Mar 2019,1," 295,000 ", Feb 2013, ,, 310  ,  104 ,3,1,1,South Geelong
19,17 Balliang Street," 755,000 ", Mar 2019,0," 450,000 ", Oct 2012, 450 , Oct 2012, 460  ,  150 ,3,2,2,South Geelong
20,8 Lonsdale Street," 1,120,000 ", 23 Feb 2019,1," 185,000 ", Nov 2001, 650 , Dec 2017, 487 ,,4,3,3,South Geelong
21,46 Balliang Street," 760,000 ", Feb 2019,0," 430,000 ", Oct 2008, 190 , Nov 2006, 562  ,  126 ,3,2,0,South Geelong
22,2/87 Fyans Street," 590,000 ", 25 Jan 2019,1," 130,000 ", Jan 2014, ,, 304  ,  119 ,3,2,2,South Geelong
23,2/42 Park Crescent," 400,000 ", Dec 2018,0," 305,000 ", Aug 2012, ,, 429 ,,0,0,0,South Geelong
24,298 Bellerine Street," 650,000 ", Dec 2018,0," 243,000 ", Jul 2003, ,, 508 ,,3,2,2,South Geelong
25,2/42-44 Park Crescent," 400,000 ", Dec 2018,0," 305,000 ", Aug 2012, 310 , Apr 2020, 429 ,,0,0,0,South Geelong
