,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,8 Robertson Street," 435,500 ", Aug 2020,0," 285,000 ", Mar 2011, ,, 650 ,,3,1,2,Thomson
1,2/5 Barling Court," 390,000 ", Aug 2020,0, ,, ,, 201 ,,0,0,0,Thomson
2,1 Olney Avenue," 420,000 ", Jul 2020,0, ,, 335 , Nov 2018, 644 ,,3,1,1,Thomson
3,37 Winstanley Road," 438,000 ", May 2020,0," 110,000 ", Oct 1991, ,, 539 ,,3,0,0,Thomson
4,12 Tamlyn Street," 366,500 ", May 2020,0," 225,000 ", Dec 2008, ,, 186 ,,2,1,1,Thomson
5,10 Olney Avenue," 370,000 ", Apr 2020,0," 180,000 ", Dec 2004, ,, 543 ,,3,1,1,Thomson
6,148 Boundary Road," 395,000 ", 18 Mar 2020,1," 300,000 ", Feb 2000, ,, 613 ,,3,1,1,Thomson
7,2/25 Helmer Crescent," 400,000 ", Mar 2020,0," 308,000 ", Feb 2016, ,, 294 ,,2,1,1,Thomson
8,141 St Albans Road," 535,000 ", Mar 2020,0, ,, ,, 539 ,,3,1,1,Thomson
9,2 Callander Street," 413,000 ", 29 Feb 2020,1," 235,000 ", Sep 2011, ,, 605 ,,3,1,2,Thomson
10,2/44 Godfrey Street," 386,000 ", Feb 2020,0," 315,000 ", Nov 2010, ,, 174  ,  93 ,0,0,0,Thomson
11,41 Olney Avenue," 395,000 ", Feb 2020,0," 165,000 ", Jun 2003, ,, 540  ,  146 ,2,1,2,Thomson
12,4B Bromley Street," 416,000 ", Jan 2020,0, ,, ,, ,,3,2,2,Thomson
13,3 Kahle Court," 425,000 ", 21 Dec 2019,1," 330,000 ", Mar 2014, ,, 648  ,  103 ,3,1,1,Thomson
14,4A Bromley Street," 480,000 ", Dec 2019,0, ,, ,, ,,0,0,0,Thomson
15,33 Breakwater Road," 770,000 ", Nov 2019,0," 300,000 ", Jan 2006, ,, 759  ,  190 ,3,2,0,Thomson
16,17 Olney Avenue," 415,000 ", Nov 2019,0," 212,500 ", Feb 2000, ,, 687  ,  99 ,3,1,2,Thomson
17,14A Tate Street," 425,000 ", Oct 2019,0," 285,000 ", Mar 2011, ,, 669  ,  96 ,3,1,1,Thomson
18,23 Callander Street," 435,000 ", Oct 2019,0," 247,000 ", Sep 2014, ,, 532 ,,3,1,2,Thomson
19,1/27 Barnfather Street," 380,000 ", Oct 2019,0," 241,000 ", Nov 2008, ,, 194 ,,0,0,0,Thomson
20,12 Jamieson Street," 395,000 ", 07 Sep 2019,1," 331,000 ", Feb 2017, ,, 536 ,,3,1,2,Thomson
21,20 Winstanley Road," 321,000 ", Aug 2019,0," 280,000 ", May 2016, ,, 574 ,,3,1,1,Thomson
22,2/30 Tate Street," 385,000 ", Aug 2019,0," 275,000 ", Nov 2015, ,, 347  ,  98 ,0,0,0,Thomson
23,10 Barnfather Street," 380,000 ", Aug 2019,0," 255,000 ", Jan 2013, ,, 669 ,,3,1,2,Thomson
24,21 Breakwater Road," 380,000 ", Jul 2019,0," 292,500 ", Sep 2014, ,, 374 ,,2,1,0,Thomson
25,25 Callander Street," 370,000 ", Jul 2019,0," 280,000 ", Jan 2015, ,, 539 ,,3,1,3,Thomson
26,3/9 Helmer Crescent," 372,500 ", Jul 2019,0," 50,000 ", Nov 2003, ,, 332 ,,0,0,0,Thomson
27,4 Warren Street," 465,000 ", Jul 2019,0," 310,000 ", Dec 2010, ,, 654 ,,3,1,2,Thomson
28,3 Hering Court," 396,000 ", 18 May 2019,1," 73,000 ", Nov 1993, ,, 733 ,,3,1,3,Thomson
29,21 Birdsey Street," 360,000 ", May 2019,0, ,, 300 , Jul 2019, 669 ,,3,1,2,Thomson
30,5/21-23 Helmer Crescent," 365,000 ", Dec 2018,0," 225,000 ", Sep 2007, ,, 355 ,,0,0,0,Thomson
31,25 Godfrey Street," 443,000 ", Dec 2018,0," 165,000 ", Jul 2005, ,, 647  ,  103 ,3,1,4,Thomson
32,2/17 Barnfather Street," 410,000 ", Dec 2018,0," 355,000 ", Jul 2017, ,, 347 ,,3,1,2,Thomson
33,5 Kahle Court," 410,000 ", Nov 2018,0, ,, ,, 617 ,,3,1,2,Thomson
34,14 Breakwater Road," 660,000 ", 24 Nov 2018,1," 375,000 ", May 2015, ,, 350  ,  97 ,3,1,2,Thomson
35,200 Ormond Road," 425,000 ", Nov 2018,0," 270,000 ", Mar 2010, ,, 704  ,  191 ,4,1,1,Thomson
36,156 Boundary Road," 407,000 ", Nov 2018,0," 295,000 ", Aug 2012, ,, 407 ,,3,1,1,Thomson
37,20 Robertson Street," 380,000 ", 15 Nov 2018,1," 255,000 ", Feb 2014, ,, 591  ,  100 ,2,1,1,Thomson
38,2/18 Breakwater Road," 275,000 ", Nov 2018,0," 65,000 ", Jul 2000, ,, 80 ,,0,0,0,Thomson
39,9 Olney Avenue," 402,500 ", Nov 2018,0," 287,000 ", Aug 2012, ,, 630  ,  102 ,3,1,2,Thomson
40,117 St Albans Road," 351,000 ", Oct 2018,0," 174,000 ", Sep 2006, ,, 630 ,,3,1,1,Thomson
41,3/9 Carruthers Court," 445,000 ", Oct 2018,0," 365,000 ", Aug 2016, ,, 255  ,  125 ,0,0,0,Thomson
42,1/10-12 Carrington Street," 364,000 ", Sep 2018,0, ,, 330 , Sep 2018, ,,0,0,0,Thomson
43,15A Tate Street," 400,000 ", 01 Sep 2018,1, ,, 195 , Sep 2016, 669 ,,1,1,1,Thomson
44,15&15A Tate Street," 400,000 ", 01 Sep 2018,1, ,, ,, ,,2,0,0,Thomson
45,15 TATE Street," 400,000 ", 01 Sep 2018,1," 220,000 ", Dec 2007, ,, 669 ,,2,2,2,Thomson
46,11A Barnfather Street," 331,000 ", Aug 2018,0," 251,000 ", Aug 2013, ,, 303  ,  81 ,2,1,1,Thomson
47,19 Olney Avenue," 451,000 ", Aug 2018,0," 220,000 ", Feb 2010, ,, 582 ,,3,1,3,Thomson
48,62 Breakwater Road," 679,000 ", 28 Jul 2018,1," 180,000 ", Apr 2006, ,, 405 ,,3,2,0,Thomson
49,5 Jamieson Street," 426,000 ", Jul 2018,0, ,, 335 , Sep 2018, 533 ,,3,1,1,Thomson
50,115 St Albans Road," 500,000 ", Jul 2018,0," 153,000 ", Dec 2007, ,, 636  ,  160 ,4,2,2,Thomson
51,35 Olney Avenue," 465,000 ", Jul 2018,0," 182,500 ", Oct 2004, ,, 567 ,,0,0,0,Thomson
52,3/27 Barnfather Street," 382,500 ", Jul 2018,0," 319,500 ", Nov 2011, ,, 296 ,,0,0,0,Thomson
53,35 Winstanley Road," 412,000 ", Jun 2018,0," 85,500 ", Sep 2000, ,, 545 ,,3,1,1,Thomson
54,17 Bromley Street," 447,000 ", Jun 2018,0," 280,000 ", May 2013, ,, 781  ,  97 ,2,1,2,Thomson
55,159 St Albans Road," 418,000 ", Jun 2018,0," 275,000 ", Feb 2014, ,, 528 ,,2,1,1,Thomson
56,3 Meddings Court," 437,500 ", Jun 2018,0," 285,000 ", Apr 2015, ,, 739 ,,3,2,2,Thomson
57,33 Olney Avenue," 346,000 ", May 2018,0," 180,000 ", Oct 2005, ,, 575 ,,2,1,1,Thomson
58,139 St Albans Road," 363,000 ", May 2018,0, ,, 290 , Nov 2019, 545 ,,1,1,1,Thomson
59,27 Olney Avenue," 430,000 ", May 2018,0," 281,500 ", Jun 2011, ,, 541  ,  104 ,2,2,1,Thomson
60,15 Barnfather Street," 410,000 ", May 2018,0," 180,000 ", Sep 2008, ,, 646 ,,2,1,2,Thomson
61,16B Helmer Crescent," 385,000 ", May 2018,0, ,, ,, 359 ,,3,1,1,Thomson
62,27 Callander Street," 380,000 ", Apr 2018,0, ,, 330 , Sep 2019, 539 ,,3,1,1,Thomson
63,2 Birdsey Street," 413,000 ", Apr 2018,0," 162,000 ", May 2003, ,, 651 ,,3,1,1,Thomson
64,4/4 Godfrey Street," 382,000 ", Apr 2018,0," 324,000 ", Mar 2012, ,, 167 ,,2,1,1,Thomson
65,179 St Albans Road," 525,500 ", Mar 2018,0, ,, ,, 734 ,,2,1,1,Thomson
66,16B Barnfather Street," 310,000 ", Mar 2018,0, ,, 275 , May 2018, 287 ,,2,1,1,Thomson
67,1/18 Breakwater Road," 295,000 ", Feb 2018,0," 270,000 ", Sep 2014, ,, 77 ,,0,0,0,Thomson
68,16A Barnfather Street," 395,000 ", Feb 2018,0, ,, ,, 382 ,,3,2,2,Thomson
69,23 Breakwater Road," 345,000 ", Feb 2018,0," 185,000 ", Apr 2007, ,, 384 ,,0,0,0,Thomson
70,1/25 Breakwater Road," 365,000 ", Feb 2018,0," 65,000 ", Apr 2004, ,, 299 ,,0,0,0,Thomson
71,6 Winstanley Road," 402,500 ", Jan 2018,0," 179,000 ", Nov 2003, ,, 541 ,,3,1,3,Thomson
72,11 Jamieson Street," 370,342 ", Jan 2018,0, ,, ,, 557 ,,3,1,1,Thomson
73,26 Martin Street," 660,000 ", Dec 2017,0," 389,000 ", Mar 2008, ,, 402 ,,3,2,2,Thomson
74,1 Fagg Street," 420,000 ", Dec 2017,0," 70,500 ", Sep 1990, ,, 843  ,  118 ,3,1,0,Thomson
75,8 Tate Street," 328,000 ", 25 Nov 2017,1, ,, 250 , Sep 2013, 340 ,,2,1,0,Thomson
76,181 St Albans Road," 332,000 ", Nov 2017,0, ,, ,, 560 ,,3,1,1,Thomson
77,44a Tate Street," 412,500 ", 18 Nov 2017,1, ,, 270 , Nov 2009, 362 ,,3,1,2,Thomson
78,15 Bromley Street," 400,000 ", Nov 2017,0, ,, 240 , Mar 2016, 715 ,,3,1,2,Thomson
79,2/2 Tate Street," 320,000 ", Oct 2017,0, ,, ,, ,,2,1,1,Thomson
80,7 Cranstoun Court," 470,000 ", Oct 2017,0, ,, ,, 778 ,,3,1,2,Thomson
81,1/2 Tate Street," 355,000 ", Sep 2017,0, ,, 340 , Jun 2019, ,,3,1,1,Thomson
82,12 Helmer Crescent," 423,000 ", Sep 2017,0," 297,500 ", Feb 2000, ,, 692  ,  132 ,3,2,1,Thomson
83,194b Ormond Road," 324,000 ", Sep 2017,0, ,, ,, 297 ,,3,1,0,Thomson
84,4/13-15 Carruthers Court," 374,000 ", Aug 2017,0," 338,000 ", Aug 2014, ,, 356 ,,3,2,1,Thomson
