,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,69 Grosvenor Drive," 714,000 ", Jul 2020,0," 383,500 ", Jul 2009, ,, 501 ,,3,2,2,Wandana Heights
1,12 Dione Mews," 712,000 ", Jul 2020,0," 635,000 ", Aug 2016, ,, 380  ,  152 ,3,2,2,Wandana Heights
2,3 Regency Close," 800,000 ", Jul 2020,0," 561,000 ", May 2015, ,, 933 ,,4,2,2,Wandana Heights
3,39 Brownhill Ridge," 230,000 ", May 2020,0, ,, ,, ,,0,0,0,Wandana Heights
4,5a Canterbury Court," 540,000 ", Apr 2020,0, ,, 480 , Mar 2019, 292 ,,4,2,2,Wandana Heights
5,16 Grosvenor Drive," 860,000 ", Mar 2020,0," 765,000 ", Apr 2017, ,," 1,141 ",,4,2,2,Wandana Heights
6,28 Grosvenor Drive," 980,000 ", Feb 2020,0," 85,000 ", Feb 2000, ,," 1,759 ",,0,0,0,Wandana Heights
7,29 Grosvenor Drive," 940,000 ", Feb 2020,0," 68,000 ", Nov 1989, ,," 2,495 ",,0,0,0,Wandana Heights
8,3 Pall Ml," 1,012,000 ", Feb 2020,0, ,, ,, ,,0,0,0,Wandana Heights
9,3 Pall Mall," 1,012,000 ", Feb 2020,0," 590,000 ", Sep 2006, ,," 1,316 ",,3,2,4,Wandana Heights
10,30 Grosvenor Drive," 956,000 ", Dec 2019,0," 570,000 ", Jul 2012, ,," 1,741 ",,4,2,2,Wandana Heights
11,109 Grosvenor Drive," 796,500 ", Dec 2019,0," 688,000 ", May 2016, ,," 1,818  ",  219 ,5,2,2,Wandana Heights
12,62 Sunderland Road," 1,360,000 ", Nov 2019,0," 76,000 ", May 1999, ,," 1,025 ",,4,3,1,Wandana Heights
13,13 Drewan Drive," 470,000 ", Oct 2019,0, ,, ,, 603 ,,0,0,0,Wandana Heights
14,2 Canterbury Court," 500,000 ", Oct 2019,0," 68,000 ", Feb 1999, ,, 741 ,,0,0,0,Wandana Heights
15,Lot 66A 20-22 Moncrieff Crescent," 225,900 ", Sep 2019,0, ,, ,, ,,0,0,0,Wandana Heights
16,Lot 22 8 Drewan Drive," 560,000 ", Sep 2019,0, ,, ,, ,,0,0,0,Wandana Heights
17,Lot 51 Drewan Drive," 199,900 ", Aug 2019,0, ,, ,, ,,0,0,0,Wandana Heights
18,5B Canterbury Court," 540,000 ", Aug 2019,0, ,, ,, 240 ,,3,2,2,Wandana Heights
19,60 James Cook Drive," 910,000 ", Jul 2019,0," 720,000 ", Jun 2016, ,," 2,212 ",,4,3,7,Wandana Heights
20,15 Sunderland Road," 555,000 ", Jun 2019,0," 418,500 ", Dec 2014, ,, 375 ,,3,2,2,Wandana Heights
21,88 Grosvenor Drive," 837,000 ", May 2019,0, ,, ,," 1,062 ",,5,2,2,Wandana Heights
22,63 Grosvenor Drive," 763,001 ", May 2019,0," 587,200 ", Aug 2013, ,, 737 ,,4,2,2,Wandana Heights
23,6 Xavier Court," 825,000 ", Mar 2019,0," 585,000 ", Sep 2013, ,, 515  ,  215 ,3,2,2,Wandana Heights
24,18 Grosvenor Drive," 680,000 ", Mar 2019,0, ,, ,," 1,195 ",,4,2,2,Wandana Heights
25,1 Hargrave Crescent," 770,000 ", Mar 2019,0," 285,000 ", Jan 2002, ,," 1,330 ",,4,2,2,Wandana Heights
26,16-17 Dione Mews," 640,000 ", Feb 2019,0, ,, ,, 527 ,,4,2,2,Wandana Heights
27,43 Grosvenor Drive," 1,350,000 ", Feb 2019,0," 950,000 ", Feb 2015, ,," 1,901  ",  424 ,6,4,13,Wandana Heights
28,7 Chisholm Close," 705,000 ", Feb 2019,0," 430,000 ", Dec 2009, ,," 1,280 ",,3,2,2,Wandana Heights
29,10-11 Sholden Court," 530,000 ", Feb 2019,0," 395,000 ", Feb 2017, ,," 1,153 ",,0,0,0,Wandana Heights
30,4 Sunderland Road," 715,000 ", Jan 2019,0," 495,000 ", Apr 2009, ,, 660 ,,4,2,4,Wandana Heights
31,48 Sunderland Road," 750,000 ", Dec 2018,0," 389,000 ", Mar 2005, ,, 919 ,,4,2,2,Wandana Heights
32,11 Wandana Drive," 600,000 ", Nov 2018,0," 360,000 ", Apr 2004, ,, 732 ,,4,2,2,Wandana Heights
