,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,6 Tannin Way," 545,000 ", Aug 2020,0," 185,000 ", Apr 2011, 410 , Nov 2014, 524 ,,4,2,2,Waurn Ponds
1,7 Bollinger Street," 690,000 ", Jun 2020,0, ,, ,, 536 ,,4,2,3,Waurn Ponds
2,2-3 Champagne Court," 1,120,000 ", Jun 2020,0, ,, ,," 1,820 ",,0,0,0,Waurn Ponds
3,74 Rossack Drive," 575,000 ", Jun 2020,0," 440,000 ", Jun 2015, ,, 612 ,,3,2,2,Waurn Ponds
4,14-15 Chandon Court," 1,190,000 ", May 2020,0," 630,000 ", Apr 2012, ,," 2,192 ",,0,0,0,Waurn Ponds
5,32 Shiraz Drive," 460,000 ", Apr 2020,0," 340,000 ", Dec 2014, 340 , Feb 2016, 356  ,  130 ,3,1,1,Waurn Ponds
6,8 CHABLIS Court," 535,000 ", Apr 2020,0," 195,000 ", Mar 2016, 640 , Dec 2017, 419 ,,0,0,0,Waurn Ponds
7,115 Ghazeepore Road," 667,000 ", Mar 2020,0," 110,000 ", Nov 2002, ,, 949 ,,0,0,0,Waurn Ponds
8,1 Katelyn Court," 530,000 ", Mar 2020,0," 278,000 ", Sep 2005, ,, 323  ,  128 ,3,2,1,Waurn Ponds
9,18 Chardonnay Court," 560,000 ", Mar 2020,0," 93,000 ", May 2003, 440 , Mar 2020, 452 ,,0,0,0,Waurn Ponds
10,51 Oakwood Crescent," 480,000 ", Mar 2020,0," 320,000 ", Nov 2009, ,, 313 ,,3,2,1,Waurn Ponds
11,1/14 Ghazeepore Road," 525,000 ", Mar 2020,0, ,, 420 , Mar 2018, 777 ,,0,0,0,Waurn Ponds
12,17 Tree Street," 575,500 ", Feb 2020,0," 380,000 ", Feb 2014, ,, 399 ,,3,2,2,Waurn Ponds
13,30 Ironbark Street," 675,000 ", Jan 2020,0," 138,000 ", Mar 2006, 480 , Feb 2020, 583 ,,0,0,0,Waurn Ponds
14,15 Monterey Drive," 710,000 ", Dec 2019,0, ,, ,, 674 ,,0,0,0,Waurn Ponds
15,88 Ghazeepore Road," 610,000 ", Dec 2019,0," 115,000 ", Feb 2000, 450 , Nov 2016, 776  ,  186 ,4,2,2,Waurn Ponds
16,4 Merlot Street," 630,500 ", Dec 2019,0," 495,000 ", Jan 2018, ,, 480 ,,3,2,2,Waurn Ponds
17,8 Mumm Street," 550,000 ", Dec 2019,0, ,, ,, 578 ,,0,0,0,Waurn Ponds
18,3/14 Ghazeepore Road," 490,000 ", Dec 2019,0," 62,500 ", Aug 1998, 650 , Jan 2020," 2,193  ",  150 ,0,0,0,Waurn Ponds
19,15 Cabernet Court," 671,000 ", Dec 2019,0, ,, ,, 678 ,,3,2,1,Waurn Ponds
20,43 Tannin Way," 520,000 ", Nov 2019,0," 180,000 ", Jun 2012, 400 , Aug 2017, 457  ,  124 ,0,0,0,Waurn Ponds
21,35 Burgundy Drive," 685,000 ", Nov 2019,0," 535,000 ", Mar 2017, 425 , Dec 2014, 682 ,,4,2,2,Waurn Ponds
22,11 Chenin Mews," 470,000 ", Nov 2019,0," 256,000 ", Nov 2007, ,, 355 ,,3,1,1,Waurn Ponds
23,70 Paget Road," 1,160,100 ", Oct 2019,0, ,, ,," 20,888 ",,4,2,4,Waurn Ponds
24,4 Grenache Drive," 700,000 ", Oct 2019,0," 600,000 ", Jun 2012, ,, 640  ,  314 ,5,3,2,Waurn Ponds
25,1/55 Ironbark Street," 480,000 ", Oct 2019,0," 300,000 ", May 2009, 380 , Jun 2017, 289  ,  118 ,3,1,1,Waurn Ponds
26,17 Viogner Place," 675,000 ", Oct 2019,0," 465,000 ", Aug 2013, 600 , Mar 2019, 754  ,  330 ,4,2,2,Waurn Ponds
27,19 Viogner Place," 475,000 ", Oct 2019,0," 425,500 ", Nov 2017, 400 , Sep 2019, 357  ,  123 ,3,1,2,Waurn Ponds
