,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,5 Cosmos Court," 432,000 ", Aug 2020,0," 240,000 ", Apr 2005, ,, 690 ,,4,1,1,Whittington
1,6 Orbit Drive," 388,000 ", Aug 2020,0," 350,000 ", Nov 2018, ,, 687 ,,3,1,3,Whittington
2,16 Freesia Court," 420,000 ", Jul 2020,0," 262,500 ", Sep 2013, ,, 841 ,,3,1,4,Whittington
3,118 Solar Drive," 325,000 ", Jul 2020,0," 164,000 ", Jul 2004, ,, 614 ,,3,1,2,Whittington
4,2/53 Regent Street," 265,000 ", Jul 2020,0," 102,000 ", Jun 2004, ,, 69 ,,0,0,0,Whittington
5,43 Melva Crescent," 525,000 ", Jul 2020,0," 256,000 ", May 2010, ,, 679  ,  114 ,3,1,2,Whittington
6,30/5 Oxford Street," 335,000 ", Jul 2020,0, ,, ,, 91 ,,0,0,0,Whittington
7,7 Samos Court," 408,000 ", Jun 2020,0," 290,000 ", Jul 2017, ,, 645  ,  99 ,3,1,2,Whittington
8,83 Townsend Road," 316,000 ", Jun 2020,0," 54,000 ", Jan 1996, ,, 557 ,,3,0,0,Whittington
9,2/58-60 Regent Street," 300,000 ", May 2020,0," 87,000 ", Feb 2000, ,, 197 ,,0,0,0,Whittington
10,2/58 Regent Street," 300,000 ", May 2020,0," 87,000 ", Feb 2000, ,, 197 ,,0,0,0,Whittington
11,3/37 Chapel Street," 307,000 ", Apr 2020,0," 140,000 ", Sep 2003, ,, 262 ,,0,0,0,Whittington
12,20 Oxford Street," 485,000 ", Apr 2020,0," 302,000 ", Mar 2010, ,, 839 ,,4,1,4,Whittington
13,1B Thatcher Court," 395,000 ", Apr 2020,0," 240,000 ", Feb 2013, ,, 737  ,  106 ,2,1,1,Whittington
14,141-143 TOWNSEND Road," 550,000 ", Mar 2020,0," 84,000 ", Jun 1992, ,, 678 ,,3,1,1,Whittington
15,8 Vostok Court," 410,000 ", Mar 2020,0, ,, ,, 576 ,,0,0,0,Whittington
16,13 Regent Street," 491,000 ", Mar 2020,0," 310,000 ", Sep 2014, ,, 651  ,  135 ,3,2,2,Whittington
17,1/15 Orbit Drive," 350,000 ", Feb 2020,0," 267,500 ", Jul 2017, ,, 375 ,,0,0,0,Whittington
18,3/15-19 Thompson Street," 350,000 ", Feb 2020,0," 73,000 ", Aug 1999, ,, 257 ,,0,0,0,Whittington
19,104 Solar Drive," 332,500 ", Feb 2020,0," 146,000 ", Dec 2002, ,, 567 ,,3,1,1,Whittington
20,7/220-222 Wilsons Road," 210,000 ", Feb 2020,0," 165,000 ", Jun 2013, ,, 43 ,,0,0,0,Whittington
21,227 Wilsons Road," 408,500 ", Feb 2020,0," 259,000 ", May 2013, ,, 558  ,  146 ,5,2,1,Whittington
22,4 Galaxy Court," 412,000 ", Jan 2020,0," 247,500 ", Sep 2009, ,, 802 ,,4,1,1,Whittington
23,17 Titan Street," 322,000 ", Jan 2020,0," 219,900 ", Mar 2012, ,, 553 ,,3,1,0,Whittington
24,138 Solar Drive," 344,500 ", Jan 2020,0," 70,000 ", Nov 2014, ,, 609 ,,0,0,0,Whittington
25,5/1-3 Apollo Place," 298,000 ", Dec 2019,0," 165,000 ", Feb 2008, ,, 162 ,,0,0,0,Whittington
26,6 Dew Street," 505,000 ", Dec 2019,0," 350,000 ", Mar 2017, ,," 1,012 ",,3,1,3,Whittington
27,160 Wilsons Road," 455,000 ", Dec 2019,0," 208,000 ", Aug 2008, ,, 656 ,,3,1,2,Whittington
28,93 Townsend Road," 325,000 ", Dec 2019,0," 207,000 ", Mar 2010, ,, 557 ,,3,1,1,Whittington
29,26 Chapel Street," 440,000 ", Nov 2019,0," 318,000 ", Aug 2016, ,, 510 ,,0,0,0,Whittington
30,1/117-121 Solar Drive," 175,000 ", Nov 2019,0, ,, ,, 91 ,,0,0,0,Whittington
31,70 Solar Drive," 355,000 ", Nov 2019,0," 215,000 ", Feb 2009, ,, 553 ,,3,2,2,Whittington
32,23 Truscott Street," 500,000 ", Nov 2019,0," 320,000 ", Jan 2014, ,, 837  ,  148 ,4,1,4,Whittington
33,13 Sylvia Court," 531,000 ", Nov 2019,0," 143,000 ", Apr 1995, ,, 808 ,,3,2,2,Whittington
34,123 Solar Drive," 380,000 ", Oct 2019,0," 130,000 ", Feb 2000, ,, 553 ,,3,1,2,Whittington
35,16 Bellagio Court," 390,000 ", Oct 2019,0," 340,000 ", Oct 2018, ,, 454  ,  100 ,2,1,2,Whittington
36,227 Boundary Road," 325,000 ", Oct 2019,0," 86,700 ", Apr 1989, ,, 528 ,,3,1,3,Whittington
37,2/41 Townsend Road," 305,000 ", Oct 2019,0," 69,000 ", Nov 2017, ,, 266 ,,0,0,0,Whittington
38,12 Regent Street," 360,100 ", Oct 2019,0," 240,000 ", Jan 2017, ,, 310  ,  114 ,3,2,2,Whittington
39,53 Townsend Road," 129,000 ", Sep 2019,0, ,, 160 , Oct 2007, 124  ,  86 ,0,0,0,Whittington
40,62 Regent Street," 441,000 ", Sep 2019,0, ,, ,, 726 ,,3,1,1,Whittington
41,166 Wilsons Road," 417,500 ", Aug 2019,0," 260,000 ", May 2012, ,, 727  ,  124 ,3,1,1,Whittington
42,25 Townsend Road," 552,000 ", Aug 2019,0," 365,000 ", Sep 2012, ,," 1,166  ",  91 ,2,1,2,Whittington
43,24/5 Oxford Street," 329,000 ", Aug 2019,0, ,, ,, 91 ,,0,0,0,Whittington
44,182 Wilsons Road," 375,000 ", Jul 2019,0," 273,500 ", May 2011, ,, 630 ,,3,1,1,Whittington
45,16 Proton Court," 347,500 ", Jul 2019,0," 63,500 ", Sep 1992, ,, 684 ,,3,1,3,Whittington
46,11 Katarina Place," 385,000 ", Jul 2019,0," 89,500 ", Sep 1996, ,, 570  ,  110 ,3,1,1,Whittington
47,159 Solar Drive," 325,000 ", Jul 2019,0," 215,000 ", Jul 2012, ,, 612  ,  100 ,3,1,2,Whittington
48,2/6 Harvard Court," 342,000 ", Jun 2019,0," 225,000 ", Apr 2017, ,, 273 ,,0,0,0,Whittington
49,223 Boundary Road," 380,000 ", Jun 2019,0, ,, ,, 495 ,,3,1,1,Whittington
50,55 Solar Drive," 340,000 ", Jun 2019,0, ,, ,, 571 ,,3,1,2,Whittington
51,22 Melva Crescent," 435,000 ", May 2019,0," 88,000 ", Mar 1995, ,, 803 ,,3,1,1,Whittington
52,246 Wilsons Road," 360,000 ", May 2019,0," 180,000 ", Jun 2007, ,, 755 ,,3,1,4,Whittington
53,2/16 Dew Street," 445,000 ", May 2019,0," 220,000 ", Mar 2011, ,, 469 ,,3,2,3,Whittington
54,8/15-19 Thompson Street," 345,000 ", May 2019,0," 209,000 ", Jan 2015, ,, 226  ,  94 ,0,0,0,Whittington
