,address,sold,last sold,rent,house_info,land_size
0,157 Geelong Golf Club Residential Estate,"Sold $248,000 in Aug 2013", , , ,Land size: 380 sqm
1,131 Balfour Street,"Sold $511,764 in Apr 2013", , ,House: 4  2  2 ,Land size: 375 sqm
2,10 Osborne Avenue,"Sold $330,000 in 19 Nov 2011(Auction)", , ,House: 3  3  2 ,Land size: 646 sqm
3,23 St David Street,"Sold $525,000 in Feb 2011", , ,House: 1  , 
4,16 Saywell Street,"Sold $437,500 in Dec 2010", , ,House: 3  2  1 ,Land size: 649 sqm
5,1/18 Walsh Grove,"Sold $260,000 in Oct 2010", , , , 
6,43 Guthrie Avenue,"Sold $445,000 in Jun 2010", , ,House: 4  , 
7,1 Birch Street,"Sold $405,000 in Jun 2010", , ,House: 3  , 
8,52 Douro Street,"Sold $280,500 in 06 Mar 2010(Auction)", , ,House: 3  1  2 ,Land size: 613 sqm
9,3 Weddell Road,"Sold $290,000 in Feb 2010", , ,House: 3  1  1 , 
10,1/57 Giddings Street,"Sold $289,000 in 2009", , , ,Land size: 312 sqm
11,2/2 The Fairway,"Sold $183,000 in Jun 2007", , , , 
12,8 Guthrie Avenue,"Sold $410,000 in Apr 2007", , ,House: , 
13,43 Slevin Street,"Sold $253,250 in Mar 2007", , ,House: 2  , 
14,60 Roseneath,"Sold $166,000 in Jul 2005", , , , 
15,6-8 Surrey Street,"Sold $170,000 in Nov 2004", , , , 
16,6&8 Armstrong Street,"Sold $295,000 in Oct 2004", , , , 
