,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,14A Townsend Road," 415,000 ", Aug 2020,0, ,, ,, 768 ,,3,1,1,St Albans
1,13 Aldershot Road," 430,000 ", Aug 2020,0," 213,000 ", Feb 2000, ,, 608  ,  117 ,3,2,2,St Albans
2,24 Filipi Drive," 455,000 ", Aug 2020,0," 230,000 ", Sep 2009, ,, 621  ,  109 ,3,1,1,St Albans
3,25 Paramount Crescent," 530,000 ", Aug 2020,0," 321,000 ", Aug 2013, ,, 581 ,,4,2,5,St Albans
4,6 Strathmore Court," 455,000 ", Jul 2020,0," 315,500 ", Oct 2015, ,, 792 ,,3,1,1,St Albans
5,11 Bronte Court," 530,000 ", Jul 2020,0," 339,000 ", May 2011, ,, 716 ,,3,2,2,St Albans
6,1/25-27 Enfield Drive," 335,000 ", Jun 2020,0," 220,000 ", Aug 2016, ,, 140 ,,0,0,0,St Albans
7,1/44 Townsend Road," 380,000 ", Jun 2020,0, ,, 360 , Apr 2019, 213 ,,0,0,0,St Albans
8,48 Enfield Drive," 450,000 ", May 2020,0," 295,000 ", Sep 2014, ,, 652  ,  112 ,3,1,1,St Albans
9,64 Grafton Street," 425,500 ", Apr 2020,0," 282,500 ", Sep 2010, ,, 500 ,,3,1,2,St Albans
10,311 Wilsons Road," 469,000 ", Mar 2020,0," 93,500 ", Feb 2000, ,, 673 ,,3,2,2,St Albans
11,12 Meadenhall Drive," 402,500 ", Mar 2020,0," 105,000 ", May 2000, ,, 398 ,,0,0,0,St Albans
12,14 Alcott Road," 570,000 ", Mar 2020,0," 309,000 ", Apr 2007, ,, 740 ,,3,2,4,St Albans
13,8B East End Crescent," 475,000 ", Mar 2020,0, ,, ,, ,,0,0,0,St Albans
14,10 Grafton Street," 357,000 ", 21 Mar 2020,1," 225,000 ", Jul 2007, ,, 575 ,,3,2,1,St Albans
15,35 Westmoreland Street," 488,000 ", Mar 2020,0," 365,000 ", Mar 2018, ,, 669 ,,3,1,1,St Albans
16,7 Jenna Court," 465,000 ", Mar 2020,0, ,, ,, 673 ,,0,0,0,St Albans
17,1 Nada Close," 430,000 ", Feb 2020,0," 149,000 ", Mar 2002, ,, 588 ,,3,2,2,St Albans
18,2/315-317 Boundary Road," 285,000 ", Feb 2020,0," 140,000 ", Apr 2006, ,, 67 ,,0,0,0,St Albans
19,36 Pinder Court," 445,000 ", Feb 2020,0," 310,000 ", May 2014, ,, 647  ,  112 ,3,1,2,St Albans
20,52 Paratone Crescent," 545,000 ", Feb 2020,0," 370,000 ", Mar 2011, ,, 684  ,  173 ,3,2,2,St Albans
21,52 Paratone Cresent," 545,000 ", Feb 2020,0, ,, ,, ,,3,2,4,St Albans
22,20 Bronte Court," 390,000 ", Jan 2020,0," 385,000 ", Jul 2018, ,, 341  ,  99 ,2,1,2,St Albans
23,27 Durran Street," 450,000 ", Jan 2020,0, ,, ,, 619 ,,3,2,4,St Albans
24,81 Homestead Drive," 610,000 ", Jan 2020,0, ,, ,, 725 ,,4,2,2,St Albans
25,6A St James Street," 420,000 ", Dec 2019,0," 320,000 ", Jun 2016, ,, 281 ,,3,2,1,St Albans
26,63 St Albans Street," 450,000 ", Dec 2019,0," 265,000 ", Jun 2013, ,, 568 ,,3,1,1,St Albans
27,26 Grafton Street," 422,000 ", Dec 2019,0," 240,500 ", Oct 2014, ,, 726  ,  114 ,3,1,1,St Albans
28,10 Ardula Court," 440,000 ", Dec 2019,0," 235,000 ", Oct 2005, ,, 664 ,,3,1,1,St Albans
29,21 Alcott Road," 645,000 ", Nov 2019,0, ,, ,, 786 ,,0,0,0,St Albans
30,27 St James Street," 405,000 ", Nov 2019,0," 195,000 ", Feb 2008, ,, 590 ,,3,1,2,St Albans
31,4 Aldershot Road," 425,000 ", Nov 2019,0," 82,500 ", Mar 1989, ,, 638 ,,4,2,1,St Albans
32,34 Enfield Drive," 470,000 ", Nov 2019,0," 232,000 ", Sep 2009, ,, 569  ,  117 ,4,1,0,St Albans
33,62 St Albans Street," 410,500 ", Nov 2019,0," 245,000 ", Sep 2012, ,, 679 ,,2,1,2,St Albans
34,13 Durran Street," 440,000 ", Nov 2019,0," 335,000 ", Jul 2015, ,, 623  ,  245 ,4,3,2,St Albans
35,23 Westmoreland Street," 442,000 ", Oct 2019,0, ,, 385 , Nov 2019, 768 ,,3,1,4,St Albans
36,262 Wilsons Road," 581,000 ", 26 Oct 2019,1, ,, ,," 1,218 ",,3,0,0,St Albans
37,2/202 Coppards Road," 412,000 ", Oct 2019,0," 223,000 ", Sep 2004, ,, 385  ,  135 ,0,0,0,St Albans
38,64 St Albans Street," 405,000 ", Oct 2019,0, ,, ,, 666 ,,4,1,2,St Albans
