address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
9 Aaron Street,Armstrong Creek,2,2,0,309,0,"$482,500 ",24-Feb-20,,,,,
12 Abigail Court,Armstrong Creek,4,2,2,518,23,"$570,000 ",13-Feb-19,,,,,
25 Abode Street,Armstrong Creek,4,2,2,400,25,"$550,000 ",21-Feb-20,,,,,
29 Abode Street,Armstrong Creek,4,2,2,400,0,"$246,900 ",2-May-19,,,,,
41 Abode Street,Armstrong Creek,4,2,2,400,0,"$246,900 ",25-Jan-19,,,,,
9 Ackland Street,Armstrong Creek,3,2,1,218,0,"$415,000 ",29-Oct-19,,,,,
18 Ackland Street,Armstrong Creek,4,2,2,520,0,"$625,000 ",16-Aug-19,,,,,
20 Ackland Street,Armstrong Creek,3,2,2,517,0,"$620,000 ",26-May-20,,,,,
30 Ackland Street,Armstrong Creek,4,2,2,512,0,"$620,000 ",13-Sep-19,,,,,
33 Albanel Street,Armstrong Creek,4,3,2,349,0,"$277,000 ",11-Mar-19,,,,,
43 Albanel Street,Armstrong Creek,4,2,2,392,232.2576,"$285,000 ",15-Aug-19,,,,,
22 Ambarella Way,Armstrong Creek,3,2,2,336,0,"$470,000 ",31-Oct-19,,,,,
28 Ambarella Way,Armstrong Creek,4,2,2,464,232.2576,"$670,000 ",26-Sep-19,,,,,
3 Ambrosia Drive,Armstrong Creek,4,2,2,512,196.36,"$630,000 ",5-Dec-19,,,,,
37 Ambrosia Drive,Armstrong Creek,4,3,2,495,34,"$661,000 ",20-Oct-19,,,,,
45 Ambrosia Drive,Armstrong Creek,4,2,2,500,204.3867,"$620,000 ",2-Dec-19,,,,,
51 Ambrosia Drive,Armstrong Creek,5,3,2,542,0,"$710,000 ",6-Nov-19,,,,,
55 Ambrosia Drive,Armstrong Creek,4,2,2,499,0,"$565,000 ",26-Oct-19,,,,,
17 Amiable Parade,Armstrong Creek,4,2,2,400,0,"$532,500 ",12-Mar-20,,,,,
13 Ashbury Boulevard,Armstrong Creek,4,2,2,448,204,"$535,000 ",18-Nov-19,,,,,
34 Ashbury Boulevard,Armstrong Creek,4,2,2,448,204.3867,"$540,000 ",18-Apr-19,,,,,
15 Baenschs Lane,Armstrong Creek,4,2,2,54187,0,"$1,154,000 ",10-Feb-19,,,,,
7 Barleycorn Bend,Armstrong Creek,4,2,2,590,0,"$635,000 ",1-Jul-20,,,,,
14 Barleycorn Bend,Armstrong Creek,4,2,2,438,0,"$575,000 ",23-Jan-19,,,,,
790 Barwon Heads Road,Armstrong Creek,4,2,2,336,0,"$480,000 ",2-May-19,,,,,
804 Barwon Heads Road,Armstrong Creek,3,2,2,398,125,"$512,000 ",1-Jul-20,,,,,
