address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
29 Alicia Street,Bell Park,3,1,2,628,112,"$495,000 ",11-Jul-20,,,,,
36 Alicia Street,Bell Park,3,1,1,602,0,"$355,500 ",9-Feb-19,,,,,
12 Anakie Road,Bell Park,4,1,3,651,0,"$370,000 ",7-Dec-19,,,,,
28 Anakie Road,Bell Park,3,1,1,605,0,"$458,000 ",26-Aug-20,,,,,
62 Anakie Road,Bell Park,3,1,2,653,0,"$405,000 ",12-Feb-20,,,,,
142 Anakie Road,Bell Park,3,2,1,552,0,"$515,000 ",23-Jul-20,,,,,
156 Anakie Road,Bell Park,3,1,1,557,0,"$450,000 ",21-Oct-19,,,,,
162 Anakie Road,Bell Park,3,1,2,554,0,"$437,500 ",11-Sep-19,,,,,
17 Ashleigh Crescent,Bell Park,4,2,3,674,0,"$620,000 ",10-Feb-20,,,,,
30 Ashleigh Crescent,Bell Park,3,1,2,534,0,"$490,000 ",24-Jul-19,,,,,
111 Ballarat Road,Bell Park,2,1,1,433,0,"$390,000 ",22-Apr-19,,,,,
123 Ballarat Road,Bell Park,2,1,1,423,0,"$430,000 ",11-May-20,,,,,
4 Banfield Street,Bell Park,3,1,1,630,117,"$445,000 ",19-Jul-19,,,,,
8 Banfield Street,Bell Park,4,4,2,630,0,"$652,000 ",21-Jun-19,,,,,
12 Banfield Street,Bell Park,3,1,2,630,0,"$495,000 ",21-Nov-19,,,,,
23 Banfield Street,Bell Park,3,2,0,666,0,"$500,000 ",4-Jun-20,,,,,
33 Barton Street,Bell Park,3,1,1,650,0,"$435,000 ",17-Apr-19,,,,,
26 Bellavista Road,Bell Park,2,1,2,332,0,"$445,000 ",13-Aug-20,,,,,
20 Bruce Street,Bell Park,3,1,1,676,13,"$480,000 ",29-May-20,,,,,
29 Bruce Street,Bell Park,4,1,0,676,0,"$450,000 ",1-Feb-20,,,,,
44 Bruce Street,Bell Park,4,1,5,650,0,"$510,000 ",23-Jan-19,,,,,
48 Bruce Street,Bell Park,3,1,2,342,0,"$471,500 ",13-Aug-19,,,,,
76 Bruce Street,Bell Park,3,0,0,153,0,"$489,000 ",4-Mar-20,,,,,
3 Castle Court,Bell Park,3,1,0,778,0,"$510,000 ",22-Aug-19,,,,,
9 Curtin Street,Bell Park,3,1,2,676,0,"$475,555 ",23-Aug-19,,,,,
18 Curtin Street,Bell Park,3,1,4,676,0,"$500,000 ",10-Aug-19,,,,,
1/42 Curtin Street,Bell Park,4,1,2,331,0,"$400,000 ",14-Aug-20,,,,,
44 Curtin Street,Bell Park,3,1,3,651,250.8382,"$415,000 ",25-Mar-19,,,,,
5 David Court,Bell Park,4,2,4,645,0,"$130,000 ",20-May-19,,,,,
21A Deakin Street,Bell Park,3,2,0,367,0,"$525,000 ",27-Feb-20,,,,,
26 Deakin Street,Bell Park,4,2,1,650,0,"$610,000 ",30-Apr-19,,,,,
31 Deakin Street,Bell Park,4,1,1,399,16,"$422,500 ",15-Oct-19,,,,,
35 Deakin Street,Bell Park,3,1,1,660,0,"$440,000 ",15-Jul-20,,,,,
51 Deakin Street,Bell Park,3,1,2,660,0,"$420,000 ",22-Mar-19,,,,,
52 Deakin Street,Bell Park,4,2,2,650,185.8061,"$435,000 ",24-Sep-19,,,,,
1-2 Dena Court,Bell Park,3,2,4,626,0,"$702,000 ",14-Dec-19,,,,,
7 Dural Court,Bell Park,3,1,2,751,0,"$487,500 ",4-May-19,,,,,
