address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
3 Aintree Road,Bell Post Hill,3,2,2,558,278.7091,"$592,000 ",3-Mar-20,,,,,
25 Aintree Road,Bell Post Hill,3,2,3,564,0,"$570,000 ",7-Sep-19,,,,,
151 Anakie Road,Bell Post Hill,2,2,2,641,0,"$590,000 ",11-Dec-19,,,,,
157 Anakie Road,Bell Post Hill,3,1,2,583,0,"$472,000 ",25-Jan-20,,,,,
167 Anakie Road,Bell Post Hill,4,1,2,563,0,"$440,000 ",26-Feb-19,,,,,
221 Anakie Road,Bell Post Hill,4,3,7,593,0,"$545,000 ",19-Jul-19,,,,,
3 Beauford Avenue,Bell Post Hill,3,1,3,557,20,"$520,000 ",21-Mar-20,,,,,
96-98 Beauford Avenue,Bell Post Hill,3,0,0,386,0,"$462,000 ",30-Nov-19,,,,,
1/17 Braund Avenue,Bell Post Hill,2,1,1,277,0,"$419,000 ",24-Apr-20,,,,,
42B Braund Avenue,Bell Post Hill,3,2,2,346,0,"$452,000 ",23-Jan-19,,,,,
53 Braund Avenue,Bell Post Hill,3,1,2,634,0,"$488,000 ",3-Apr-19,,,,,
10 Corinella Street,Bell Post Hill,3,1,2,648,0,"$545,000 ",17-Oct-19,,,,,
51 Corinella Street,Bell Post Hill,4,2,0,631,0,"$600,000 ",22-Jul-20,,,,,
56 Corinella Street,Bell Post Hill,3,1,1,631,5852.8915,"$475,000 ",8-Feb-19,,,,,
68 Corinella Street,Bell Post Hill,3,1,0,628,0,"$455,000 ",11-Sep-19,,,,,
72 Corinella Street,Bell Post Hill,4,2,4,624,0,"$580,000 ",12-Jul-19,,,,,
73 Corinella Street,Bell Post Hill,5,2,2,414,0,"$452,500 ",26-Sep-19,,,,,
78 Corinella Street,Bell Post Hill,3,2,3,627,0,"$480,000 ",29-Apr-19,,,,,
29 Dane Avenue,Bell Post Hill,3,2,2,716,0,"$900,000 ",1-Jul-20,,,,,
38 Dane Avenue,Bell Post Hill,4,3,4,791,0,"$855,000 ",16-May-20,,,,,
35 Darcy Crescent,Bell Post Hill,4,2,3,558,0,"$528,000 ",27-Jan-19,,,,,
10 Darriwill Street,Bell Post Hill,3,1,5,544,0,"$455,000 ",12-May-20,,,,,
21 Darriwill Street,Bell Post Hill,2,1,1,347,0,"$385,000 ",26-Aug-19,,,,,
24 Darriwill Street,Bell Post Hill,3,1,1,536,0,"$457,500 ",2-Sep-20,,,,,
