address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
5 Albert Terrace,Belmont,4,2,2,552,0,"$900,000 ",15-Oct-19,,,,,
18 Albert Terrace,Belmont,3,1,3,672,0,"$650,000 ",29-Nov-19,,,,,
11 Allitt Avenue,Belmont,3,0,0,613,0,"$510,000 ",29-Mar-20,,,,,
19 Allitt Avenue,Belmont,3,2,2,609,0,"$675,000 ",10-Oct-19,,,,,
15A Alsop Street,Belmont,3,2,2,421,0,"$700,000 ",26-Sep-19,,,,,
13 Amundsen Street,Belmont,4,2,5,982,0,"$825,000 ",16-Feb-19,,,,,
30 Amundsen Street,Belmont,3,2,3,840,0,"$790,000 ",26-Oct-19,,,,,
1 Apaloosa Court,Belmont,3,1,2,700,0,"$430,000 ",19-May-20,,,,,
23A Apex Avenue,Belmont,3,2,2,309,0,"$560,000 ",8-Oct-19,,,,,
24 Apex Avenue,Belmont,3,1,1,716,0,"$560,000 ",21-Aug-19,,,,,
28 Apex Avenue,Belmont,3,2,2,721,0,"$640,000 ",28-Aug-20,,,,,
37 Apex Avenue,Belmont,3,1,2,728,0,"$510,000 ",10-Jan-19,,,,,
65 Apex Avenue,Belmont,2,1,1,255,101,"$374,000 ",23-Apr-19,,,,,
74 Apex Avenue,Belmont,3,1,2,639,0,"$350,000 ",20-Feb-19,,,,,
77 Apex Avenue,Belmont,3,1,1,371,0,"$390,000 ",18-May-19,,,,,
87 Apex Avenue,Belmont,3,1,2,631,0,"$585,000 ",6-Apr-20,,,,,
98 Apex Avenue,Belmont,3,1,2,615,0,"$600,000 ",23-Aug-19,,,,,
100 Apex Avenue,Belmont,3,1,3,615,0,"$560,000 ",21-Dec-19,,,,,
9 Araluen Parade,Belmont,3,1,1,620,0,"$605,000 ",14-Oct-19,,,,,
4 Argyle Street,Belmont,3,2,2,367,0,"$785,000 ",29-Jul-19,,,,,
17 Argyle Street,Belmont,3,1,2,580,0,"$610,000 ",29-May-20,,,,,
8 Armitage Court,Belmont,3,2,1,711,0,"$565,000 ",5-Mar-20,,,,,
3 Autumn Street,Belmont,3,1,2,488,320,"$335,000 ",29-Aug-19,,,,,
11 Autumn Street,Belmont,3,2,1,488,0,"$525,000 ",19-Mar-20,,,,,
21 Autumn Street,Belmont,3,2,2,706,0,"$522,000 ",26-May-20,,,,,
34 Autumn Street,Belmont,3,1,2,604,0,"$415,000 ",20-Feb-19,,,,,
22 Bailey Street,Belmont,3,2,2,609,0,"$460,500 ",10-Oct-19,,,,,
23 Bailey Street,Belmont,3,1,1,558,0,"$561,000 ",29-Feb-20,,,,,
32A Bailey Street,Belmont,3,2,1,322,0,"$470,000 ",31-Mar-20,,,,,
35 Bailey Street,Belmont,3,2,2,756,0,"$610,000 ",3-Apr-19,,,,,
58 Bailey Street,Belmont,3,1,2,665,0,"$618,000 ",11-Mar-20,,,,,
9/61 Bailey Street,Belmont,3,2,1,302,0,"$450,000 ",19-May-20,,,,,
90 Bailey Street,Belmont,3,1,2,665,0,"$505,000 ",29-Feb-20,,,,,
3 Banks Court,Belmont,3,2,2,1631,0,"$835,000 ",4-May-19,,,,,
41 Barrabool Road,Belmont,3,1,1,649,0,"$695,000 ",19-Dec-19,,,,,
51A Barrabool Road,Belmont,3,2,0,336,0,"$650,000 ",5-Jul-19,,,,,
51B Barrabool Road,Belmont,3,3,1,315,0,"$640,000 ",24-Sep-19,,,,,
44 Barwon Heads Road,Belmont,3,1,2,1295,0,"$800,000 ",4-Apr-19,,,,,
6 Batman Close,Belmont,4,2,2,758,0,"$690,000 ",13-Apr-19,,,,,
1 Brahman Close,Belmont,3,2,1,675,106,"$442,500 ",12-Jun-19,,,,,
4 Brahman Close,Belmont,2,1,2,694,0,"$514,000 ",12-Oct-19,,,,,
8 Brocka Avenue,Belmont,4,1,2,596,0,"$651,000 ",13-Apr-19,,,,,
9 Brocka Avenue,Belmont,3,1,1,581,0,"$657,000 ",27-Jun-20,,,,,
12 Brocka Avenue,Belmont,4,1,3,635,0,"$697,000 ",14-Dec-19,,,,,
17 Brocka Avenue,Belmont,4,2,1,582,0,"$807,000 ",5-Aug-20,,,,,
11 Cambra Road,Belmont,3,1,2,604,0,"$580,000 ",25-Jul-19,,,,,
13 Cambra Road,Belmont,3,1,1,604,0,"$550,000 ",10-Nov-19,,,,,
14 Cambra Road,Belmont,4,1,1,604,0,"$525,000 ",5-Sep-19,,,,,
32 Cambra Road,Belmont,2,1,4,615,0,"$480,000 ",14-Oct-19,,,,,
40 Cambra Road,Belmont,3,1,2,561,119,"$450,000 ",28-Aug-19,,,,,
61 Cambra Road,Belmont,3,1,3,613,0,"$425,000 ",18-May-19,,,,,
68 Cambra Road,Belmont,3,2,4,303,189.81,"$622,000 ",20-Sep-19,,,,,
75 Cambra Road,Belmont,4,1,2,613,0,"$514,000 ",15-Oct-19,,,,,
77 Cambra Road,Belmont,3,1,2,613,0,"$490,000 ",22-Feb-19,,,,,
4 Cambridge Street,Belmont,2,2,2,596,0,"$615,000 ",30-Jul-20,,,,,
14 Cambridge Street,Belmont,3,1,1,596,0,"$580,000 ",6-Aug-20,,,,,
24 Cambridge Street,Belmont,3,1,1,596,0,"$610,000 ",4-Jul-20,,,,,
30 Cambridge Street,Belmont,3,1,2,702,0,"$669,000 ",31-Aug-20,,,,,
2 Charles Street,Belmont,3,1,1,544,0,"$462,000 ",17-Jan-19,,,,,
4 Charles Street,Belmont,0,1,1,522,0,"$560,000 ",22-Jul-20,,,,,
6 Charles Street,Belmont,3,1,1,536,0,"$400,000 ",23-Feb-19,,,,,
10 Cheryl Crescent,Belmont,4,2,0,532,0,"$520,000 ",14-Mar-20,,,,,
24 Cheryl Crescent,Belmont,3,1,1,597,0,"$365,000 ",14-Apr-19,,,,,
8 Church Street,Belmont,2,1,2,340,0,"$580,000 ",13-Jul-20,,,,,
9 Clarke Avenue,Belmont,4,2,4,716,0,"$747,500 ",28-Apr-19,,,,,
35 Clarke Avenue,Belmont,4,2,2,615,0,"$740,000 ",13-Aug-20,,,,,
48 Clarke Avenue,Belmont,4,3,2,650,0,"$858,000 ",22-Oct-19,,,,,
9 Clydesdale Crescent,Belmont,4,3,2,671,0,"$600,000 ",25-Jul-20,,,,,
31 Colac Grove,Belmont,3,2,2,661,0,"$575,500 ",14-Mar-20,,,,,
32 Colac Grove,Belmont,3,2,1,680,112,"$530,000 ",28-May-19,,,,,
34 Colac Grove,Belmont,3,1,1,679,0,"$562,000 ",23-Nov-19,,,,,
36 Colac Grove,Belmont,4,2,2,679,0,"$610,000 ",4-May-19,,,,,
6 Collins Street,Belmont,3,2,1,495,0,"$672,500 ",30-Oct-19,,,,,
24 Corio Street,Belmont,3,1,1,602,0,"$514,500 ",30-Nov-19,,,,,
1 Corriedale Court,Belmont,4,2,2,722,0,"$552,500 ",15-Feb-19,,,,,
33 Cranmere Avenue,Belmont,3,2,2,682,0,"$540,000 ",12-Aug-20,,,,,
2 Culbin Avenue,Belmont,4,1,2,724,0,"$760,000 ",27-Jun-19,,,,,
14 Culbin Avenue,Belmont,3,1,1,690,0,"$680,000 ",30-Aug-20,,,,,
13 Dargai Road,Belmont,3,1,2,363,0,"$505,000 ",22-Dec-19,,,,,
40 Davis Street,Belmont,2,1,1,650,0,"$425,000 ",25-May-19,,,,,
52 Davis Street,Belmont,3,1,1,650,0,"$505,000 ",28-Apr-20,,,,,
54 Davis Street,Belmont,3,1,1,650,0,"$440,000 ",15-May-19,,,,,
8 Digby Avenue,Belmont,5,2,2,740,0,"$700,000 ",13-Apr-19,,,,,
27 Digby Avenue,Belmont,4,2,1,716,0,"$695,000 ",15-Dec-19,,,,,
29 Digby Avenue,Belmont,3,1,1,717,0,"$500,000 ",22-Nov-19,,,,,
30 Digby Avenue,Belmont,3,1,2,664,0,"$508,000 ",8-Jun-19,,,,,
42B Digby Avenue,Belmont,3,2,1,254,0,"$625,000 ",10-Oct-19,,,,,
44 Digby Avenue,Belmont,3,1,2,663,0,"$605,000 ",11-May-20,,,,,
12 Dorothy Avenue,Belmont,3,1,3,703,0,"$500,000 ",6-Aug-19,,,,,
4 Dorr Court,Belmont,3,2,4,665,0,"$557,000 ",14-Jul-20,,,,,
21 Dudley Street,Belmont,3,2,1,702,0,"$549,000 ",26-Oct-19,,,,,
25 Dudley Street,Belmont,5,1,1,702,0,"$520,000 ",11-Sep-19,,,,,
28 Dudley Street,Belmont,2,1,4,658,0,"$515,000 ",14-Feb-20,,,,,
8 East View Parade,Belmont,3,1,3,901,0,"$770,000 ",20-Aug-20,,,,,
13 Eldridge Place,Belmont,6,2,4,646,0,"$475,000 ",6-Jun-19,,,,,
17 Eldridge Place,Belmont,3,2,3,647,0,"$525,000 ",22-Nov-19,,,,,
6 Elizabeth Street,Belmont,3,2,2,622,0,"$750,000 ",2-Dec-19,,,,,
1 Elsvern Avenue,Belmont,4,2,3,756,0,"$767,000 ",14-Mar-20,,,,,
1 Emerald Court,Belmont,3,1,2,606,0,"$484,000 ",13-Apr-19,,,,,
4 Emerald Court,Belmont,3,1,1,663,107.18,"$515,000 ",11-Feb-20,,,,,
2/9 Emerald Court,Belmont,2,1,1,969,0,"$482,000 ",31-Aug-20,,,,,
10 Emerald Court,Belmont,4,2,2,911,0,"$658,000 ",5-Aug-20,,,,,
6 Englewood Court,Belmont,3,1,2,550,0,"$470,000 ",26-Nov-19,,,,,
13 Eton Road,Belmont,4,2,2,583,0,"$675,000 ",30-Apr-19,,,,,
29 Evans Street,Belmont,3,1,4,1197,0,"$770,000 ",21-Jun-19,,,,,
30 Evans Street,Belmont,3,1,2,29,132,"$570,000 ",12-Sep-19,,,,,
30 Evans Street,Belmont,3,0,0,662,0,"$570,000 ",12-Sep-19,,,,,
32 Evans Street,Belmont,4,2,2,661,0,"$820,000 ",5-Oct-19,,,,,
1/1 Exeter Grove,Belmont,3,2,2,323,0,"$725,000 ",5-May-20,,,,,
16 Fairbrae Avenue,Belmont,4,2,2,715,0,"$730,000 ",17-Jun-20,,,,,
17 Fairbrae Avenue,Belmont,4,2,1,661,0,"$905,000 ",9-Oct-19,,,,,
43 Fairbrae Avenue,Belmont,3,1,2,845,0,"$710,000 ",11-Mar-20,,,,,
4 Fairfield Avenue,Belmont,3,1,1,650,0,"$500,000 ",14-Apr-20,,,,,
10 Fairfield Avenue,Belmont,3,1,2,564,0,"$500,000 ",12-Aug-20,,,,,
13 Fairfield Avenue,Belmont,4,1,2,536,0,"$410,000 ",31-May-19,,,,,
21 Fairfield Avenue,Belmont,4,1,3,917,0,"$557,500 ",18-Sep-19,,,,,
25 Fairview Street,Belmont,2,1,0,415,0,"$455,000 ",26-Feb-19,,,,,
9 Finchfield Lane,Belmont,3,2,0,650,0,"$570,000 ",27-Nov-19,,,,,
4 Findlay Grove,Belmont,3,1,2,875,0,"$762,000 ",25-May-19,,,,,
5 Findlay Grove,Belmont,4,1,2,948,0,"$755,500 ",16-Nov-19,,,,,
1B Fisher Avenue,Belmont,3,1,1,604,0,"$460,000 ",14-Jan-20,,,,,
27 Francis Street,Belmont,2,1,2,775,0,"$624,000 ",7-Dec-19,,,,,
40 Francis Street,Belmont,4,2,1,820,0,"$636,000 ",25-Oct-19,,,,,
43B Francis Street,Belmont,3,2,1,309,176.5158,"$535,000 ",3-Feb-19,,,,,
48 Francis Street,Belmont,4,1,1,393,128,"$529,000 ",29-Oct-19,,,,,
52 Francis Street,Belmont,3,0,0,427,0,"$410,000 ",21-Feb-19,,,,,
74 Francis Street,Belmont,3,2,1,481,0,"$630,000 ",16-Feb-19,,,,,
94 Francis Street,Belmont,4,2,2,660,0,"$480,000 ",6-Apr-19,,,,,
102 Francis Street,Belmont,4,2,1,658,0,"$515,000 ",11-Jul-19,,,,,
