address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
6 Cosgrove Street,Breakwater,3,1,0,833,0,"$430,000 ",20-May-20,,,,,
26 Cosgrove Street,Breakwater,3,1,1,771,0,"$445,000 ",25-Jun-20,,,,,
8 Fidge Crescent,Breakwater,3,1,2,558,0,"$410,000 ",18-Jul-19,,,,,
10 Fidge Crescent,Breakwater,3,1,2,544,0,"$382,000 ",21-Sep-19,,,,,
27 Fidge Crescent,Breakwater,3,1,2,588,0,"$392,000 ",22-Jul-19,,,,,
44 Fidge Crescent,Breakwater,3,1,3,557,557.4182,"$425,000 ",21-Sep-19,,,,,
64 Fidge Crescent,Breakwater,3,1,2,558,0,"$398,000 ",3-May-19,,,,,
25 Hitchcock Street,Breakwater,2,1,3,548,0,"$410,000 ",24-Aug-20,,,,,
29 Hitchcock Street,Breakwater,2,1,2,553,0,"$405,000 ",21-Jun-19,,,,,
33 Hitchcock Street,Breakwater,3,1,1,560,0,"$410,000 ",20-Nov-19,,,,,
50 Hitchcock Street,Breakwater,3,1,1,534,0,"$400,000 ",22-Nov-19,,,,,
1 Hodges Court,Breakwater,3,1,1,543,0,"$385,000 ",28-Sep-19,,,,,
6 Hodges Court,Breakwater,2,1,2,674,0,"$380,000 ",13-May-19,,,,,
16 Tanner Street,Breakwater,4,1,2,613,0,"$450,000 ",13-Apr-19,,,,,
25 Tanner Street,Breakwater,4,2,2,767,0,"$540,000 ",13-May-19,,,,,
29B Tanner Street,Breakwater,3,1,1,338,0,"$400,000 ",5-Jun-19,,,,,
14 Tucker Street,Breakwater,3,1,4,687,0,"$406,500 ",13-May-20,,,,,
25 Tucker Street,Breakwater,3,1,1,717,0,"$405,000 ",23-Oct-19,,,,,
49 Tucker Street,Breakwater,4,2,2,876,0,"$480,000 ",29-Mar-19,,,,,
52 Tucker Street,Breakwater,4,2,6,1980,0,"$830,000 ",27-May-19,,,,,
20 Young Street,Breakwater,3,1,2,591,0,"$387,000 ",25-May-20,,,,,
