address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
9 Abelia Street,Corio,3,1,2,700,0,"$425,000 ",24-Feb-20,,,,,
4 Agathea Close,Corio,4,2,2,612,0,"$465,000 ",8-Jan-19,,,,,
4 Amanda Avenue,Corio,3,1,1,608,0,"$303,000 ",26-Oct-19,,,,,
5 Amanda Avenue,Corio,3,2,2,613,0,"$445,000 ",8-Jan-20,,,,,
7 Amanda Avenue,Corio,3,2,6,613,0,"$455,000 ",1-Sep-20,,,,,
1 Appleton Road,Corio,3,1,2,697,0,"$430,000 ",22-Oct-19,,,,,
3 Atami Crescent,Corio,4,1,2,574,141,"$385,000 ",16-Aug-20,,,,,
13 Atami Crescent,Corio,3,1,1,557,0,"$350,000 ",13-Jun-19,,,,,
15 Atami Crescent,Corio,3,1,1,557,0,"$390,050 ",15-Nov-19,,,,,
16 Atami Crescent,Corio,3,1,2,637,0,"$379,000 ",5-Apr-19,,,,,
21 Atami Crescent,Corio,3,1,3,557,0,"$350,000 ",19-Jun-19,,,,,
3 Ayr Court,Corio,3,1,2,877,0,"$420,000 ",13-May-19,,,,,
12 Bacchus Marsh Road,Corio,3,1,1,697,0,"$325,000 ",20-Jul-19,,,,,
14 Bacchus Marsh Road,Corio,3,1,3,697,92,"$310,000 ",15-May-19,,,,,
56 Bacchus Marsh Road,Corio,3,1,3,312,0,"$325,000 ",31-Oct-19,,,,,
98 Bacchus Marsh Road,Corio,3,2,1,719,0,"$430,000 ",13-Nov-19,,,,,
167 Bacchus Marsh Road,Corio,3,1,4,1371,167.2255,"$630,000 ",14-Jul-20,,,,,
174 Bacchus Marsh Road,Corio,2,1,2,630,0,"$350,000 ",12-Feb-20,,,,,
196 Bacchus Marsh Road,Corio,3,1,3,778,0,"$385,000 ",2-Apr-19,,,,,
204 Bacchus Marsh Road,Corio,3,1,3,591,0,"$370,000 ",9-Oct-19,,,,,
16 Banksia Square,Corio,3,1,2,537,0,"$343,000 ",29-Apr-20,,,,,
4 Beech Court,Corio,4,1,1,804,0,"$343,000 ",11-Jun-20,,,,,
10 Beech Court,Corio,3,1,2,606,0,"$318,000 ",28-Jul-20,,,,,
3 Bluegum Court,Corio,3,1,1,532,0,"$351,500 ",25-Oct-19,,,,,
4 Bogong Street,Corio,3,1,1,558,0,"$320,000 ",10-Jul-19,,,,,
17 Bottlebrush Court,Corio,3,1,2,582,0,"$450,000 ",8-Jan-19,,,,,
13 Brodribb Court,Corio,3,1,1,642,0,"$350,000 ",9-Aug-19,,,,,
2 Browallia Drive,Corio,4,2,2,563,20,"$470,000 ",19-Aug-19,,,,,
3 Browallia Drive,Corio,3,2,2,608,0,"$438,000 ",17-Feb-19,,,,,
6 Browallia Drive,Corio,2,1,1,306,0,"$385,000 ",5-Mar-19,,,,,
14 Browallia Drive,Corio,3,2,2,402,0,"$410,000 ",7-Jun-19,,,,,
38-40 Browallia Drive,Corio,4,2,2,695,0,"$560,000 ",20-Jun-19,,,,,
43 Browallia Drive,Corio,4,2,2,654,0,"$525,000 ",14-Mar-20,,,,,
11 Browning Drive,Corio,3,1,2,544,0,"$300,000 ",4-Oct-19,,,,,
17 Browning Drive,Corio,4,2,4,619,0,"$448,000 ",12-Feb-20,,,,,
24 Browning Drive,Corio,3,2,2,566,0,"$390,000 ",17-Jul-20,,,,,
9 Buangor Street,Corio,3,1,2,618,0,"$355,000 ",21-Jan-19,,,,,
22 Buangor Street,Corio,3,1,2,629,0,"$326,000 ",10-Aug-19,,,,,
