address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
38 Anderson Street,East Geelong,3,2,1,419,0,"$720,000 ",2-Mar-19,,,,,
48 Anderson Street,East Geelong,2,1,2,419,0,"$515,000 ",16-Mar-19,,,,,
50 Anderson Street,East Geelong,3,2,1,419,86.66,"$615,000 ",26-Feb-19,,,,,
4 Bendle Street,East Geelong,3,2,2,672,0,"$740,000 ",6-Aug-20,,,,,
7 Bendle Street,East Geelong,2,1,2,592,0,"$476,500 ",25-Jan-19,,,,,
12 Bendle Street,East Geelong,3,1,2,997,0,"$575,000 ",11-May-19,,,,,
5 Boyne Avenue,East Geelong,2,2,2,434,0,"$745,000 ",20-Aug-20,,,,,
109 Carr Street,East Geelong,3,2,2,576,0,"$517,500 ",21-Apr-19,,,,,
3 Connor Street,East Geelong,3,1,4,864,0,"$1,051,520 ",29-Feb-20,,,,,
5 Connor Street,East Geelong,2,3,3,432,0,"$896,000 ",7-Mar-20,,,,,
8 Darling Street,East Geelong,2,1,1,279,0,"$565,000 ",19-Mar-19,,,,,
2 Davey Street,East Geelong,2,1,1,276,0,"$410,000 ",14-Sep-19,,,,,
8 Denman Street,East Geelong,3,2,3,700,0,"$955,000 ",21-Mar-19,,,,,
22 Denman Street,East Geelong,4,2,2,700,0,"$770,000 ",5-Jun-19,,,,,
3 Frederick Street,East Geelong,3,1,1,711,0,"$830,000 ",24-Nov-19,,,,,
99 Garden Street,East Geelong,2,1,2,377,0,"$670,000 ",28-Feb-20,,,,,
159 Garden Street,East Geelong,2,1,0,637,0,"$600,000 ",27-Mar-19,,,,,
201 Garden Street,East Geelong,3,1,2,598,0,"$650,000 ",23-Jul-19,,,,,
203 Garden Street,East Geelong,2,1,2,668,0,"$620,000 ",3-Oct-19,,,,,
50 Grey Street,East Geelong,3,1,1,337,0,"$560,000 ",27-Apr-19,,,,,
