address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
6 Aberdeen Street,Geelong West,1,12,8,542,0,"$1,000,000 ",9-Feb-19,,,,,
112 Aberdeen Street,Geelong West,5,2,3,708,0,"$995,000 ",6-May-20,,,,,
136 Aberdeen Street,Geelong West,3,1,2,479,0,"$770,000 ",13-Mar-20,,,,,
7 Addis Street,Geelong West,2,1,1,671,0,"$667,000 ",31-Aug-19,,,,,
14 Addis Street,Geelong West,3,1,1,715,0,"$780,000 ",18-Feb-20,,,,,
40-42 Albert Street,Geelong West,5,2,2,875,0,"$1,160,000 ",13-May-19,,,,,
50 Albert Street,Geelong West,3,2,6,560,0,"$922,000 ",10-Mar-20,,,,,
51 Albert Street,Geelong West,2,1,1,314,0,"$625,000 ",15-Aug-20,,,,,
59 Albert Street,Geelong West,4,2,2,653,0,"$1,200,000 ",18-Oct-19,,,,,
80 Albert Street,Geelong West,4,3,2,405,0,"$1,200,000 ",14-Jan-19,,,,,
102 Albert Street,Geelong West,4,1,1,538,0,"$815,000 ",17-Aug-19,,,,,
3 Anglesea Terrace,Geelong West,2,1,1,323,0,"$520,000 ",26-Oct-19,,,,,
23 Anglesea Terrace,Geelong West,3,1,1,571,0,"$707,000 ",1-Sep-20,,,,,
35 Ann Street,Geelong West,3,2,2,577,0,"$845,000 ",25-May-19,,,,,
3 Arnott Street,Geelong West,3,1,2,530,0,"$1,110,000 ",22-Feb-20,,,,,
1/50 Autumn Street,Geelong West,2,1,1,168,0,"$570,000 ",5-Apr-19,,,,,
103 Autumn Street,Geelong West,4,2,2,385,0,"$740,000 ",27-Feb-19,,,,,
116-118 Autumn Street,Geelong West,3,3,3,519,0,"$1,300,000 ",14-Jan-20,,,,,
142 Autumn Street,Geelong West,4,1,2,515,0,"$955,000 ",2-Jun-20,,,,,
158 Autumn Street,Geelong West,3,1,1,371,0,"$565,000 ",25-May-19,,,,,
160 Autumn Street,Geelong West,3,1,1,392,0,"$585,000 ",19-Sep-19,,,,,
165 Autumn Street,Geelong West,4,1,1,400,0,"$690,000 ",20-Dec-19,,,,,
176 Autumn Street,Geelong West,4,2,1,678,0,"$1,450,000 ",3-Apr-19,,,,,
180 Autumn Street,Geelong West,4,2,0,841,0,"$995,000 ",27-Jun-20,,,,,
16 Avon Street,Geelong West,2,1,0,363,0,"$516,500 ",14-May-20,,,,,
30 Avon Street,Geelong West,3,1,1,362,0,"$650,000 ",17-Jan-20,,,,,
36 Avon Street,Geelong West,3,1,1,359,0,"$740,000 ",13-Sep-19,,,,,
40 Avon Street,Geelong West,3,2,2,467,0,"$1,000,000 ",23-Jun-20,,,,,
8B Britannia Street,Geelong West,4,2,2,317,0,"$790,000 ",5-Aug-20,,,,,
16 Britannia Street,Geelong West,4,3,5,903,0,"$1,047,500 ",19-Jun-19,,,,,
36 Britannia Street,Geelong West,3,1,1,526,0,"$655,000 ",29-Feb-20,,,,,
74 Britannia Street,Geelong West,4,1,2,722,0,"$686,000 ",20-Sep-19,,,,,
93 Britannia Street,Geelong West,3,3,2,410,0,"$676,000 ",13-Apr-19,,,,,
20 Candover Street,Geelong West,5,3,2,447,0,"$790,000 ",12-Apr-19,,,,,
21 Candover Street,Geelong West,3,1,2,549,0,"$767,500 ",20-Jun-20,,,,,
28 Candover Street,Geelong West,3,2,2,446,0,"$1,255,000 ",14-Dec-19,,,,,
30 Candover Street,Geelong West,3,2,2,433,0,"$1,070,000 ",6-May-20,,,,,
39 Candover Street,Geelong West,4,2,2,899,0,"$1,795,000 ",4-Jul-19,,,,,
15 Catherine Street,Geelong West,2,1,0,274,0,"$585,000 ",9-Aug-19,,,,,
21A Catherine Street,Geelong West,2,1,1,256,0,"$505,000 ",10-Oct-19,,,,,
31 Catherine Street,Geelong West,3,1,1,334,0,"$720,000 ",28-Aug-20,,,,,
38 Catherine Street,Geelong West,3,2,1,284,0,"$850,000 ",11-May-20,,,,,
44 Catherine Street,Geelong West,2,1,1,287,0,"$600,000 ",5-Aug-20,,,,,
17 Church Street,Geelong West,2,1,1,226,0,"$720,000 ",30-Mar-20,,,,,
97 Church Street,Geelong West,3,1,1,454,0,"$590,000 ",19-Jun-19,,,,,
121 Church Street,Geelong West,3,1,1,527,0,"$632,000 ",10-Dec-19,,,,,
26 Clarence Street,Geelong West,4,1,1,735,0,"$970,000 ",2-Mar-19,,,,,
34 Clarence Street,Geelong West,2,2,0,430,0,"$1,425,000 ",10-Dec-19,,,,,
66 Clarence Street,Geelong West,4,2,0,560,0,"$850,000 ",29-May-20,,,,,
84 Clarence Street,Geelong West,4,3,0,728,0,"$1,490,000 ",9-Aug-19,,,,,
102 Clarence Street,Geelong West,4,2,2,651,0,"$1,115,000 ",22-Feb-20,,,,,
27 Clonard Avenue,Geelong West,3,1,1,532,0,"$300,000 ",20-Dec-19,,,,,
45 Clonard Avenue,Geelong West,3,1,2,585,0,"$690,000 ",18-May-20,,,,,
