address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
21 Alexandra Avenue,Geelong,3,2,1,460,0,"$775,000 ",29-Jul-19,,,,,
2/2 Bayley Street,Geelong,2,1,1,316,0,"$550,000 ",3-Mar-20,,,,,
2/2 Bayley Street,Geelong,4,0,0,133,0,"$1,000,000 ",4-Mar-20,,,,,
3/2 Bayley Street,Geelong,4,1,2,133,0,"$1,000,000 ",4-Mar-20,,,,,
4/2 Bayley Street,Geelong,4,1,2,133,0,"$1,000,000 ",4-Mar-20,,,,,
223 Bellerine Street,Geelong,3,1,0,239,0,"$701,500 ",17-Aug-19,,,,,
38 Bourke Crescent,Geelong,3,1,1,192,0,"$485,000 ",29-Jun-19,,,,,
4 Brownbill Street,Geelong,3,1,1,372,0,"$620,000 ",1-Feb-20,,,,,
10 Carmans Lane,Geelong,4,2,2,750,0,"$915,000 ",15-Jan-20,,,,,
4 Colac Place,Geelong,2,1,0,365,0,"$395,000 ",17-May-19,,,,,
4 Colac Place,Geelong,2,0,0,123,0,"$395,000 ",17-May-19,,,,,
13 England Street,Geelong,3,2,1,120,0,"$1,100,000 ",3-Jun-19,,,,,
17 England Street,Geelong,3,2,1,172,0,"$1,345,000 ",9-Feb-19,,,,,
49 Fitzroy Street,Geelong,4,2,2,406,0,"$1,582,500 ",14-Dec-19,,,,,
50 Fitzroy Street,Geelong,4,1,2,348,0,"$765,000 ",31-May-19,,,,,
68 Fitzroy Street,Geelong,3,1,2,480,0,"$665,000 ",9-Jul-19,,,,,
71 Fitzroy Street,Geelong,4,2,2,538,0,"$1,050,000 ",4-May-20,,,,,
10 Garden Street,Geelong,3,2,2,297,0,"$1,875,000 ",17-Sep-19,,,,,
150 Garden Street,Geelong,2,1,1,78,78,"$315,000 ",11-Jun-20,,,,,
158 Garden Street,Geelong,4,2,6,708,0,"$1,240,000 ",19-Aug-20,,,,,
9 Hamblings Lane,Geelong,3,2,2,207,0,"$780,000 ",12-Aug-19,,,,,
6 Heaths Lane,Geelong,1,1,1,65,0,"$525,000 ",10-Jul-19,,,,,
38 Henry Street,Geelong,3,1,2,426,0,"$800,000 ",12-Oct-19,,,,,
2 Hope Street,Geelong,3,2,2,219,0,"$680,000 ",8-Feb-19,,,,,
6 Hope Street,Geelong,2,2,2,187,0,"$690,000 ",22-Feb-20,,,,,
80 Keera Street,Geelong,3,2,2,696,124,"$640,000 ",26-Oct-19,,,,,
49 Kilgour Street,Geelong,4,2,2,309,0,"$750,000 ",19-Jun-20,,,,,
158 Kilgour Street,Geelong,3,2,1,551,0,"$885,000 ",25-Jul-20,,,,,
163 Kilgour Street,Geelong,4,1,2,468,0,"$905,000 ",9-Jun-20,,,,,
230 Kilgour Street,Geelong,3,2,1,367,0,"$840,000 ",14-Dec-19,,,,,
5 Little Kilgour Street,Geelong,2,1,1,306,0,"$537,000 ",26-Oct-19,,,,,
217 Little Malop Street,Geelong,2,1,2,76,0,"$847,000 ",24-Aug-19,,,,,
219 Little Malop Street,Geelong,1,1,0,259,0,"$586,000 ",16-Oct-19,,,,,
79 Little Myers Street,Geelong,3,1,1,163,0,"$625,000 ",18-Aug-19,,,,,
45 Lonsdale Street,Geelong,3,2,2,264,0,"$720,000 ",5-Aug-19,,,,,
5/250 Malop Street,Geelong,3,1,2,307,148.6449,"$749,000 ",11-Feb-19,,,,,
2-4 Maud Street,Geelong,2,1,0,290,0,"$595,000 ",14-Jun-20,,,,,
59 Maud Street,Geelong,5,2,2,724,0,"$1,555,000 ",5-Apr-19,,,,,
14 McKillop Street,Geelong,3,1,4,593,0,"$700,000 ",1-Jul-19,,,,,
22 McKillop Street,Geelong,3,1,2,352,0,"$570,000 ",9-Nov-19,,,,,
70 McKillop Street,Geelong,5,2,4,724,0,"$900,000 ",18-Apr-19,,,,,
77 McKillop Street,Geelong,3,0,0,1061,0,"$950,000 ",11-Feb-20,,,,,
81 McKillop Street,Geelong,2,1,2,532,0,"$740,000 ",12-Oct-19,,,,,
31 Mundy Street,Geelong,3,1,1,459,0,"$750,000 ",1-Sep-20,,,,,
49 Mundy Street,Geelong,3,1,0,312,0,"$750,000 ",27-Jan-20,,,,,
9 Pevensey Crescent,Geelong,8,4,0,1217,0,"$2,600,000 ",28-Oct-19,,,,,
4 Richmond Crescent,Geelong,4,2,3,642,0,"$840,000 ",2-Mar-19,,,,,
2 Richmond Street,Geelong,3,1,1,539,0,"$658,000 ",5-Oct-19,,,,,
