address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
1 Abbey Court,Grovedale,3,2,1,400,97,"$392,000 ",20-Oct-19,,,,,
21 Ainslie Avenue,Grovedale,3,2,3,625,0,"$470,000 ",2-Mar-19,,,,,
27 Ainslie Avenue,Grovedale,3,2,2,674,0,"$535,500 ",4-Oct-19,,,,,
21 Alan Street,Grovedale,4,2,2,503,0,"$635,000 ",28-Sep-19,,,,,
27 Alan Street,Grovedale,3,2,2,571,0,"$510,000 ",19-Oct-19,,,,,
1 Allambee Avenue,Grovedale,3,1,1,613,0,"$522,500 ",10-Jan-20,,,,,
8 Allambee Avenue,Grovedale,5,2,6,668,0,"$627,500 ",14-Dec-19,,,,,
30 Allambee Avenue,Grovedale,4,2,2,756,0,"$575,000 ",18-Aug-19,,,,,
17 Amarina Crescent,Grovedale,3,0,0,531,0,"$600,000 ",22-May-19,,,,,
45 Amarina Crescent,Grovedale,4,3,2,786,248,"$740,000 ",13-Dec-19,,,,,
13-14 Annies Lane,Grovedale,4,2,2,518,18,"$560,000 ",24-Jan-20,,,,,
19 Babra Court,Grovedale,4,1,2,354,0,"$460,000 ",11-Dec-19,,,,,
173 Bailey Street,Grovedale,5,2,2,789,244,"$650,000 ",8-Oct-19,,,,,
178 Bailey Street,Grovedale,3,2,1,412,0,"$437,000 ",7-Aug-19,,,,,
188 Bailey Street,Grovedale,4,2,4,617,0,"$615,000 ",13-Nov-19,,,,,
194 Bailey Street,Grovedale,3,1,2,665,0,"$565,000 ",25-Feb-20,,,,,
4/199-201 Bailey Street,Grovedale,2,1,1,207,0,"$387,500 ",12-Jul-19,,,,,
230 Bailey Street,Grovedale,3,1,1,306,0,"$435,000 ",22-Jul-19,,,,,
11 Balblair Drive,Grovedale,4,2,2,667,0,"$605,000 ",19-Nov-19,,,,,
7 Bambra Court,Grovedale,3,2,1,596,0,"$456,000 ",7-Apr-20,,,,,
10 Banksia Place,Grovedale,3,2,2,650,0,"$490,000 ",6-Jul-19,,,,,
29 Banksia Place,Grovedale,4,2,3,738,0,"$630,000 ",11-Nov-19,,,,,
5 Barry Court,Grovedale,3,2,2,511,0,"$540,000 ",1-Aug-20,,,,,
