address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
16 Acacia Street,Hamlyn Heights,4,1,2,707,0,"$515,000 ",7-Feb-19,,,,,
1/4 Arthur Street,Hamlyn Heights,3,2,2,645,0,"$737,000 ",10-Jun-20,,,,,
9 Arthur Street,Hamlyn Heights,3,2,2,613,215.49,"$915,000 ",30-Oct-19,,,,,
15 Arthur Street,Hamlyn Heights,3,1,2,674,0,"$535,000 ",7-Dec-19,,,,,
74 Ballarat Road,Hamlyn Heights,3,1,2,632,0,"$467,500 ",12-Aug-19,,,,,
126 Ballarat Road,Hamlyn Heights,2,1,1,543,0,"$420,000 ",29-Apr-19,,,,,
130 Ballarat Road,Hamlyn Heights,2,1,2,549,0,"$420,000 ",5-Dec-19,,,,,
160 Ballarat Road,Hamlyn Heights,4,1,5,725,0,"$570,000 ",11-Feb-20,,,,,
170 Ballarat Road,Hamlyn Heights,3,2,2,664,0,"$600,000 ",15-Nov-19,,,,,
3 Barker Court,Hamlyn Heights,4,2,3,700,0,"$635,000 ",27-Apr-19,,,,,
13C Bayview Parade,Hamlyn Heights,3,2,1,860,0,"$465,000 ",6-Oct-19,,,,,
17 Bayview Parade,Hamlyn Heights,0,0,1,674,0,"$435,000 ",7-Jan-19,,,,,
24B Bayview Parade,Hamlyn Heights,3,3,1,337,0,"$490,000 ",16-May-19,,,,,
25 Bayview Parade,Hamlyn Heights,3,1,2,674,0,"$580,000 ",18-Jun-19,,,,,
9 Belcher Street,Hamlyn Heights,3,1,4,764,0,"$497,500 ",15-Feb-19,,,,,
11 Belcher Street,Hamlyn Heights,3,1,1,760,0,"$545,000 ",9-Aug-19,,,,,
13 Belcher Street,Hamlyn Heights,6,2,1,764,0,"$562,000 ",25-Feb-20,,,,,
17 Belcher Street,Hamlyn Heights,3,1,1,764,0,"$535,000 ",13-Aug-19,,,,,
27 Beulah Street,Hamlyn Heights,3,1,2,707,0,"$530,000 ",14-Jan-19,,,,,
32 Beulah Street,Hamlyn Heights,3,1,2,573,209,"$565,000 ",25-Jun-20,,,,,
14 Calvert Street,Hamlyn Heights,5,2,4,809,0,"$700,000 ",16-Nov-19,,,,,
27 Calvert Street,Hamlyn Heights,2,1,1,791,0,"$460,000 ",20-Jul-19,,,,,
75 Calvert Street,Hamlyn Heights,3,1,4,553,118,"$457,000 ",15-Jun-19,,,,,
5 Chaucer Street,Hamlyn Heights,3,2,1,587,0,"$757,500 ",28-Jan-20,,,,,
41 Chaucer Street,Hamlyn Heights,3,0,0,552,0,"$520,100 ",8-Mar-20,,,,,
2 Chisholm Court,Hamlyn Heights,4,2,2,784,0,"$650,000 ",14-Sep-19,,,,,
124 Church Street,Hamlyn Heights,3,2,2,465,0,"$950,000 ",29-Mar-19,,,,,
134 Church Street,Hamlyn Heights,4,3,2,650,0,"$745,000 ",15-Jun-20,,,,,
272 Church Street,Hamlyn Heights,3,1,1,705,0,"$502,500 ",24-Jun-20,,,,,
294 Church Street,Hamlyn Heights,3,1,2,422,0,"$436,000 ",11-Jul-19,,,,,
302 Church Street,Hamlyn Heights,3,2,5,731,0,"$505,000 ",6-Sep-19,,,,,
310 Church Street,Hamlyn Heights,3,1,3,731,0,"$550,000 ",26-Jul-19,,,,,
312 Church Street,Hamlyn Heights,3,1,1,503,0,"$570,000 ",11-Mar-19,,,,,
334 Church Street,Hamlyn Heights,3,1,2,1492,0,"$950,000 ",31-May-19,,,,,
3 Clova Avenue,Hamlyn Heights,4,2,4,700,0,"$725,000 ",6-May-20,,,,,
6 Clova Avenue,Hamlyn Heights,4,2,2,702,0,"$785,000 ",21-Jan-20,,,,,
10 Clova Avenue,Hamlyn Heights,5,2,3,1135,0,"$990,000 ",17-Jan-20,,,,,
5 Downie Crescent,Hamlyn Heights,3,2,2,697,0,"$495,000 ",15-Jun-19,,,,,
16 Drysdale Avenue,Hamlyn Heights,4,2,4,623,0,"$590,000 ",19-Sep-19,,,,,
37 Drysdale Avenue,Hamlyn Heights,3,1,2,613,0,"$660,000 ",10-Aug-19,,,,,
40 Drysdale Avenue,Hamlyn Heights,3,1,2,623,0,"$580,000 ",25-Nov-19,,,,,
10 Ebden Street,Hamlyn Heights,3,1,2,551,0,"$475,000 ",19-Nov-19,,,,,
1 Edgecombe Street,Hamlyn Heights,4,2,2,940,0,"$642,000 ",29-Jun-19,,,,,
11 Edgecombe Street,Hamlyn Heights,3,1,1,664,0,"$600,000 ",25-May-19,,,,,
14 Fairlie Street,Hamlyn Heights,3,1,1,378,0,"$409,000 ",26-Jun-20,,,,,
42 Forfar Road,Hamlyn Heights,2,1,1,690,0,"$558,000 ",12-Mar-19,,,,,
15 Gladstone Street,Hamlyn Heights,3,1,3,1177,0,"$640,000 ",18-Jan-19,,,,,
