address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
5 Ashbourne Street,House,3,1,5,672,0,"$400,000 ",25-Nov-19,,,,,
7 Ashbourne Street,House,3,1,1,672,0,"$445,000 ",16-Nov-19,,,,,
19 Ashbourne Street,House,4,2,3,731,0,"$640,000 ",22-Feb-20,,,,,
21 Ashbourne Street,House,3,1,1,731,0,"$631,000 ",4-Jul-20,,,,,
23 Ashbourne Street,House,3,1,1,718,0,"$600,000 ",22-May-19,,,,,
34-36 Ashbourne Street,House,3,1,2,620,0,"$520,000 ",18-Mar-19,,,,,
316 Autumn Street,House,3,1,1,714,0,"$700,000 ",14-Dec-19,,,,,
324 Autumn Street,House,4,2,2,714,0,"$1,305,000 ",18-Oct-19,,,,,
356 Autumn Street,House,3,1,1,445,0,"$485,000 ",16-Dec-19,,,,,
360 Autumn Street,House,4,2,2,1348,0,"$750,000 ",15-Aug-19,,,,,
2C Azilemot Avenue,House,2,2,2,688,0,"$100,000 ",28-Jul-19,,,,,
5 Bakewell Street,House,3,1,1,609,0,"$715,000 ",19-Jun-20,,,,,
21 Bakewell Street,House,3,1,1,731,0,"$520,000 ",6-Nov-19,,,,,
31 Bakewell Street,House,3,2,2,556,0,"$608,000 ",16-Mar-19,,,,,
7 Beckley Street,House,3,1,2,589,0,"$555,000 ",21-Sep-19,,,,,
6 Bonview Avenue,House,3,2,4,720,0,"$540,000 ",28-Jan-19,,,,,
9 Bonview Avenue,House,4,2,3,725,0,"$760,000 ",30-Jul-20,,,,,
17 Castleton Road,House,3,2,2,606,0,"$665,000 ",3-May-19,,,,,
23 Castleton Road,House,4,2,2,606,0,"$515,000 ",27-Apr-19,,,,,
26 Castleton Road,House,4,2,5,697,0,"$605,000 ",10-Dec-19,,,,,
251 Church Street,House,3,1,2,579,0,"$520,000 ",13-Dec-19,,,,,
299 Church Street,House,0,2,1,664,0,"$618,000 ",13-Apr-19,,,,,
5 Cole Street,House,3,1,1,352,0,"$485,000 ",22-Jul-19,,,,,
28 Cole Street,House,3,2,2,305,0,"$530,000 ",20-Jul-20,,,,,
1C Colville Court,House,4,1,1,558,0,"$495,000 ",6-May-19,,,,,
7 Derby Road,House,3,2,5,530,0,"$530,000 ",1-Oct-19,,,,,
13 Derby Road,House,3,1,4,618,0,"$465,000 ",21-Mar-20,,,,,
15 Derby Road,House,3,1,2,602,0,"$455,000 ",6-Apr-19,,,,,
35 Douglass Street,House,3,1,1,600,0,"$510,000 ",2-Mar-19,,,,,
14 Dundas Street,House,2,2,1,529,0,"$380,000 ",26-Aug-19,,,,,
12 Edinburgh Avenue,House,3,1,2,581,0,"$645,000 ",22-May-20,,,,,
6 Everett Close,House,4,0,0,675,0,"$635,000 ",30-Mar-20,,,,,
37 Finchaven Street,House,3,1,2,689,0,"$643,000 ",30-Jul-19,,,,,
11 Graylea Avenue,House,4,2,2,628,0,"$565,000 ",11-Feb-20,,,,,
19 Graylea Avenue,House,3,0,0,380,0,"$412,000 ",24-Dec-19,,,,,
37 Graylea Avenue,House,3,1,2,628,0,"$560,000 ",5-Feb-20,,,,,
64 Graylea Avenue,House,4,2,1,582,0,"$636,000 ",16-Nov-19,,,,,
