address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
1 Adelaide Street,Highton,3,1,4,712,0,"$526,000 ",14-Sep-19,,,,,
2 Adelaide Street,Highton,3,1,3,836,0,"$620,000 ",9-Mar-19,,,,,
14 Adelaide Street,Highton,3,1,2,738,0,"$523,000 ",13-Jul-19,,,,,
15 Adelaide Street,Highton,4,2,3,669,0,"$635,000 ",4-May-19,,,,,
20 Aitkenside Avenue,Highton,4,2,2,636,0,"$690,000 ",7-Oct-19,,,,,
21 Aitkenside Avenue,Highton,4,2,2,586,0,"$657,000 ",14-Nov-19,,,,,
16 Amberley Court,Highton,4,2,6,1003,0,"$910,000 ",21-Aug-20,,,,,
18 Aringa Avenue,Highton,3,2,2,632,0,"$652,000 ",11-Jul-20,,,,,
5 Arkana Avenue,Highton,5,2,1,1117,0,"$725,000 ",14-May-19,,,,,
6 Arkana Avenue,Highton,3,2,1,461,0,"$700,000 ",26-May-19,,,,,
20 Arkana Avenue,Highton,3,1,2,761,0,"$610,000 ",30-Nov-19,,,,,
23 Arkana Avenue,Highton,3,1,1,615,0,"$588,000 ",26-Oct-19,,,,,
6 Attunga Court,Highton,4,3,2,784,0,"$970,000 ",17-Mar-20,,,,,
32 Augustine Drive,Highton,4,2,2,822,0,"$650,000 ",18-May-19,,,,,
70 Augustine Drive,Highton,4,2,2,704,0,"$722,500 ",7-Jul-20,,,,,
71 Augustine Drive,Highton,4,2,2,700,0,"$685,000 ",23-Oct-19,,,,,
12 Avondale Avenue,Highton,4,2,2,620,0,"$735,000 ",6-Aug-20,,,,,
1 Badenoch Court,Highton,4,2,2,789,0,"$820,000 ",8-Nov-19,,,,,
2 Badenoch Court,Highton,3,2,2,666,0,"$782,000 ",9-Nov-19,,,,,
5 Badenoch Court,Highton,4,2,4,853,33,"$880,000 ",16-Dec-19,,,,,
34 Barrabool Road,Highton,3,1,1,994,0,"$840,000 ",26-Mar-19,,,,,
179B Barrabool Road,Highton,3,2,1,370,0,"$600,000 ",9-Sep-19,,,,,
14 Barwon Boulevard,Highton,3,2,2,750,0,"$865,000 ",15-Mar-19,,,,,
