address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
3 Abbey Drive,Lara,3,2,0,649,0,"$450,000 ",3-Dec-19,,,,,
6 Alfred Street,Lara,3,2,2,308,0,"$435,000 ",15-Aug-19,,,,,
7 Allister Court,Lara,1,1,1,618,116,"$500,000 ",4-Mar-20,,,,,
3 Altair Avenue,Lara,3,2,2,586,0,"$420,000 ",18-Mar-19,,,,,
22 Altair Avenue,Lara,3,2,2,586,0,"$490,000 ",17-Sep-19,,,,,
30A Altair Avenue,Lara,3,2,2,337,0,"$410,000 ",13-Jun-19,,,,,
3 Anna Court,Lara,4,2,3,719,0,"$490,000 ",27-Nov-19,,,,,
16 Archimedes Avenue,Lara,4,2,2,650,0,"$465,000 ",24-Jun-20,,,,,
7 Azalea Street,Lara,4,2,2,562,0,"$577,500 ",25-Jun-20,,,,,
650 Bacchus Marsh Road,Lara,0,0,0,20234,0,"$930,000 ",22-Aug-19,,,,,
5 Balagundi Drive,Lara,4,2,2,586,0,"$545,000 ",14-May-20,,,,,
15 Balagundi Drive,Lara,4,2,2,600,0,"$540,000 ",19-Mar-19,,,,,
31 Balagundi Drive,Lara,4,2,2,720,0,"$545,000 ",3-Dec-19,,,,,
26 Bank Street,Lara,3,1,2,768,0,"$450,000 ",13-Nov-19,,,,,
6 Barley Close,Lara,3,1,2,295,0,"$415,000 ",7-Oct-19,,,,,
14 Barnong Way,Lara,3,2,2,603,0,"$535,000 ",30-Mar-19,,,,,
18 Barnong Way,Lara,3,2,2,522,28,"$530,000 ",15-May-19,,,,,
25 Barnong Way,Lara,3,2,2,587,184,"$570,000 ",10-Apr-20,,,,,
50 Bates Road,Lara,3,2,4,661,0,"$542,000 ",8-Feb-19,,,,,
52 Bates Road,Lara,3,2,2,661,0,"$550,000 ",3-Feb-20,,,,,
6 Bath Street,Lara,4,2,2,680,0,"$583,500 ",11-Nov-19,,,,,
17 Bath Street,Lara,4,2,2,669,0,"$625,000 ",18-Aug-20,,,,,
4 Bella Julia Place,Lara,3,2,1,420,0,"$435,000 ",8-Feb-19,,,,,
16 Bella Julia Place,Lara,3,2,1,602,0,"$465,000 ",4-Jul-19,,,,,
7 Benetti Drive,Lara,4,2,4,604,0,"$567,000 ",27-Dec-19,,,,,
26 Benetti Drive,Lara,4,3,2,581,300,"$765,000 ",9-Sep-19,,,,,
4 Benjamin Drive,Lara,3,1,2,766,0,"$472,500 ",19-Nov-19,,,,,
10 Benjamin Drive,Lara,4,2,2,744,266,"$660,000 ",12-Oct-19,,,,,
28 Benjamin Drive,Lara,4,2,1,758,0,"$450,000 ",11-Jul-19,,,,,
31 Benjamin Drive,Lara,4,2,3,651,140,"$450,000 ",2-Jun-20,,,,,
35 Benjamin Drive,Lara,4,2,0,692,0,"$360,000 ",7-May-19,,,,,
53 Benjamin Drive,Lara,3,2,2,695,0,"$470,000 ",25-Nov-19,,,,,
82 Benjamin Drive,Lara,3,1,1,650,0,"$490,000 ",13-Sep-19,,,,,
87 Benjamin Drive,Lara,3,2,2,685,0,"$440,000 ",12-Jul-19,,,,,
89 Benjamin Drive,Lara,3,1,1,731,0,"$490,000 ",13-Aug-19,,,,,
60 Berice Drive,Lara,4,3,6,13999,0,"$950,000 ",30-Jan-20,,,,,
6 Bernard Court,Lara,3,2,3,697,0,"$451,000 ",28-Jan-19,,,,,
5 Beverley Crescent,Lara,3,1,2,827,0,"$400,000 ",5-Jul-19,,,,,
14 Beverley Crescent,Lara,3,1,1,654,0,"$412,000 ",25-Sep-19,,,,,
3 Birdwood Court,Lara,3,2,2,707,0,"$500,000 ",5-May-19,,,,,
4 Bittern Court,Lara,3,2,2,483,168,"$490,000 ",29-Jun-19,,,,,
1-2 Black Duck Court,Lara,4,3,5,756,0,"$873,500 ",4-Sep-20,,,,,
5 Black Swan Court,Lara,4,2,2,567,0,"$610,000 ",27-Apr-19,,,,,
64-66 Blackbird Circuit,Lara,3,2,2,953,0,"$650,000 ",22-Feb-20,,,,,
6 Blackwood Road,Lara,0,0,2,3875,0,"$910,000 ",31-Jul-19,,,,,
1 Blande Court,Lara,3,2,4,442,0,"$415,000 ",14-Jul-20,,,,,
18 Bluebill Court,Lara,3,2,2,571,20,"$555,000 ",21-Dec-19,,,,,
9 Boydell Court,Lara,4,2,1,668,0,"$263,000 ",14-Feb-19,,,,,
16 Boydell Court,Lara,3,1,3,670,0,"$450,000 ",5-Mar-19,,,,,
10 Bracknell Court,Lara,3,2,2,629,0,"$495,000 ",3-May-19,,,,,
13 Bracknell Court,Lara,3,1,1,390,0,"$395,000 ",16-Sep-19,,,,,
24 Bridge Street,Lara,4,2,4,1740,0,"$747,000 ",26-Oct-19,,,,,
23 Brolga Way,Lara,3,2,2,664,0,"$560,000 ",11-Jul-20,,,,,
36 Brolga Way,Lara,4,2,4,510,0,"$580,000 ",30-Mar-20,,,,,
46 Brolga Way,Lara,4,3,2,585,0,"$695,000 ",9-Oct-19,,,,,
24 Brunel Close,Lara,3,1,2,662,0,"$510,000 ",28-May-20,,,,,
30 Brunel Close,Lara,3,1,4,664,0,"$403,000 ",23-Dec-19,,,,,
35 Brunel Close,Lara,3,2,4,851,0,"$501,525 ",4-Jul-19,,,,,
10 Buckingham Street,Lara,3,2,2,758,0,"$425,000 ",23-May-20,,,,,
63 Buckingham Street,Lara,4,2,2,559,0,"$605,000 ",22-Aug-19,,,,,
99 Buckingham Street,Lara,4,2,3,481,189,"$590,000 ",3-Dec-19,,,,,
103 Buckingham Street,Lara,3,2,2,557,0,"$539,000 ",16-Oct-19,,,,,
139 Buckingham Street,Lara,4,2,2,612,25,"$590,000 ",21-Sep-19,,,,,
147 Buckingham Street,Lara,4,2,2,612,0,"$600,000 ",12-Jun-19,,,,,
7 Caddys Road,Lara,4,2,2,515,195.0964,"$600,000 ",25-Apr-20,,,,,
18 Caddys Road,Lara,4,2,2,962,297.2897,"$825,000 ",26-Jun-20,,,,,
22 Caddys Road,Lara,4,2,4,990,0,"$960,000 ",20-Jun-20,,,,,
25 Caddys Road,Lara,3,1,2,1342,0,"$630,000 ",8-Apr-19,,,,,
33 Caddys Road,Lara,4,1,1,1565,0,"$620,000 ",8-Aug-19,,,,,
35 Caddys Road,Lara,4,2,2,467,0,"$295,000 ",7-Jan-20,,,,,
7 Cadence Avenue,Lara,4,2,0,544,0,"$564,000 ",26-Aug-19,,,,,
8 Cadence Avenue,Lara,4,2,2,535,0,"$591,000 ",8-Jul-20,,,,,
10 Cameron Crescent,Lara,3,2,1,731,0,"$432,500 ",24-Sep-19,,,,,
19 Cameron Crescent,Lara,4,2,2,668,0,"$550,000 ",4-Jul-20,,,,,
38 Cameron Crescent,Lara,3,2,5,644,0,"$525,000 ",9-Dec-19,,,,,
41 Cameron Crescent,Lara,4,2,2,626,0,"$525,000 ",15-Jan-19,,,,,
43 Cameron Crescent,Lara,3,2,4,626,0,"$515,000 ",23-Aug-19,,,,,
75 Cameron Crescent,Lara,5,2,3,746,0,"$670,000 ",20-Jul-19,,,,,
77 Cameron Crescent,Lara,5,2,4,709,0,"$560,000 ",12-Jul-19,,,,,
43 Canopus Crescent,Lara,4,2,3,592,0,"$545,000 ",31-Oct-19,,,,,
14 Canterbury Road East,Lara,4,2,2,932,0,"$590,000 ",11-Nov-19,,,,,
15 Canterbury Road East,Lara,3,1,1,439,0,"$377,000 ",18-Aug-20,,,,,
7 Canterbury Road West,Lara,4,2,3,543,0,"$585,000 ",1-Aug-20,,,,,
19 Canterbury Road West,Lara,4,2,2,510,0,"$578,000 ",25-May-19,,,,,
