address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
308 Aberdeen Street,Manifold Heights,2,1,2,0,0,"$585,500 ",14-Mar-20,,,,,
338 Aberdeen Street,Manifold Heights,3,1,1,665,0,"$620,000 ",7-Oct-19,,,,,
348 Aberdeen Street,Manifold Heights,3,1,1,672,0,"$567,000 ",25-Jul-19,,,,,
11 Airey Avenue,Manifold Heights,3,2,0,244,0,"$720,000 ",14-Nov-19,,,,,
273 Autumn Street,Manifold Heights,4,2,2,650,0,"$1,199,000 ",26-Oct-19,,,,,
288 Autumn Street,Manifold Heights,3,2,1,700,0,"$790,000 ",29-Jan-19,,,,,
4 Benslow Place,Manifold Heights,3,2,2,239,0,"$825,000 ",29-Feb-20,,,,,
55 Bostock Avenue,Manifold Heights,3,1,3,951,0,"$1,061,000 ",7-Jul-20,,,,,
23 Calder Street,Manifold Heights,3,0,0,650,0,"$715,000 ",5-Dec-19,,,,,
4 Evelyn Street,Manifold Heights,2,1,1,694,0,"$638,000 ",4-May-19,,,,,
7 Evelyn Street,Manifold Heights,3,1,1,485,0,"$497,000 ",1-Jul-19,,,,,
8 Evelyn Street,Manifold Heights,4,2,2,695,600,"$920,000 ",19-Jan-19,,,,,
13 Girton Crescent,Manifold Heights,3,1,1,650,0,"$840,000 ",21-Oct-19,,,,,
6 Grundell Close,Manifold Heights,3,1,2,482,0,"$575,000 ",1-Feb-19,,,,,
9 Herne Street,Manifold Heights,4,2,4,827,0,"$750,000 ",29-Jul-19,,,,,
10 Herne Street,Manifold Heights,3,1,2,677,0,"$725,000 ",9-Oct-19,,,,,
14 Herne Street,Manifold Heights,4,2,2,599,0,"$1,345,000 ",22-May-19,,,,,
4 Lascelles Avenue,Manifold Heights,3,1,2,684,0,"$600,000 ",9-Jan-19,,,,,
6A Lascelles Avenue,Manifold Heights,3,1,3,625,0,"$632,000 ",15-Jun-19,,,,,
7 Lascelles Avenue,Manifold Heights,3,1,1,482,0,"$561,500 ",30-Jul-19,,,,,
21 Lascelles Avenue,Manifold Heights,4,3,2,982,0,"$1,205,000 ",3-Oct-19,,,,,
35 Lascelles Avenue,Manifold Heights,3,1,1,506,0,"$709,000 ",4-May-19,,,,,
46 Lascelles Avenue,Manifold Heights,3,1,2,780,0,"$690,000 ",23-Mar-19,,,,,
48 Lascelles Avenue,Manifold Heights,3,2,4,780,152.68,"$750,000 ",19-Oct-19,,,,,
53 Lascelles Avenue,Manifold Heights,4,2,2,739,0,"$945,000 ",10-Dec-19,,,,,
3 Malvern Grove,Manifold Heights,4,2,3,641,178,"$940,000 ",30-Nov-19,,,,,
14 Malvern Grove,Manifold Heights,3,2,1,715,0,"$1,001,500 ",4-Apr-20,,,,,
15 Malvern Grove,Manifold Heights,4,2,3,580,0,"$960,000 ",2-Jun-20,,,,,
130 Minerva Road,Manifold Heights,3,1,2,598,0,"$660,000 ",29-Apr-19,,,,,
17 Narmbool Street,Manifold Heights,4,2,2,848,0,"$1,075,000 ",20-Nov-19,,,,,
9 Orr Street,Manifold Heights,4,1,1,697,0,"$765,000 ",11-Jan-19,,,,,
12 Orr Street,Manifold Heights,4,1,6,642,0,"$600,000 ",14-May-20,,,,,
25 Orr Street,Manifold Heights,3,1,3,697,130,"$715,000 ",4-Mar-19,,,,,
5 Philip Street,Manifold Heights,3,1,2,671,0,"$600,000 ",9-Aug-19,,,,,
6 Philip Street,Manifold Heights,3,2,1,627,0,"$775,000 ",12-Feb-20,,,,,
14 Roxby Street,Manifold Heights,4,2,5,790,247.89,"$1,134,500 ",13-Feb-20,,,,,
37 Roxby Street,Manifold Heights,5,2,2,1106,0,"$1,860,000 ",24-Feb-20,,,,,
5/57 Shannon Avenue,Manifold Heights,2,1,1,1000,0,"$254,999 ",18-Jun-20,,,,,
63 Shannon Avenue,Manifold Heights,3,1,1,624,0,"$600,500 ",30-Jun-20,,,,,
79 Shannon Avenue,Manifold Heights,4,2,0,448,0,"$660,000 ",29-Feb-20,,,,,
91 Shannon Avenue,Manifold Heights,2,1,1,613,0,"$660,000 ",14-Sep-19,,,,,
41 Strachan Avenue,Manifold Heights,4,2,2,941,0,"$1,437,500 ",21-Feb-20,,,,,
10 Sydenham Avenue,Manifold Heights,3,1,1,702,0,"$691,000 ",9-Nov-19,,,,,
21 Volum Street,Manifold Heights,4,2,2,1068,0,"$1,500,000 ",12-May-20,,,,,
25 Volum Street,Manifold Heights,3,2,0,1128,0,"$1,400,000 ",19-Jun-20,,,,,
29 Volum Street,Manifold Heights,5,3,1,1123,0,"$1,792,500 ",4-Jan-20,,,,,
17 Wimmera Avenue,Manifold Heights,5,2,2,599,0,"$1,225,000 ",17-May-19,,,,,
41 Wimmera Avenue,Manifold Heights,4,2,2,620,150,"$840,000 ",5-Feb-19,,,,,
58 Wimmera Avenue,Manifold Heights,3,1,2,419,0,"$565,000 ",25-Feb-19,,,,,
