address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
7 Adair Court,Marshall,3,2,2,350,0,"$475,000 ",4-Mar-19,,,,,
43 Barwarre Road,Marshall,4,1,1,468,0,"$450,000 ",12-Jun-19,,,,,
55 Barwarre Road,Marshall,2,1,0,665,0,"$365,000 ",31-Jul-20,,,,,
123 Barwarre Road,Marshall,3,2,2,419,0,"$460,000 ",2-Oct-19,,,,,
11 Basford Court,Marshall,4,2,2,475,0,"$556,000 ",10-Dec-19,,,,,
17 Carlina Court,Marshall,3,2,2,405,139,"$510,000 ",25-Mar-20,,,,,
20 Carlina Court,Marshall,3,2,2,436,0,"$490,000 ",27-Jul-19,,,,,
14 Chambers Court,Marshall,3,2,2,533,0,"$300,000 ",30-Jan-20,,,,,
15 Chambers Court,Marshall,4,2,2,693,186,"$455,000 ",29-Jan-20,,,,,
17-18 Chambers Court,Marshall,3,2,2,473,157,"$515,000 ",9-Jan-20,,,,,
21 Drews Road,Marshall,3,2,2,440,0,"$492,500 ",6-Sep-19,,,,,
22 Drews Road,Marshall,3,2,2,370,0,"$480,000 ",12-Oct-19,,,,,
8 Esme Court,Marshall,3,2,2,519,0,"$550,000 ",21-Aug-20,,,,,
6 Grove Road,Marshall,3,2,2,693,0,"$475,000 ",16-Aug-19,,,,,
15 Grove Road,Marshall,3,1,2,450,0,"$445,000 ",10-Aug-20,,,,,
26 Grove Road,Marshall,3,2,3,763,0,"$488,000 ",6-Jun-20,,,,,
33 Grove Road,Marshall,3,1,2,464,92.903,"$435,000 ",11-Dec-19,,,,,
31 Krisanway Drive,Marshall,2,1,2,331,0,"$415,000 ",25-Jan-20,,,,,
11 Leghorn Way,Marshall,3,2,1,436,0,"$458,000 ",7-Jun-19,,,,,
40 Macfarlane Street,Marshall,3,2,2,550,0,"$555,000 ",20-Apr-20,,,,,
46-48 Macfarlane Street,Marshall,3,2,2,502,0,"$500,000 ",13-Aug-20,,,,,
37 Marshalltown Road,Marshall,3,2,0,634,0,"$510,000 ",8-Feb-20,,,,,
43 Marshalltown Road,Marshall,3,1,2,633,0,"$450,000 ",18-Nov-19,,,,,
55 Marshalltown Road,Marshall,2,1,2,806,0,"$445,000 ",25-Aug-20,,,,,
5/73 Marshalltown Road,Marshall,2,1,1,165,0,"$357,000 ",24-Jan-19,,,,,
74 Marshalltown Road,Marshall,5,2,2,1250,0,"$710,000 ",31-Aug-20,,,,,
16 Marvins Place,Marshall,4,2,2,495,0,"$525,000 ",16-Sep-19,,,,,
23 Marvins Place,Marshall,3,2,4,512,0,"$510,000 ",17-Apr-20,,,,,
29 Marvins Place,Marshall,3,2,2,555,297.2897,"$495,000 ",7-Dec-19,,,,,
30-32 Marvins Place,Marshall,3,1,5,603,0,"$515,000 ",16-Aug-19,,,,,
3 Moretti Court,Marshall,4,2,3,351,0,"$470,000 ",9-Sep-19,,,,,
6 Moretti Court,Marshall,4,2,2,304,0,"$475,000 ",17-Aug-20,,,,,
13 Moretti Court,Marshall,4,2,2,567,167.22,"$510,000 ",7-Jun-20,,,,,
17 Mornane Road,Marshall,3,2,1,664,25,"$488,000 ",18-Nov-19,,,,,
9 Orpington Crescent,Marshall,3,1,1,327,0,"$430,000 ",6-Jun-19,,,,,
11-13 Orpington Crescent,Marshall,3,2,1,300,0,"$452,500 ",9-Oct-19,,,,,
12 Orpington Crescent,Marshall,3,2,2,300,0,"$478,000 ",27-Nov-19,,,,,
35 Orpington Crescent,Marshall,3,2,2,324,0,"$485,000 ",16-Mar-20,,,,,
41 Orpington Crescent,Marshall,4,2,2,324,21,"$485,000 ",30-Oct-19,,,,,
9 Reedy Link,Marshall,3,2,2,474,0,"$495,000 ",6-Jul-19,,,,,
157-159 Reserve Road,Marshall,3,1,1,2023,0,"$730,000 ",10-Jan-19,,,,,
5 Speranza Court,Marshall,3,2,1,388,17,"$455,000 ",4-Aug-19,,,,,
9 Speranza Court,Marshall,3,2,2,350,17,"$467,000 ",4-Jun-20,,,,,
20 St Cuthberts Court,Marshall,4,2,3,714,0,"$660,000 ",27-Nov-19,,,,,
21 St Cuthberts Court,Marshall,3,2,2,667,0,"$550,000 ",27-Jul-19,,,,,
22 Station Road,Marshall,3,1,1,325,0,"$425,000 ",3-Mar-20,,,,,
1 Tamala Avenue,Marshall,3,1,2,666,0,"$485,000 ",29-Jun-20,,,,,
10 Tamala Avenue,Marshall,3,1,4,682,0,"$410,000 ",3-Apr-20,,,,,
7 Werner Avenue,Marshall,3,2,0,481,0,"$465,000 ",10-Jan-20,,,,,
14 Werner Avenue,Marshall,4,2,2,484,0,"$490,000 ",22-Aug-19,,,,,
16 Werner Avenue,Marshall,3,2,2,484,0,"$520,000 ",22-Apr-20,,,,,
31 Werner Avenue,Marshall,4,2,2,481,0,"$550,000 ",26-Aug-20,,,,,
34 Werner Avenue,Marshall,3,2,2,483,0,"$510,000 ",11-Feb-19,,,,,
