address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
9 Accord Street,Mount Duneed,3,2,2,365,157.9352,"$565,000 ",20-Feb-20,,,,,
11 Altitude Street,Mount Duneed,4,2,2,512,297.2897,"$310,000 ",9-Jul-19,,,,,
16 Altitude Street,Mount Duneed,3,2,2,448,0,"$570,000 ",12-Feb-20,,,,,
28 Armstrong Boulevard,Mount Duneed,4,2,2,630,0,"$690,000 ",23-Nov-19,,,,,
42 Armstrong Boulevard,Mount Duneed,4,2,2,573,0,"$650,000 ",23-Apr-19,,,,,
58 Armstrong Boulevard,Mount Duneed,4,2,2,602,0,"$730,000 ",23-Jul-19,,,,,
60 Armstrong Boulevard,Mount Duneed,5,2,2,529,399.4831,"$770,000 ",4-Jun-19,,,,,
68 Armstrong Boulevard,Mount Duneed,4,2,0,612,334.44,"$830,000 ",5-Aug-20,,,,,
28 Aspect Road,Mount Duneed,3,2,2,377,0,"$490,000 ",12-Oct-19,,,,,
43 Aspect Road,Mount Duneed,4,2,2,512,269.4188,"$620,000 ",26-Feb-19,,,,,
46 Aspect Road,Mount Duneed,3,2,2,279,0,"$448,000 ",6-Aug-19,,,,,
23 Aviation Drive,Mount Duneed,5,2,2,448,0,"$648,000 ",21-Aug-20,,,,,
25 Aviation Drive,Mount Duneed,3,2,2,448,0,"$550,000 ",17-Sep-19,,,,,
57 Aviation Drive,Mount Duneed,3,2,2,462,0,"$540,000 ",13-Feb-20,,,,,
20 Blossom Avenue,Mount Duneed,4,2,2,572,0,"$655,000 ",27-Feb-20,,,,,
5 Boeing Street,Mount Duneed,4,2,2,648,0,"$710,000 ",6-Mar-19,,,,,
12 Boeing Street,Mount Duneed,3,2,2,400,0,"$575,000 ",14-Feb-19,,,,,
36 Cabane Circuit,Mount Duneed,0,0,0,448,0,"$279,500 ",13-Feb-20,,,,,
