address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
2 Acton Court,Newcomb,3,1,1,894,0,"$482,000 ",3-Sep-19,,,,,
4 Alma Court,Newcomb,3,2,2,636,134.63,"$457,000 ",7-Jan-20,,,,,
53 Andrew Street,Newcomb,3,0,0,606,0,"$392,000 ",5-Dec-19,,,,,
14 Anthony Street,Newcomb,3,1,1,813,112,"$505,000 ",6-Jul-20,,,,,
23 Anthony Street,Newcomb,3,1,2,776,780.3855,"$468,000 ",7-Feb-20,,,,,
43 Anthony Street,Newcomb,3,1,1,833,0,"$429,000 ",18-Apr-19,,,,,
46 Anthony Street,Newcomb,3,1,2,779,0,"$421,600 ",17-Dec-19,,,,,
48 Anthony Street,Newcomb,4,2,1,777,0,"$591,000 ",13-Jan-19,,,,,
4 Atkins Street,Newcomb,3,1,2,581,0,"$365,000 ",12-Feb-19,,,,,
8 Bain Court,Newcomb,4,1,1,1102,0,"$550,000 ",29-Apr-20,,,,,
16 Bayfield Court,Newcomb,3,2,1,807,0,"$527,000 ",22-Jan-19,,,,,
26 Bayfield Court,Newcomb,4,2,2,756,0,"$710,000 ",9-Dec-19,,,,,
38 Bellarine Highway,Newcomb,4,2,1,669,16,"$500,000 ",27-Feb-20,,,,,
14 Boronia Street,Newcomb,3,1,1,583,0,"$386,000 ",20-Jul-19,,,,,
57 Boundary Road,Newcomb,3,1,2,557,0,"$455,000 ",5-Sep-19,,,,,
85 Boundary Road,Newcomb,3,1,1,345,0,"$375,000 ",22-Jan-20,,,,,
97 Boundary Road,Newcomb,4,2,2,683,0,"$525,000 ",31-Aug-19,,,,,
111 Boundary Road,Newcomb,2,2,1,314,0,"$370,000 ",29-May-19,,,,,
7 Brayshay Road,Newcomb,3,1,2,664,0,"$475,000 ",8-Feb-19,,,,,
15 Brayshay Road,Newcomb,3,1,1,664,0,"$472,000 ",16-Nov-19,,,,,
34 Breadalbane Street,Newcomb,3,1,2,921,0,"$515,000 ",22-Feb-20,,,,,
14 Carinya Avenue,Newcomb,3,1,2,621,0,"$366,000 ",30-Jan-19,,,,,
20 Carinya Avenue,Newcomb,3,1,1,686,0,"$410,000 ",13-May-20,,,,,
9 Cecil Court,Newcomb,3,1,1,592,0,"$633,000 ",11-Jul-20,,,,,
12 Cecil Court,Newcomb,3,1,4,1174,0,"$480,000 ",9-Feb-19,,,,,
38 Charles Street,Newcomb,3,1,2,512,0,"$435,000 ",4-Jul-20,,,,,
48 Charles Street,Newcomb,3,1,2,587,0,"$430,000 ",15-Apr-19,,,,,
11 Charlotte Avenue,Newcomb,3,1,2,384,0,"$330,000 ",29-Apr-19,,,,,
10 Cheltenham Road,Newcomb,4,1,2,731,171,"$515,000 ",31-Aug-19,,,,,
13 Cheltenham Road,Newcomb,3,1,3,591,0,"$460,000 ",20-Jan-20,,,,,
1 Daphne Court,Newcomb,4,2,2,585,0,"$495,000 ",15-Jan-20,,,,,
5 Dorward Avenue,Newcomb,3,1,3,593,0,"$455,000 ",31-Jul-19,,,,,
7 Dorward Avenue,Newcomb,3,1,1,593,0,"$489,000 ",24-Aug-19,,,,,
8 Dorward Avenue,Newcomb,3,1,4,583,0,"$440,000 ",26-Oct-19,,,,,
10 Dorward Avenue,Newcomb,3,1,1,588,0,"$400,000 ",9-Apr-19,,,,,
17 Dorward Avenue,Newcomb,3,1,1,590,0,"$400,000 ",29-Jan-19,,,,,
14 Drysdale Avenue,Newcomb,3,1,1,665,0,"$477,000 ",1-Jul-19,,,,,
3 Fern Street,Newcomb,2,2,2,350,0,"$440,000 ",19-Jun-20,,,,,
3 Gibbs Street,Newcomb,2,1,0,678,0,"$500,000 ",13-Jun-20,,,,,
22 Gibbs Street,Newcomb,2,1,1,541,0,"$375,000 ",23-May-19,,,,,
25 Glover Street,Newcomb,3,1,1,711,0,"$511,250 ",30-Jan-20,,,,,
28 Glover Street,Newcomb,3,1,2,725,0,"$500,000 ",16-Mar-19,,,,,
11A Greenwood Street,Newcomb,3,2,0,309,0,"$455,000 ",19-Jul-19,,,,,
60 Helms Street,Newcomb,3,1,1,822,0,"$465,000 ",19-Jul-19,,,,,
101 Helms Street,Newcomb,3,2,6,1746,0,"$685,000 ",1-Apr-20,,,,,
105 Helms Street,Newcomb,4,2,5,2380,0,"$886,000 ",19-Sep-19,,,,,
129 Helms Street,Newcomb,3,1,1,710,0,"$460,000 ",27-Nov-19,,,,,
24 Hibiscus Crescent,Newcomb,3,1,1,542,0,"$350,320 ",22-May-19,,,,,
46 Hibiscus Crescent,Newcomb,3,1,0,547,0,"$460,100 ",16-Aug-19,,,,,
8 Hinchcliff Crescent,Newcomb,3,1,1,774,0,"$475,000 ",15-Feb-20,,,,,
14 Ising Street,Newcomb,2,1,1,290,0,"$380,000 ",18-May-20,,,,,
2 Ivanhoe Court,Newcomb,3,1,1,711,0,"$555,000 ",10-Mar-20,,,,,
3 Ivanhoe Court,Newcomb,3,1,1,710,0,"$455,000 ",26-Oct-19,,,,,
9 Ivanhoe Court,Newcomb,3,1,2,984,0,"$525,000 ",7-Aug-20,,,,,
34 Ivy Street,Newcomb,3,1,2,557,0,"$541,000 ",24-Aug-20,,,,,
7 Jacaranda Court,Newcomb,3,1,2,551,0,"$444,000 ",13-Feb-20,,,,,
13 Johnston Avenue,Newcomb,2,2,1,340,0,"$425,700 ",29-May-19,,,,,
10 Lancaster Avenue,Newcomb,3,2,6,780,0,"$505,000 ",23-Jun-20,,,,,
26 Lancaster Avenue,Newcomb,3,2,4,779,0,"$500,000 ",3-Oct-19,,,,,
3 Lindsay Street,Newcomb,3,1,2,547,0,"$415,000 ",19-Nov-19,,,,,
35 Lucas Street,Newcomb,3,1,2,528,0,"$490,000 ",26-Nov-19,,,,,
13 Mercury Crescent,Newcomb,3,1,4,537,0,"$386,000 ",19-Jan-19,,,,,
35 Mercury Crescent,Newcomb,3,1,2,534,0,"$391,200 ",14-Nov-19,,,,,
1 Myrtle Avenue,Newcomb,4,2,5,544,0,"$462,000 ",28-Feb-19,,,,,
