address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
109 Aberdeen Street,Newtown,3,1,2,605,0,"$890,000 ",8-Feb-20,,,,,
143 Aberdeen Street,Newtown,3,1,1,459,0,"$745,000 ",14-Mar-20,,,,,
185 Aberdeen Street,Newtown,2,1,1,350,0,"$420,000 ",26-Jun-20,,,,,
211A Aberdeen Street,Newtown,4,2,3,517,0,"$1,050,000 ",19-Sep-19,,,,,
366 Aberdeen Street,Newtown,3,1,2,622,0,"$680,000 ",12-Sep-19,,,,,
378 Aberdeen Street,Newtown,3,1,0,625,0,"$685,000 ",23-Aug-19,,,,,
390 Aberdeen Street,Newtown,4,3,2,622,0,"$775,000 ",19-Mar-19,,,,,
2 Allen Street,Newtown,4,3,2,336,25,"$774,000 ",12-Mar-20,,,,,
10 Allen Street,Newtown,3,2,2,287,0,"$525,000 ",8-May-20,,,,,
18 Aphrasia Street,Newtown,3,1,2,675,0,"$1,101,000 ",12-Mar-19,,,,,
25 Aphrasia Street,Newtown,5,3,2,822,0,"$1,700,000 ",22-Feb-19,,,,,
32 Aphrasia Street,Newtown,4,2,2,879,0,"$1,430,000 ",19-Mar-20,,,,,
86 Aphrasia Street,Newtown,4,3,1,828,0,"$1,630,000 ",23-May-20,,,,,
125 Aphrasia Street,Newtown,5,2,2,694,0,"$899,900 ",23-Mar-20,,,,,
130 Aphrasia Street,Newtown,5,2,2,808,0,"$1,315,000 ",16-Jan-20,,,,,
131 Aphrasia Street,Newtown,5,2,2,1650,1393.5,"$2,100,000 ",11-Oct-19,,,,,
17 Ardlui Drive,Newtown,4,1,2,721,0,"$555,000 ",19-Dec-19,,,,,
2-4 Ascot Street,Newtown,5,1,2,1554,0,"$2,200,000 ",21-Feb-20,,,,,
19 Austin Street,Newtown,4,2,2,680,0,"$1,530,000 ",29-Oct-19,,,,,
58 Austin Street,Newtown,3,1,1,511,0,"$795,000 ",18-Jul-20,,,,,
8 Austin Terrace,Newtown,2,1,0,206,72,"$525,000 ",16-Feb-19,,,,,
303 Autumn Street,Newtown,3,1,2,670,169,"$750,000 ",28-Aug-19,,,,,
307 Autumn Street,Newtown,3,0,0,648,0,"$690,000 ",18-Oct-19,,,,,
309 Autumn Street,Newtown,3,1,2,665,0,"$720,000 ",27-Jul-19,,,,,
317 Autumn Street,Newtown,3,1,1,325,0,"$535,000 ",17-Jul-19,,,,,
321 Autumn Street,Newtown,3,2,10,1141,0,"$1,365,000 ",22-Jan-20,,,,,
