address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
13 Adriatic Court,Norlane,1,2,0,608,0,"$420,000 ",21-Jun-19,,,,,
4 Akma Court,Norlane,2,1,1,643,0,"$392,500 ",10-Jun-20,,,,,
2B Alkira Avenue,Norlane,3,0,0,195,0,"$353,000 ",1-Oct-19,,,,,
2D Alkira Avenue,Norlane,2,0,0,196,0,"$345,000 ",2-Oct-19,,,,,
10 Alkira Avenue,Norlane,2,1,1,676,0,"$280,000 ",17-Jun-19,,,,,
68 Alkira Avenue,Norlane,2,1,2,640,0,"$358,000 ",5-Feb-19,,,,,
14 Arunga Avenue,Norlane,3,1,4,715,0,"$350,000 ",16-Oct-19,,,,,
18 Barcelona Street,Norlane,3,1,1,592,0,"$360,000 ",10-Feb-20,,,,,
11 Bellbird Avenue,Norlane,3,1,1,557,0,"$290,000 ",6-Aug-20,,,,,
25 Bellbird Avenue,Norlane,3,1,1,557,0,"$275,000 ",15-Apr-19,,,,,
32 Bellbird Avenue,Norlane,3,1,4,557,0,"$339,600 ",26-Feb-20,,,,,
62 Bellbird Avenue,Norlane,2,1,1,557,0,"$272,500 ",14-Dec-19,,,,,
72 Bellbird Avenue,Norlane,3,1,2,661,0,"$299,000 ",16-Aug-19,,,,,
76 Bellbird Avenue,Norlane,3,2,3,557,0,"$480,000 ",19-Feb-20,,,,,
4 Bellnore Drive,Norlane,4,1,3,689,175,"$415,000 ",3-Dec-19,,,,,
49 Bellnore Drive,Norlane,4,2,6,742,0,"$465,000 ",9-Oct-19,,,,,
9 Bingara Avenue,Norlane,3,2,2,628,148.6449,"$376,000 ",20-Jul-20,,,,,
11 Bingara Avenue,Norlane,2,1,3,628,0,"$350,000 ",8-Aug-19,,,,,
32 Brooks Street,Norlane,3,2,3,577,0,"$395,000 ",3-Aug-20,,,,,
4 Callan Court,Norlane,4,1,0,665,0,"$380,000 ",26-Nov-19,,,,,
20 Camellia Crescent,Norlane,3,1,1,747,0,"$360,200 ",30-May-19,,,,,
26 Camellia Crescent,Norlane,3,1,2,748,0,"$376,000 ",12-Aug-19,,,,,
1/51 Camellia Crescent,Norlane,3,1,1,339,0,"$270,000 ",2-Feb-19,,,,,
65 Camellia Crescent,Norlane,2,1,1,642,0,"$375,000 ",7-Dec-19,,,,,
66 Camellia Crescent,Norlane,2,1,2,649,0,"$275,000 ",7-Oct-19,,,,,
12 Camfield Road,Norlane,3,1,7,551,15,"$451,799 ",8-Jul-20,,,,,
3 Carnation Court,Norlane,2,1,2,1247,0,"$427,000 ",31-Aug-19,,,,,
1 Coleman Court,Norlane,3,1,1,592,0,"$371,000 ",13-Mar-20,,,,,
3 Coleman Court,Norlane,4,1,2,592,0,"$397,500 ",1-Mar-19,,,,,
4 Coleman Court,Norlane,3,1,1,595,0,"$350,000 ",10-Dec-19,,,,,
5 Corrin Court,Norlane,4,2,2,697,0,"$475,000 ",1-Jun-19,,,,,
12 Cortina Close,Norlane,3,1,4,545,12,"$415,000 ",12-Feb-20,,,,,
13 Cortina Close,Norlane,3,1,6,543,13,"$390,000 ",11-Aug-20,,,,,
21 Cox Road,Norlane,2,1,2,569,0,"$285,000 ",8-Jan-20,,,,,
41 Cox Road,Norlane,4,1,2,569,0,"$350,000 ",11-Oct-19,,,,,
107 Cox Road,Norlane,2,1,2,616,80,"$300,000 ",28-Aug-20,,,,,
113 Cox Road,Norlane,3,2,1,611,0,"$310,000 ",3-Dec-19,,,,,
119 Cox Road,Norlane,3,1,2,616,0,"$265,000 ",19-Aug-20,,,,,
121 Cox Road,Norlane,3,1,3,611,0,"$340,000 ",21-Feb-19,,,,,
17 Croatia Place,Norlane,3,2,2,437,0,"$475,000 ",5-Dec-19,,,,,
8 Curlew Crescent,Norlane,3,1,1,558,0,"$310,000 ",22-Jun-19,,,,,
21 Curlew Crescent,Norlane,3,1,0,557,0,"$270,000 ",12-Nov-19,,,,,
24 Curlew Crescent,Norlane,2,1,1,641,0,"$332,000 ",27-May-19,,,,,
1 Dardell Court,Norlane,3,1,3,650,14,"$405,000 ",4-Mar-19,,,,,
10 Dardell Court,Norlane,4,1,2,588,0,"$370,000 ",16-May-19,,,,,
3 Denver Street,Norlane,3,1,2,650,15,"$523,000 ",12-Mar-19,,,,,
4 Denver Street,Norlane,3,1,1,663,0,"$310,000 ",27-Nov-19,,,,,
26 Donnelly Avenue,Norlane,4,1,2,650,0,"$408,000 ",28-Apr-20,,,,,
35 Donnelly Avenue,Norlane,2,1,2,646,0,"$375,000 ",7-Sep-19,,,,,
38 Donnelly Avenue,Norlane,3,1,0,646,0,"$276,000 ",17-Jul-20,,,,,
53 Donnelly Avenue,Norlane,2,1,1,650,0,"$365,000 ",26-Nov-19,,,,,
95 Donnybrook Road,Norlane,4,2,2,616,0,"$425,000 ",2-Apr-20,,,,,
7 Dove Street,Norlane,3,1,2,557,0,"$475,000 ",13-Aug-20,,,,,
20 Dove Street,Norlane,4,1,0,682,0,"$327,000 ",4-Feb-19,,,,,
19 Dunloe Avenue,Norlane,3,2,6,655,12,"$400,000 ",14-Jun-19,,,,,
28 Dunloe Avenue,Norlane,3,1,3,655,0,"$436,000 ",24-Feb-20,,,,,
29 Dunloe Avenue,Norlane,4,1,1,655,130.0643,"$415,000 ",8-Aug-19,,,,,
40 Dunloe Avenue,Norlane,3,1,2,545,0,"$396,500 ",14-Apr-19,,,,,
58 Dunloe Avenue,Norlane,3,1,1,655,0,"$385,000 ",20-May-19,,,,,
19 Eagle Parade,Norlane,3,1,2,608,0,"$310,000 ",10-Dec-19,,,,,
21 Eagle Parade,Norlane,3,1,2,609,0,"$340,000 ",3-Oct-19,,,,,
45 Eagle Parade,Norlane,4,1,6,557,0,"$340,000 ",18-Mar-20,,,,,
74 Eagle Parade,Norlane,2,1,1,785,0,"$340,000 ",3-Jun-19,,,,,
7 Elmore Street,Norlane,2,1,2,612,0,"$348,000 ",5-Jul-19,,,,,
1 Emu Court,Norlane,3,2,1,589,0,"$310,000 ",7-May-19,,,,,
4 Falcon Street,Norlane,4,1,4,555,0,"$392,000 ",26-Nov-19,,,,,
22 Forster Street,Norlane,3,1,1,832,0,"$375,000 ",21-Jan-19,,,,,
37 Gardenia Grove,Norlane,3,1,2,649,0,"$320,650 ",15-Aug-19,,,,,
45 Gerbera Avenue,Norlane,2,1,1,613,72,"$295,000 ",30-Sep-19,,,,,
47 Gerbera Avenue,Norlane,3,1,1,613,0,"$295,000 ",7-Aug-19,,,,,
59 Gerbera Avenue,Norlane,3,2,1,613,0,"$387,000 ",15-Feb-19,,,,,
18 Gull Street,Norlane,4,2,6,557,0,"$435,000 ",6-Jul-20,,,,,
24 Hinton Close,Norlane,3,1,4,592,121,"$380,000 ",11-Jun-20,,,,,
4 Holdsworth Court,Norlane,4,2,2,697,0,"$500,000 ",5-Mar-20,,,,,
11 Ibis Court,Norlane,2,1,6,565,111.4836,"$400,000 ",3-Sep-19,,,,,
21 Iona Street,Norlane,3,1,1,218,111.4836,"$292,500 ",1-Apr-19,,,,,
50 Iona Street,Norlane,3,1,1,458,0,"$247,000 ",25-Jul-19,,,,,
52 Iona Street,Norlane,2,1,2,221,0,"$355,000 ",4-Mar-19,,,,,
14 Jamina Court,Norlane,3,1,5,629,0,"$392,000 ",31-May-19,,,,,
6 Jay Street,Norlane,2,1,2,557,0,"$293,000 ",4-Jul-19,,,,,
1 Kalinga Street,Norlane,4,1,2,652,0,"$341,000 ",30-Apr-19,,,,,
11 Kalinga Street,Norlane,3,1,1,654,0,"$372,000 ",20-May-20,,,,,
13 Kalinga Street,Norlane,2,1,2,655,0,"$310,000 ",20-Jun-19,,,,,
11 Karrin Court,Norlane,3,1,2,670,0,"$327,000 ",12-Dec-19,,,,,
10 Kentucky Avenue,Norlane,3,1,3,581,0,"$430,000 ",30-Apr-19,,,,,
2 Kestrel Court,Norlane,2,1,1,604,0,"$240,000 ",28-Mar-19,,,,,
3 Kestrel Court,Norlane,3,2,5,688,0,"$400,000 ",25-Nov-19,,,,,
2 Korumburra Close,Norlane,3,1,5,592,0,"$350,000 ",4-Nov-19,,,,,
4 Korumburra Close,Norlane,4,2,2,592,0,"$435,000 ",10-Sep-19,,,,,
15 Korumburra Close,Norlane,3,1,4,592,0,"$400,000 ",3-Jun-19,,,,,
1B Lowan Avenue,Norlane,2,1,1,278,0,"$258,000 ",5-Dec-19,,,,,
20 Lowan Avenue,Norlane,3,1,2,479,0,"$370,000 ",7-Feb-20,,,,,
11 Lumeah Street,Norlane,2,1,3,666,0,"$310,000 ",15-May-20,,,,,
15 Lumeah Street,Norlane,3,1,2,666,0,"$290,000 ",27-May-20,,,,,
2 Maynooth Drive,Norlane,3,1,2,628,0,"$355,000 ",25-Jun-20,,,,,
8 Maynooth Drive,Norlane,3,1,1,566,0,"$370,000 ",22-Aug-19,,,,,
11 Moa Street,Norlane,3,1,2,577,0,"$285,000 ",19-Jun-19,,,,,
17 Moa Street,Norlane,3,2,2,577,0,"$415,000 ",15-Mar-19,,,,,
15 Moran Place,Norlane,3,1,1,312,0,"$365,000 ",13-Feb-20,,,,,
22 Moran Place,Norlane,3,1,1,575,0,"$395,000 ",6-Aug-20,,,,,
8 Morona Avenue,Norlane,3,1,0,628,0,"$200,000 ",10-Mar-20,,,,,
3 Nowra Court,Norlane,3,1,8,807,0,"$320,000 ",15-May-19,,,,,
5 Nowra Court,Norlane,3,1,1,683,0,"$350,000 ",12-Sep-19,,,,,
40 Olympic Avenue,Norlane,4,1,2,567,0,"$371,000 ",2-Jul-20,,,,,
53 Olympic Avenue,Norlane,3,1,0,697,0,"$315,000 ",7-Aug-19,,,,,
60 Olympic Avenue,Norlane,3,1,2,656,0,"$350,000 ",15-Dec-19,,,,,
76 Olympic Avenue,Norlane,3,1,1,655,0,"$398,000 ",22-Aug-19,,,,,
80 Olympic Avenue,Norlane,3,1,1,655,125,"$381,000 ",11-Jun-20,,,,,
9 Page Street,Norlane,3,1,6,581,0,"$420,000 ",5-Jun-20,,,,,
4 Peacock Avenue,Norlane,4,2,2,778,0,"$455,000 ",7-Jul-20,,,,,
12 Peacock Avenue,Norlane,4,2,4,592,0,"$547,000 ",28-Aug-20,,,,,
19 Peacock Avenue,Norlane,3,1,5,618,0,"$395,000 ",14-Sep-19,,,,,
36 Peacock Avenue,Norlane,2,1,4,608,0,"$319,000 ",31-Aug-20,,,,,
47 Peacock Avenue,Norlane,3,2,2,540,0,"$445,000 ",14-Oct-19,,,,,
54 Peacock Avenue,Norlane,3,1,7,617,0,"$450,000 ",19-Feb-20,,,,,
21 Plume Street,Norlane,3,1,1,780,0,"$360,000 ",22-Oct-19,,,,,
38 Plume Street,Norlane,2,1,1,452,0,"$220,000 ",19-Sep-19,,,,,
40 Plume Street,Norlane,2,1,0,450,0,"$220,000 ",26-Sep-19,,,,,
93 Plume Street,Norlane,3,1,2,781,0,"$405,000 ",6-Feb-19,,,,,
106A Plume Street,Norlane,2,2,1,306,120.774,"$350,000 ",14-Jan-19,,,,,
108 Plume Street,Norlane,3,1,4,710,0,"$375,000 ",20-Dec-19,,,,,
6 Portland Street,Norlane,2,1,4,598,0,"$300,000 ",29-Apr-19,,,,,
33 Princes Highway,Norlane,4,2,2,495,0,"$455,000 ",7-Sep-19,,,,,
38 Princes Highway,Norlane,2,1,1,693,0,"$310,000 ",11-Oct-19,,,,,
44 Princes Highway,Norlane,2,1,2,636,0,"$320,000 ",9-Jun-19,,,,,
51 Princes Highway,Norlane,3,2,3,405,0,"$432,000 ",23-Nov-19,,,,,
70 Princes Highway,Norlane,4,1,3,631,152,"$330,000 ",7-May-19,,,,,
73 Princes Highway,Norlane,2,1,2,714,0,"$345,000 ",16-Nov-19,,,,,
94 Princes Highway,Norlane,3,1,1,757,0,"$373,500 ",3-Dec-19,,,,,
113 Princes Highway,Norlane,3,2,2,557,0,"$380,000 ",26-Feb-20,,,,,
