address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
17 Balliang Street,South Geelong,3,2,2,460,0,"$755,000 ",28-Mar-19,,,,,
19 Balliang Street,South Geelong,3,2,1,460,0,"$731,000 ",27-Jun-19,,,,,
46 Balliang Street,South Geelong,3,2,1,562,0,"$760,000 ",11-Feb-19,,,,,
290 Bellerine Street,South Geelong,3,1,1,459,0,"$618,000 ",3-Jul-19,,,,,
314 Bellerine Street,South Geelong,3,2,2,212,0,"$760,000 ",25-Jun-19,,,,,
14 Foster Street,South Geelong,2,1,1,460,0,"$742,000 ",24-Aug-19,,,,,
16 Foster Street,South Geelong,4,3,2,455,0,"$971,000 ",23-Jan-19,,,,,
80 Foster Street,South Geelong,3,1,2,404,0,"$560,000 ",19-Jul-19,,,,,
105 Fyans Street,South Geelong,3,2,2,299,0,"$652,000 ",19-Jul-19,,,,,
111 Fyans Street,South Geelong,2,1,4,650,0,"$679,000 ",8-Feb-20,,,,,
17 Hopkins Street,South Geelong,2,2,2,215,0,"$565,000 ",13-Nov-19,,,,,
2A Lonsdale Street,South Geelong,3,2,1,246,0,"$702,500 ",11-Sep-19,,,,,
8 Lonsdale Street,South Geelong,4,3,3,487,0,"$1,120,000 ",23-Feb-19,,,,,
10 Lonsdale Street,South Geelong,3,1,1,487,0,"$617,500 ",13-Apr-19,,,,,
14 Lonsdale Street,South Geelong,3,1,3,486,0,"$785,000 ",17-Jun-19,,,,,
16 Lonsdale Street,South Geelong,4,3,2,485,0,"$1,180,000 ",18-Jul-20,,,,,
6 Park Crescent,South Geelong,3,1,1,376,0,"$530,000 ",31-Aug-19,,,,,
10 Park Crescent,South Geelong,3,2,1,283,0,"$695,000 ",13-Oct-19,,,,,
22 Park Crescent,South Geelong,3,2,2,575,0,"$1,080,000 ",16-Jul-19,,,,,
163 Swanston Street,South Geelong,3,1,1,321,106,"$573,000 ",30-Mar-19,,,,,
170 Swanston Street,South Geelong,3,1,1,446,0,"$575,000 ",30-Mar-19,,,,,
190 Swanston Street,South Geelong,3,1,1,307,0,"$710,000 ",17-Aug-19,,,,,
32 Verner Street,South Geelong,4,1,2,483,0,"$688,000 ",30-Nov-19,,,,,
225 Yarra Street,South Geelong,3,1,1,262,107,"$610,000 ",23-Apr-20,,,,,
246 Yarra Street,South Geelong,4,2,1,620,204,"$1,030,000 ",29-Oct-19,,,,,
