address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
9 Aitken Court,St Albans Park,3,1,2,736,0,"$420,000 ",8-Jul-19,,,,,
14 Alcott Road,St Albans Park,3,2,2,740,0,"$570,000 ",23-Mar-20,,,,,
21 Alcott Road,St Albans Park,3,2,6,787,0,"$645,000 ",15-Nov-19,,,,,
4 Aldershot Road,St Albans Park,4,2,1,638,0,"$425,000 ",15-Nov-19,,,,,
13 Aldershot Road,St Albans Park,3,2,2,608,117,"$430,000 ",13-Aug-20,,,,,
3 Ardula Court,St Albans Park,4,2,2,595,0,"$475,000 ",19-Mar-19,,,,,
10 Ardula Court,St Albans Park,3,1,3,664,0,"$440,000 ",26-Nov-19,,,,,
289 Boundary Road,St Albans Park,3,1,2,550,0,"$390,000 ",28-May-19,,,,,
301 Boundary Road,St Albans Park,3,1,4,720,0,"$410,000 ",10-Mar-19,,,,,
331 Boundary Road,St Albans Park,3,1,1,558,125,"$345,000 ",14-Oct-19,,,,,
11 Bronte Court,St Albans Park,3,2,2,716,0,"$530,000 ",3-Jul-20,,,,,
20 Bronte Court,St Albans Park,2,1,1,340,0,"$390,000 ",13-Jan-20,,,,,
18 Buckington Street,St Albans Park,3,2,0,809,0,"$410,000 ",12-Feb-19,,,,,
33 Carbine Drive,St Albans Park,4,2,2,577,222.9673,"$475,000 ",20-Aug-19,,,,,
4 Chandos Court,St Albans Park,3,1,1,500,11,"$383,000 ",30-May-20,,,,,
13 Chandos Court,St Albans Park,3,1,2,568,0,"$408,500 ",11-Mar-20,,,,,
48 Chandos Court,St Albans Park,3,2,2,287,0,"$405,000 ",6-Jan-20,,,,,
58 Chandos Court,St Albans Park,3,2,2,412,0,"$449,000 ",7-Oct-19,,,,,
26B Collins Street,St Albans Park,3,1,1,335,0,"$389,000 ",9-Jul-19,,,,,
9 Crozier Court,St Albans Park,3,1,8,839,0,"$442,000 ",25-Jun-19,,,,,
13 Durran Street,St Albans Park,4,3,2,623,0,"$440,000 ",30-Oct-19,,,,,
19 Durran Street,St Albans Park,3,1,2,614,128,"$397,000 ",11-May-19,,,,,
27 Durran Street,St Albans Park,3,2,4,619,0,"$450,000 ",16-Jan-20,,,,,
5 East End Crescent,St Albans Park,4,2,2,699,0,"$485,000 ",10-Apr-19,,,,,
8B East End Crescent,St Albans Park,3,2,2,347,0,"$475,000 ",19-Mar-20,,,,,
24 East End Crescent,St Albans Park,3,1,4,681,0,"$407,000 ",22-Sep-19,,,,,
31 East End Crescent,St Albans Park,3,1,1,726,0,"$441,000 ",15-May-20,,,,,
2A Elizabeth Street,St Albans Park,3,0,0,245,0,"$360,000 ",2-Feb-19,,,,,
15 Ellstone Avenue,St Albans Park,3,2,0,741,0,"$450,000 ",11-Oct-19,,,,,
5 Enfield Drive,St Albans Park,3,1,8,573,0,"$490,000 ",25-Jun-20,,,,,
20 Enfield Drive,St Albans Park,3,1,4,556,0,"$410,000 ",10-Mar-19,,,,,
34 Enfield Drive,St Albans Park,3,1,1,569,0,"$470,000 ",23-Oct-19,,,,,
48 Enfield Drive,St Albans Park,3,1,1,650,0,"$450,000 ",14-May-20,,,,,
24 Filipi Drive,St Albans Park,3,1,1,621,0,"$455,000 ",13-Aug-20,,,,,
26 Filipi Drive,St Albans Park,3,1,1,649,0,"$395,000 ",20-Jun-20,,,,,
40 Filipi Drive,St Albans Park,3,2,2,612,0,"$472,500 ",8-Oct-19,,,,,
28 Govett Crescent,St Albans Park,3,1,4,567,0,"$425,000 ",10-Apr-19,,,,,
63 Govett Crescent,St Albans Park,3,1,3,586,0,"$415,000 ",30-Jan-19,,,,,
1 Grafton Street,St Albans Park,3,1,1,401,90,"$380,000 ",30-Dec-19,,,,,
10 Grafton Street,St Albans Park,3,2,2,575,0,"$357,000 ",21-Mar-20,,,,,
15 Grafton Street,St Albans Park,4,2,1,464,0,"$362,500 ",13-Feb-19,,,,,
26 Grafton Street,St Albans Park,3,1,1,717,0,"$422,000 ",25-Nov-19,,,,,
