address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
10 Barnfather Street,Thomson,3,1,2,669,0,"$380,000 ",26-Jul-19,,,,,
2B Birdsey Street,Thomson,2,1,2,349,0,"$504,000 ",20-Dec-19,,,,,
21 Birdsey Street,Thomson,3,1,1,669,0,"$360,000 ",17-Apr-19,,,,,
138 Boundary Road,Thomson,3,1,3,552,0,"$375,000 ",1-Feb-19,,,,,
148 Boundary Road,Thomson,3,1,1,613,0,"$395,000 ",19-Mar-20,,,,,
21 Breakwater Road,Thomson,2,1,1,374,0,"$380,000 ",11-Jul-19,,,,,
33 Breakwater Road,Thomson,4,2,2,759,0,"$770,000 ",23-Nov-19,,,,,
2 Callander Street,Thomson,3,1,2,605,0,"$413,000 ",29-Feb-20,,,,,
23 Callander Street,Thomson,3,1,2,532,0,"$435,000 ",26-Sep-19,,,,,
25 Callander Street,Thomson,3,1,3,539,0,"$370,000 ",1-Jul-19,,,,,
48 Godfrey Street,Thomson,3,1,2,770,0,"$425,000 ",4-Feb-20,,,,,
3 Hering Court,Thomson,3,1,3,741,0,"$396,000 ",18-May-19,,,,,
12 Jamieson Street,Thomson,3,1,1,536,0,"$395,000 ",7-Sep-19,,,,,
3 Kahle Court,Thomson,3,1,2,648,103,"$425,000 ",21-Dec-19,,,,,
1 Olney Avenue,Thomson,3,1,1,644,0,"$420,000 ",19-Jun-20,,,,,
10 Olney Avenue,Thomson,3,1,1,543,0,"$370,000 ",6-Apr-20,,,,,
13 Olney Avenue,Thomson,3,1,5,575,0,"$410,000 ",28-Nov-19,,,,,
17 Olney Avenue,Thomson,3,1,2,687,0,"$415,000 ",15-Nov-19,,,,,
39 Olney Avenue,Thomson,3,1,1,528,0,"$405,000 ",4-Sep-19,,,,,
41 Olney Avenue,Thomson,3,1,2,540,0,"$395,000 ",6-Jan-20,,,,,
186 Ormond Road,Thomson,3,1,2,613,0,"$425,000 ",11-Jan-19,,,,,
8 Robertson Street,Thomson,3,1,2,650,0,"$435,500 ",27-Aug-20,,,,,
80 St Albans Road,Thomson,4,2,2,974,175,"$595,000 ",6-Jan-20,,,,,
141 St Albans Road,Thomson,3,1,1,540,0,"$535,000 ",18-Feb-20,,,,,
145 St Albans Road,Thomson,3,1,2,539,0,"$460,000 ",13-May-20,,,,,
12 Tamlyn Street,Thomson,3,1,1,186,0,"$366,500 ",18-May-20,,,,,
14A Tate Street,Thomson,3,1,1,669,9.2903,"$425,000 ",17-Oct-19,,,,,
18 Tate Street,Thomson,2,1,1,667,0,"$396,000 ",4-Mar-19,,,,,
4 Warren Street,Thomson,3,1,2,654,0,"$465,000 ",8-Jul-19,,,,,
20 Winstanley Road,Thomson,3,1,1,574,0,"$321,000 ",26-Aug-19,,,,,
24 Winstanley Road,Thomson,3,1,2,554,0,"$365,000 ",5-Mar-19,,,,,
37 Winstanley Road,Thomson,3,1,4,534,0,"$438,000 ",6-May-20,,,,,
