address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
5A Canterbury Court,Wandana Heights,3,2,2,293,196.18,"$540,000 ",23-Apr-20,,,,,
7 Chisholm Close,Wandana Heights,3,2,2,1280,0,"$705,000 ",16-Feb-19,,,,,
3 Dione Mews,Wandana Heights,3,2,2,578,0,"$608,000 ",7-Aug-20,,,,,
5 Dione Mews,Wandana Heights,3,2,2,443,0,"$560,000 ",31-Aug-19,,,,,
12 Dione Mews,Wandana Heights,3,2,2,380,0,"$712,000 ",23-Jul-20,,,,,
16-17 Dione Mews,Wandana Heights,4,2,2,526,0,"$640,000 ",28-Feb-19,,,,,
16 Grosvenor Drive,Wandana Heights,4,2,2,1141,0,"$860,000 ",3-Mar-20,,,,,
18 Grosvenor Drive,Wandana Heights,4,2,2,1196,0,"$680,000 ",16-Feb-19,,,,,
28 Grosvenor Drive,Wandana Heights,4,2,2,1759,0,"$980,000 ",17-Feb-20,,,,,
29 Grosvenor Drive,Wandana Heights,3,3,4,2495,0,"$940,000 ",30-Jan-20,,,,,
30 Grosvenor Drive,Wandana Heights,4,2,4,1741,0,"$956,000 ",14-Dec-19,,,,,
63 Grosvenor Drive,Wandana Heights,4,2,2,737,0,"$763,001 ",16-May-19,,,,,
69 Grosvenor Drive,Wandana Heights,4,2,2,501,0,"$714,000 ",27-Jul-20,,,,,
88 Grosvenor Drive,Wandana Heights,3,2,2,1065,0,"$837,000 ",17-May-19,,,,,
101-103 Grosvenor Drive,Wandana Heights,3,1,3,1204,222.9673,"$680,000 ",29-Jul-19,,,,,
109 Grosvenor Drive,Wandana Heights,5,2,2,1819,0,"$796,500 ",24-Oct-19,,,,,
1 Hargrave Crescent,Wandana Heights,4,2,2,1330,0,"$770,000 ",21-Feb-19,,,,,
60 James Cook Drive,Wandana Heights,4,3,4,2212,0,"$910,000 ",25-Jul-19,,,,,
3 Kent Hill Close,Wandana Heights,5,3,2,1002,0,"$1,040,000 ",24-Mar-20,,,,,
13 Lapin Grove,Wandana Heights,4,2,2,550,0,"$800,000 ",20-Dec-19,,,,,
3 Lucalbyn Court,Wandana Heights,6,2,2,902,0,"$725,000 ",4-Nov-19,,,,,
3 Pall Mall ,Wandana Heights,4,3,4,1315,0,"$1,012,000 ",5-Feb-20,,,,,
3 Regency Close,Wandana Heights,4,2,2,933,0,"$800,000 ",12-Jun-20,,,,,
4 Sunderland Road,Wandana Heights,4,2,4,660,0,"$715,000 ",17-Jan-19,,,,,
15 Sunderland Road,Wandana Heights,3,2,2,375,0,"$555,000 ",16-May-19,,,,,
62 Sunderland Road,Wandana Heights,4,2,2,1025,0,"$1,360,000 ",31-Oct-19,,,,,
6 Sunhill Court,Wandana Heights,4,2,2,1063,0,"$700,000 ",2-Jul-19,,,,,
14 Trafalgar Square,Wandana Heights,3,2,2,1134,0,"$970,000 ",4-Nov-19,,,,,
84 Wandana Drive,Wandana Heights,4,2,2,680,0,"$595,000 ",4-Apr-20,,,,,
6 Xavier Court,Wandana Heights,3,2,2,516,0,"$825,000 ",28-Mar-19,,,,,
